WORLD	[-2.559673309326172, 7.157169818878174, -0.24022841453552246, 1.0610604286193848, -6.057188034057617, -2.447052478790283, 2.179391860961914, 2.9106719493865967, 7.376107215881348, 0.13639366626739502, 0.9870148301124573, -3.5439646244049072, 3.5545310974121094, -2.2957940101623535, 4.950638771057129, 6.522864818572998, 5.588461399078369, 1.4088479280471802, -5.201300621032715, -3.9407424926757812, 4.614611625671387, -0.6665582656860352, -1.5932097434997559, 0.5839766263961792, -3.003847599029541, 0.47791385650634766, -5.641146183013916, -6.339875221252441, -0.8235546946525574, 2.0834438800811768, 8.735904693603516, 2.3184051513671875, 1.1665951013565063, 2.7703537940979004, 0.7262436747550964, 0.27206921577453613, -0.9217727780342102, -4.884082794189453, -1.1104573011398315, -6.2996697425842285, -2.0894131660461426, 1.361297607421875, 2.235748291015625, -1.1427801847457886, 0.34734153747558594, 1.0794472694396973, -4.598280906677246, -2.434722900390625, 8.77264404296875, -1.8585714101791382, -3.284489631652832, -1.4543020725250244, -5.189184188842773, 4.405835151672363, -0.4221627712249756, -0.887405276298523, -4.081023693084717, -2.870236873626709, -2.1778059005737305, 1.990100383758545, -3.419710636138916, -2.025376796722412, -0.5570404529571533, -0.8365280628204346, 2.242187738418579, 2.010951519012451, -1.1250832080841064, 2.318681001663208, -6.548813819885254, 0.72463059425354, 0.7533045411109924, -2.3533334732055664, 0.8031362295150757, -0.6628166437149048, -4.579675674438477, 1.562807559967041, 1.1409083604812622, -2.226076602935791, -1.6185766458511353, -1.0420937538146973, -0.2664104700088501, -2.382267475128174, 3.7043190002441406, -2.1091325283050537, -1.3702890872955322, 0.04896652698516846, 0.730873703956604, -1.359523057937622, 1.0653687715530396, -2.9188899993896484, -4.398036003112793, -0.6565573215484619, 3.2376344203948975, 3.479215145111084, 3.684025764465332, -5.474285125732422, -1.9846206903457642, -3.4850475788116455, -0.1786806583404541, -3.49444580078125, -4.06503963470459, -4.456613540649414, -2.8463921546936035, -1.085798978805542, 0.658430278301239, -4.8780837059021, 4.225334167480469, -1.7406457662582397, -0.7861364483833313, 0.8355965614318848, -3.3517775535583496, -1.6647216081619263, 2.0046653747558594, -3.2904202938079834, -3.517286777496338, 1.109004259109497, -5.4051032066345215, -4.6607255935668945, -1.236820936203003, 2.40478515625, 0.030984699726104736, -2.705111503601074, -1.0175268650054932, -0.1157941073179245, -0.6786651611328125, 2.636408567428589, 3.1200408935546875, -5.986053466796875]
LAND	[-2.3933539390563965, 6.46219539642334, 1.3662993907928467, 3.807673454284668, -7.474817752838135, -2.2188260555267334, 2.951193332672119, 1.3605602979660034, 8.367867469787598, -2.0886459350585938, -2.2327911853790283, -5.662526607513428, 4.520837783813477, 0.24514257907867432, 7.13829231262207, 5.883485794067383, 6.845203399658203, -0.42631974816322327, -4.54098653793335, -6.384838581085205, 5.914393901824951, -0.36942142248153687, -2.7391414642333984, -0.5453028082847595, -2.4365453720092773, 3.573549747467041, -7.216289520263672, -9.11963939666748, -2.569011926651001, 2.3384482860565186, 7.777242660522461, 0.9408382177352905, 0.7001783847808838, 4.022208213806152, 4.60005521774292, -1.1222648620605469, -0.7143986225128174, -6.5630950927734375, -4.24514102935791, -9.138858795166016, -3.2439355850219727, 0.21920549869537354, 2.8476860523223877, -3.1966335773468018, -1.4491289854049683, 0.7022585868835449, -5.664609432220459, -2.5652151107788086, 11.247007369995117, -1.7712880373001099, -5.291027069091797, -5.152310371398926, -9.522509574890137, 4.807119369506836, -4.063462734222412, -2.614889621734619, -4.136451721191406, -4.1071977615356445, -5.409818649291992, 2.5624375343322754, -3.8276939392089844, -2.4123525619506836, -3.8777191638946533, -0.608163595199585, 0.8630819916725159, 4.621837139129639, 0.9682188630104065, 5.2715959548950195, -5.348232746124268, -1.8087363243103027, 1.9361273050308228, -0.8155388832092285, -1.3341480493545532, 0.2827209532260895, -3.5487446784973145, 0.8247761726379395, 2.0522372722625732, 0.025064945220947266, -1.6574182510375977, -1.2142980098724365, 1.2840672731399536, 1.3112767934799194, 1.9160946607589722, -2.7283802032470703, -1.6888353824615479, -2.352626323699951, 1.482459545135498, -1.8975977897644043, 0.23073941469192505, -4.957155704498291, -3.7394046783447266, -3.693202018737793, 2.8461074829101562, 4.829363822937012, 5.3720502853393555, -10.005887985229492, -3.6695690155029297, -4.993415832519531, 0.2502838373184204, -5.484249114990234, -6.771773815155029, -1.6550120115280151, -4.1081671714782715, 1.1768525838851929, -1.3373088836669922, -7.668640613555908, 7.07977819442749, -4.893097400665283, 0.5903599262237549, -1.416217565536499, -4.929942607879639, -3.486660957336426, 0.2823207974433899, -1.0608640909194946, -4.896816253662109, 1.8261122703552246, -3.860173225402832, -5.970564842224121, -2.262348175048828, 6.582021236419678, 0.019596099853515625, -2.6117160320281982, 0.8732726573944092, -1.4920239448547363, -0.9195877313613892, -1.8239814043045044, 3.0662622451782227, -6.112103462219238]
EARTH (SOIL)	[-2.0500271320343018, 5.844045639038086, 1.4896888732910156, 3.7202115058898926, -5.57328987121582, -0.9078292846679688, 2.703752040863037, 1.3204797506332397, 7.612060546875, -1.9278156757354736, -1.691321849822998, -5.322081565856934, 3.306912899017334, -0.09492433071136475, 6.526339530944824, 5.508854866027832, 6.383453845977783, -0.844731867313385, -3.9510855674743652, -6.791079521179199, 7.038703918457031, -0.22115468978881836, -2.818256139755249, -0.6563299894332886, -3.689352035522461, 2.768589496612549, -5.689280033111572, -9.560707092285156, -2.218916177749634, 2.3559486865997314, 8.900223731994629, 1.26646888256073, -1.398162841796875, 3.742912769317627, 4.9492902755737305, -1.5984294414520264, -0.712438702583313, -5.6437554359436035, -3.9470486640930176, -8.105655670166016, -2.8500494956970215, 0.36595988273620605, 3.4519410133361816, -2.5750303268432617, -0.8258443474769592, 1.4398906230926514, -6.849564552307129, -0.09938046336174011, 11.040223121643066, -2.2474417686462402, -5.578709125518799, -5.341521263122559, -8.690435409545898, 4.6726274490356445, -3.8758997917175293, -3.2085251808166504, -4.290794372558594, -3.052018880844116, -6.212953090667725, 2.011833667755127, -4.305417537689209, -3.1482605934143066, -2.919910430908203, 1.298424243927002, 0.743061900138855, 4.733461856842041, 1.710378646850586, 5.102893352508545, -4.444235801696777, -1.8302996158599854, 1.7758532762527466, -3.0308938026428223, -0.7483322620391846, -0.581186056137085, -4.067976951599121, 1.8994066715240479, 1.6160589456558228, 0.42108678817749023, -1.2072443962097168, -2.1106884479522705, 2.201669216156006, 1.9996665716171265, 2.36616849899292, -3.2977633476257324, -2.3755648136138916, -2.7936229705810547, 2.76478910446167, -0.26310455799102783, -0.9412796497344971, -3.3433470726013184, -3.147806167602539, -3.107874631881714, 2.384525775909424, 4.197098731994629, 5.124567031860352, -9.291431427001953, -3.1764535903930664, -5.219909191131592, -0.5473184585571289, -6.0856614112854, -6.484931468963623, -1.099830150604248, -2.3396332263946533, 1.3568780422210693, -1.4433159828186035, -8.33914852142334, 7.002735137939453, -4.567339897155762, 0.17514100670814514, -0.3360142707824707, -4.876102924346924, -3.078613758087158, 1.1970841884613037, -2.1484789848327637, -4.873721599578857, 2.3399925231933594, -4.277778148651123, -5.7386474609375, -1.754380702972412, 5.378704071044922, 1.9502595663070679, -2.381397247314453, 1.2065764665603638, -2.0341081619262695, -1.0373173952102661, -1.8941282033920288, 3.5902609825134277, -6.052224159240723]
CLAY	[-6.390085220336914, 1.2189487218856812, 0.9664493799209595, 1.9168733358383179, 0.3859853148460388, -2.894014835357666, -2.0521321296691895, 2.3738996982574463, 1.3786847591400146, 1.9540411233901978, 3.4276249408721924, -7.64560604095459, 3.6601083278656006, -2.1235880851745605, 0.017473697662353516, 7.430906295776367, 2.285167932510376, -0.3018987774848938, -1.216118574142456, -2.569514513015747, 2.5220468044281006, -4.947166442871094, 1.2237534523010254, -0.9702211022377014, -3.0536599159240723, 2.886828660964966, -3.223798990249634, -5.664188385009766, -3.227783679962158, 3.2917308807373047, 1.6368601322174072, -2.0807900428771973, 4.63183069229126, -1.7443082332611084, 3.485787868499756, 3.0100252628326416, -1.5122733116149902, -1.5251343250274658, -1.2815226316452026, -2.762178421020508, 0.9905358552932739, -0.520641565322876, -0.833651065826416, -1.6061437129974365, 3.0830588340759277, -2.458901882171631, -9.29212760925293, -0.07364004850387573, 6.659458637237549, 2.1232266426086426, -3.2795939445495605, -6.050479888916016, -8.306589126586914, 4.900815963745117, -3.7271323204040527, -4.788081645965576, -2.0085349082946777, -6.060432434082031, -4.109287738800049, -1.3431665897369385, -7.141455173492432, -3.950995922088623, -2.356553554534912, 5.017763137817383, 5.1948628425598145, 4.039266586303711, -2.4843525886535645, 3.7314341068267822, -6.441832542419434, 2.294428825378418, -1.1597325801849365, -4.245542526245117, 2.230264902114868, -2.8951516151428223, -7.921926498413086, 3.6250572204589844, -3.1779367923736572, -3.4958882331848145, -3.2284069061279297, 0.4574575424194336, -0.17230725288391113, 0.4200899600982666, 5.204681873321533, -7.793523788452148, -1.65695059299469, -0.9534887075424194, -1.033015489578247, 3.3058974742889404, -2.4046194553375244, -2.484999656677246, -5.716124534606934, -2.1762423515319824, 1.8651371002197266, 0.03651276230812073, -0.9291881918907166, -8.080183982849121, 0.2432897686958313, 0.8955203294754028, -8.109131813049316, -2.3058934211730957, -0.5923259258270264, -5.041743278503418, -4.792648792266846, -0.5807952284812927, -1.2074520587921143, -3.864325761795044, 1.6709092855453491, 0.09578058123588562, -4.643616676330566, 2.6808412075042725, -6.5607194900512695, 0.8417665958404541, 5.940120220184326, -7.50969123840332, -2.530296802520752, -1.0191574096679688, -7.058348655700684, -0.3564220666885376, -0.07886528968811035, 4.744600296020508, 4.397307395935059, -1.391076922416687, 2.3607563972473145, 2.5344157218933105, -0.9029065370559692, -3.683244228363037, 2.817073345184326, -5.955604553222656]
MAINLAND	[-1.3353614807128906, 0.8677150011062622, 1.4184718132019043, -1.1436010599136353, -0.46809861063957214, -2.0901286602020264, -0.5847572088241577, 1.8113713264465332, 0.5598487854003906, 2.193469285964966, 1.7005455493927002, -0.00217592716217041, 3.8787779808044434, -1.1780569553375244, -0.6504067778587341, 3.407923698425293, 1.1129342317581177, 0.7264445424079895, -0.8313140273094177, 1.2657885551452637, 0.6054755449295044, -2.0026767253875732, -0.2758803367614746, 0.10890775918960571, -2.487135887145996, 0.023920774459838867, 0.34555649757385254, -1.8261773586273193, 1.2535159587860107, 1.8248181343078613, 0.5729086399078369, 0.35576480627059937, 0.8426662683486938, 0.972335934638977, -0.7024232745170593, 0.6466087102890015, 0.5482065081596375, -0.38897764682769775, 0.5906779766082764, -1.4983285665512085, 0.5454736948013306, -1.185450553894043, 0.4751957654953003, -0.5854799747467041, 2.0193114280700684, -1.044668197631836, -0.30187034606933594, -0.06226397305727005, 1.5655347108840942, -0.5134724378585815, -1.2808395624160767, -0.00395849347114563, -2.4737937450408936, 1.6736624240875244, 0.20157963037490845, 1.4806885719299316, -2.0029282569885254, -1.4676698446273804, 0.492703914642334, 0.8334779143333435, -3.628634214401245, -0.5644246339797974, 2.9060566425323486, -0.3568692207336426, 1.1586956977844238, 0.3950127959251404, 1.129764199256897, 0.3483712673187256, -2.0067434310913086, 1.1286704540252686, -0.07984393835067749, -0.5247210264205933, -0.8395476341247559, -1.6294761896133423, -3.204350471496582, 0.6924076080322266, -0.13063085079193115, -0.9502749443054199, 0.7365310192108154, -1.092142105102539, 0.04839730262756348, 0.16005033254623413, 2.8742854595184326, -3.080876111984253, -0.6024468541145325, 1.4578742980957031, -0.02057965099811554, -0.13370013236999512, 0.5273341536521912, 1.8724486827850342, -0.4789404273033142, 0.15848606824874878, 2.337275743484497, -0.06845798343420029, 1.2033674716949463, -0.1746680736541748, 1.495436668395996, -1.572903037071228, -0.4505494236946106, 0.9408676624298096, 0.30528533458709717, -1.6339199542999268, -0.8453961610794067, -0.470089316368103, 1.241335391998291, -1.1108537912368774, 0.6942095756530762, -0.448806494474411, 0.2977844476699829, 2.4813785552978516, -0.6457604169845581, -1.3133488893508911, 2.5410194396972656, -1.2065670490264893, -1.0722332000732422, 1.5339274406433105, -3.4795784950256348, -0.8702199459075928, -0.5880991816520691, -0.3601558208465576, 1.7069642543792725, -1.3731589317321777, 0.31820783019065857, 0.2521786689758301, 0.9048415422439575, 1.0720757246017456, 1.7538869380950928, -1.8399507999420166]
SKY	[-2.4550321102142334, 6.9434814453125, 5.043606758117676, 0.28364479541778564, -0.8630269169807434, 5.493225574493408, 0.9144288301467896, 2.548748731613159, 2.1777734756469727, 3.0131795406341553, 1.5329927206039429, -0.5558624267578125, 0.5392593145370483, 0.8408844470977783, -1.4934673309326172, -0.789527416229248, -3.0148088932037354, 14.025561332702637, -11.339101791381836, -0.34754472970962524, -1.1599279642105103, -1.5457262992858887, 0.8725067377090454, 4.425500869750977, 0.48145627975463867, 1.4103455543518066, -1.1134414672851562, -2.7551097869873047, 5.963744163513184, 3.952504873275757, 2.034996509552002, 4.274099349975586, 6.485980987548828, -0.01566445827484131, -5.110662460327148, -2.0272676944732666, 3.7584238052368164, 0.9601678848266602, 2.9896793365478516, -3.2811880111694336, -0.7305305004119873, -2.7197155952453613, -2.5644779205322266, 1.0031092166900635, 2.0850706100463867, 2.6779701709747314, -3.3114094734191895, 5.233325481414795, 7.090421676635742, -6.370901107788086, 1.4312379360198975, 4.866019248962402, -3.3893518447875977, 2.9475128650665283, 4.134445667266846, 5.204413414001465, -0.4010636806488037, 2.950557231903076, 5.501884460449219, 1.7611668109893799, -2.1021440029144287, -5.404930114746094, -1.1200098991394043, 0.6933290958404541, -0.8542916178703308, 2.1361331939697266, -3.6738781929016113, -0.9829731583595276, -5.604983806610107, 4.30911111831665, 9.139884948730469, -9.373308181762695, 0.06683048605918884, 2.6528706550598145, -6.663112163543701, 4.696372032165527, 3.0201709270477295, -5.168096542358398, -2.9958033561706543, 7.407485008239746, -4.698908805847168, -3.5154991149902344, 5.277821063995361, -1.9049056768417358, 1.1571037769317627, 0.3964647948741913, 1.0855430364608765, -5.4008026123046875, 2.0796687602996826, -4.000373363494873, -10.91761589050293, 3.2230892181396484, 2.881112575531006, 3.4200572967529297, 6.7065911293029785, -2.7110238075256348, -2.082211494445801, 3.4950456619262695, -2.4576237201690674, 1.431518793106079, 5.014623641967773, -7.586626052856445, -4.433257102966309, 1.2543843984603882, -3.4144554138183594, 1.5654270648956299, 3.2796945571899414, 1.3924214839935303, 1.3397817611694336, 6.4267578125, 3.298867702484131, -2.1738805770874023, -3.149783134460449, -1.5813813209533691, -7.904309272766113, -2.0082929134368896, -2.2501049041748047, -3.0940775871276855, -0.01411139965057373, -1.4015617370605469, -3.7570526599884033, 7.165048122406006, 5.686769962310791, 1.1953074932098389, 4.983660697937012, 0.19688856601715088, 3.3912863731384277, -0.5501747727394104]
LIGHT (RADIATION)	[-3.0639851093292236, 1.0642659664154053, -3.115055561065674, 3.899030923843384, -1.305173397064209, -1.092900276184082, -2.709469795227051, 3.9375877380371094, 0.5259315967559814, 6.428767204284668, 7.283055305480957, -3.4599790573120117, 6.254147052764893, -2.042196750640869, -1.2843825817108154, 6.610754013061523, 4.953339576721191, 3.18121337890625, -3.660432815551758, 3.128840923309326, -9.611176490783691, -0.7831246256828308, 4.537647724151611, -1.7556519508361816, -8.469327926635742, -4.9607133865356445, 0.9708210229873657, -0.830451488494873, 3.0354223251342773, 1.6925280094146729, 3.0828073024749756, 4.597512245178223, 2.7830886840820312, 0.32549798488616943, 0.658141016960144, -1.4901254177093506, -0.3994573950767517, 6.9821271896362305, 1.5901304483413696, 0.6587589979171753, 3.762624740600586, -5.334672451019287, 1.4981350898742676, 2.3477182388305664, 4.776352405548096, -2.121427059173584, 1.4411530494689941, 0.3780081868171692, 6.453556060791016, -2.9132120609283447, 3.399310350418091, -1.7049784660339355, -0.2812613844871521, 2.619135856628418, 6.302660942077637, -0.6697321534156799, -1.0434224605560303, -3.725099563598633, 3.425786018371582, -3.036243200302124, -4.937364101409912, -4.1431474685668945, 0.1968858242034912, -8.19185733795166, 2.844027280807495, 1.063882827758789, 4.696431636810303, -7.1433539390563965, -6.008808135986328, 11.463885307312012, 0.01629015803337097, -2.5365548133850098, -0.7760651707649231, -5.766354084014893, 0.803230881690979, 3.8421380519866943, -3.5086376667022705, 2.8633556365966797, 2.2669789791107178, 5.7789130210876465, -2.3145487308502197, -4.222209930419922, 7.151520729064941, -4.487375259399414, 3.958124876022339, 3.3122122287750244, -0.012256622314453125, -2.5571675300598145, -1.5467920303344727, 1.8574917316436768, 1.1084389686584473, 0.154585599899292, 4.743764877319336, -1.1099774837493896, -1.1247010231018066, -0.5580744743347168, 5.402315139770508, -3.9333102703094482, -3.0514726638793945, -0.2749159336090088, 3.8461098670959473, -6.40369987487793, -2.2520155906677246, -4.426697254180908, -0.7280955910682678, -2.183521270751953, -2.5491228103637695, 0.5357593894004822, -3.868115186691284, -0.5121430158615112, 5.130276679992676, 0.15112632513046265, 1.0034023523330688, -4.238775730133057, 4.231873989105225, -3.7790188789367676, -0.4550732374191284, -1.1127870082855225, -6.146167278289795, -1.8853048086166382, 0.694446861743927, -4.1760759353637695, 2.5185611248016357, -0.7639930248260498, 0.7430052757263184, 3.876695394515991, 0.46272528171539307, -1.2876198291778564]
WEATHER	[-0.6744118332862854, 2.3251829147338867, -2.503694772720337, -1.9826314449310303, -2.0599098205566406, -3.7525317668914795, -3.2939400672912598, 1.247063398361206, 4.134747505187988, 3.2991089820861816, 2.8840575218200684, -6.898059844970703, 6.242938995361328, -2.6498799324035645, -1.0016728639602661, 4.2104878425598145, 3.2066073417663574, 8.812329292297363, -1.7977441549301147, 2.4751687049865723, -1.0777297019958496, -0.8149299025535583, 3.1325602531433105, -2.083949565887451, -2.991438150405884, -9.12678337097168, -2.4553298950195312, -5.520199775695801, 1.9650311470031738, 2.4135122299194336, 3.7471420764923096, 5.988369464874268, 2.1808021068573, 0.06238842010498047, -3.503734588623047, 1.1661300659179688, 4.127692222595215, 1.2822198867797852, 3.3873307704925537, -3.2218477725982666, 2.00449538230896, -4.318335056304932, -2.8760874271392822, 3.0840630531311035, 7.418951988220215, -2.3152413368225098, -5.823126792907715, 1.4168843030929565, 4.105751991271973, -5.531152725219727, 0.36207115650177, 2.952193021774292, -0.736571192741394, 5.709021091461182, 8.024778366088867, 0.14725899696350098, -3.4024457931518555, -3.220536231994629, 4.206478118896484, -2.1284339427948, -6.763474464416504, -3.6726627349853516, 3.4569015502929688, -4.433996200561523, 2.4821252822875977, -3.03320050239563, -3.1540682315826416, -2.698049306869507, -5.543126106262207, 3.3170382976531982, -1.6602839231491089, -3.903454542160034, 0.8162652850151062, -3.2819037437438965, 1.1078414916992188, 1.1418187618255615, -2.688732862472534, -1.4753851890563965, 2.3153862953186035, 2.3489553928375244, -5.563614845275879, -3.4266915321350098, 7.654109954833984, -5.633264541625977, 4.058382987976074, 0.8436563014984131, -2.4223825931549072, 1.5501573085784912, 1.253343105316162, 1.0931472778320312, -5.748431205749512, 1.0486493110656738, 2.268871784210205, -0.1851130723953247, 0.11846169829368591, -1.1279881000518799, 3.8306431770324707, -1.015178918838501, -2.5125436782836914, 5.902254581451416, 4.715490341186523, -6.5008158683776855, 1.1500067710876465, -5.881669998168945, 3.937666893005371, -3.256964683532715, 0.22014951705932617, 2.1194908618927, -5.099944114685059, 2.6381850242614746, -2.519449234008789, 0.3935506343841553, 1.3319613933563232, -3.859924077987671, -2.6208574771881104, -0.6715806722640991, -1.9174394607543945, 0.29129135608673096, -2.215970039367676, -0.7149209976196289, 2.1899876594543457, -0.28528714179992676, 4.10498046875, -0.764994740486145, -1.6509101390838623, 7.7567949295043945, 1.603379726409912, -0.33038902282714844]
FLOOR	[-1.667126178741455, 5.198506832122803, -0.6420199871063232, 1.5403538942337036, -5.358545303344727, -2.6976213455200195, 1.0620429515838623, -0.5135928392410278, 2.6343321800231934, -0.6458142995834351, 0.7076826095581055, -3.98098087310791, 3.678499698638916, -1.7568376064300537, 2.7382709980010986, 7.407179832458496, 3.615323305130005, 0.6881669163703918, -2.4810805320739746, -4.681972503662109, 3.344904899597168, -1.8941136598587036, -0.9320589303970337, 1.2568199634552002, -1.9978512525558472, 3.7476298809051514, -5.39754581451416, -4.093581676483154, -2.5691332817077637, 3.8448076248168945, 6.041338920593262, 0.4693516492843628, 2.20497989654541, 0.6315027475357056, 3.016818046569824, 1.0074026584625244, -1.4979435205459595, -5.690415859222412, -2.136308193206787, -5.821437835693359, -2.1299891471862793, -1.0334059000015259, 2.6597652435302734, -0.6246175765991211, 0.46398845314979553, -0.05371081829071045, -4.547178745269775, 0.517090916633606, 9.053508758544922, -1.6387735605239868, -4.050912857055664, -3.40317440032959, -7.789510726928711, 5.973572731018066, -1.807189702987671, 0.9947954416275024, -2.087405204772949, -3.244246244430542, -1.344496250152588, 2.4549365043640137, -5.246289253234863, -1.8223216533660889, -0.29498088359832764, 1.2344682216644287, 1.808752417564392, 2.317295551300049, -0.2383345365524292, 4.194830417633057, -2.783742904663086, -1.9397387504577637, 1.091424584388733, 0.31010621786117554, 0.3782808184623718, -2.1003453731536865, -4.550609111785889, 1.6808407306671143, 1.1142842769622803, -2.3580162525177, -2.1814143657684326, -0.9256016612052917, 0.7506114840507507, 0.3256099820137024, 3.0720396041870117, -4.76356840133667, -2.940115213394165, -1.4766408205032349, -1.265911340713501, -2.119835376739502, 3.2982988357543945, -2.788691520690918, -6.1764726638793945, -2.5341720581054688, 2.7932209968566895, 3.0531811714172363, 2.540311098098755, -6.502838134765625, -1.8807930946350098, -2.8192903995513916, -0.5768416523933411, -6.725698947906494, -2.308713436126709, -3.170663356781006, -2.895815849304199, -0.10034210979938507, 2.0341808795928955, -4.207488059997559, 4.545007705688477, -2.6013331413269043, 0.39047670364379883, 1.2609221935272217, -5.458329677581787, -1.1124626398086548, 2.0607903003692627, -3.7445120811462402, -4.769146919250488, 1.9509187936782837, -5.445176124572754, -2.332373857498169, -0.6496672630310059, 3.2506535053253174, 0.2968435287475586, -0.642972469329834, -1.4471466541290283, 1.5868091583251953, -0.931236982345581, -0.2609896659851074, 0.2605987787246704, -6.44655704498291]
PLACE (POSITION)	[-4.251002311706543, 5.084537506103516, 1.940706491470337, -2.9761860370635986, -1.02070951461792, -3.328594207763672, -2.7177188396453857, 3.7609715461730957, 3.712498188018799, 3.524081230163574, 4.4372878074646, -4.684039115905762, 5.165696144104004, -1.5571715831756592, -0.9689270853996277, 7.569265842437744, 2.2834298610687256, 3.865649700164795, 0.03147459030151367, 0.3233669102191925, 2.537734031677246, -4.279352188110352, 1.201469898223877, 1.3593779802322388, 0.516319990158081, -0.47973203659057617, -1.5309183597564697, -2.4065310955047607, -1.6367095708847046, 0.3113563060760498, 3.1775338649749756, -1.139214277267456, 3.127776861190796, -0.45897525548934937, -2.0731394290924072, 3.7480249404907227, 0.4240897595882416, 0.4257233142852783, 3.5932745933532715, -1.1539640426635742, 3.4673283100128174, -1.919025182723999, -1.1644654273986816, -0.4265810251235962, 3.4054479598999023, -3.2599568367004395, -3.549877166748047, -3.0727829933166504, 4.306820869445801, 0.8390987515449524, -1.185369849205017, 0.1984769105911255, -2.7815918922424316, 5.564872741699219, 1.3520231246948242, -0.28452831506729126, -2.2633237838745117, -3.908823013305664, 1.575863003730774, -1.7825133800506592, -6.286462783813477, -3.5135817527770996, 0.6332954168319702, -1.6138149499893188, 3.933560371398926, 0.24834704399108887, -1.0206354856491089, 2.16142201423645, -4.130413055419922, 1.4393638372421265, -0.91349196434021, -2.000826358795166, 2.3415958881378174, 0.0005679726600646973, -5.444664478302002, 0.9778157472610474, -2.778757095336914, -4.054064750671387, -2.860820770263672, -0.5085294842720032, -0.32954174280166626, -1.5234882831573486, 6.157054901123047, -5.609706878662109, 0.596118152141571, 2.927980899810791, 0.49928367137908936, 1.3294798135757446, -2.2464089393615723, -1.0183218717575073, -3.924480676651001, 1.372281551361084, 3.0220463275909424, 0.08843667805194855, -0.4645572304725647, -1.0835156440734863, 3.6917922496795654, 0.5016610622406006, -2.639307737350464, 3.59580397605896, -0.049316585063934326, -4.398732662200928, -1.9534285068511963, -2.252875566482544, 2.05645751953125, -0.7595053315162659, 0.5488159656524658, 2.060687780380249, -2.3415651321411133, 3.095871925354004, -0.5642467737197876, -0.8042953610420227, 4.00446891784668, -5.574988842010498, -4.038144111633301, 2.0077474117279053, -5.125782489776611, -0.5073539614677429, -4.18869686126709, 0.24295932054519653, 3.466865301132202, -1.9201719760894775, -1.1149194240570068, 0.8202300071716309, -1.1077516078948975, 1.7731289863586426, 1.600561261177063, -3.64840030670166]
