0	WORLD
1	FLOOR
2	LAND
3	LIGHT (RADIATION)
4	PEACE
5	COUNTRY
6	MAINLAND
7	WEATHER
8	SKY
9	EARTH (SOIL)
10	DAY (NOT NIGHT)
11	FIELD
12	NATIVE COUNTRY
13	GOD
14	CLAY
15	PLACE (POSITION)
16	DOWN
17	BELOW OR UNDER
18	LOW
19	DEITY
20	SAND
21	PLAIN
22	GARDEN
23	DUST
24	FOREST
25	SHORE
26	MOUNTAIN
27	MUD
28	TOWN
29	SIDE
30	PEOPLE
31	VILLAGE
32	BE ALIVE
33	GROUND
34	BOTTOM
35	DIRTY
36	LIVER
37	PASTURE
38	WET
39	HAND
40	NEAR
41	YEAR
42	STEAL
43	SQUEEZE
44	SHARP
45	LAUGH
46	DIE
47	EAT
48	DEER
49	STONE
50	ROTTEN
51	HOUSE
52	SUGAR
53	BUTTOCKS
54	INSIDE
55	DEEP
56	NORTH
57	ROOT
58	BELLY
59	SHORT
60	END (OF SPACE)
61	LEG
62	FOOT
63	TREE
64	HEEL
65	SMOKE (EXHAUST)
66	ASH
67	FLOUR
68	HEAD
69	FOG
70	FOAM
71	GRIND
72	DIRT
73	SWIM
74	CLOUD
75	CLOTH
76	CLOTHES
77	RAG
78	COTTON
79	TOWEL
80	DRESS
81	WOOL
82	PUT ON
83	SHIRT
84	BLANKET
85	SWAMP
86	PATERNAL UNCLE (FATHER'S BROTHER)
87	MATERNAL UNCLE (MOTHER'S BROTHER)
88	THIN (OF SHAPE OF OBJECT)
89	SUCK
90	COLD
91	SUN
92	SKIN
93	SPIDER
94	POT
95	DRY
96	HILL
97	ENTER
98	FLOAT
99	YOU
100	EDGE
101	LADDER
102	TOP
103	NOSE
104	PRECIPICE
105	SHOULDER
106	FISH
107	FOREHEAD
108	WANT
109	FRUIT
110	BUSH
111	WOOD
112	TIE
113	NAPE (OF NECK)
114	HEAP
115	WALL (OF HOUSE)
116	VALLEY
117	DITCH
118	YARD
119	STRAIGHT
120	SMOOTH
121	FLAT
122	GRASS
123	ISLAND
124	POUR
125	RIB
126	BOUNDARY
127	LISTEN
128	LIP
129	SEA
130	BESIDE
131	CAVE
132	HOLE
133	GRAVE
134	HOLLOW OUT
135	NEST
136	WATER
137	SAP
138	WHO
139	FLOWING BODY OF WATER
140	BEVERAGE
141	WELL
142	SPRING (OF WATER)
143	LAKE
144	TEAR (OF EYE)
145	COME
146	SOUP
147	RAIN (PRECIPITATION)
148	ALCOHOL (FERMENTED DRINK)
149	AND
150	DRINK
151	IRRIGATE
152	RIVER
153	BLOOD
154	FLOW
155	URINE
156	SLEEP
157	LOOK
158	SEE
159	EGG
160	SAY
161	HE
162	SHE
163	IT
164	COUNT
165	RAIN (RAINING)
166	WALK
167	CRY
168	WE (INCLUSIVE)
169	FINGERNAIL
170	MOTHER
171	IF
172	COOK (SOMETHING)
173	WOMAN
174	SPEAR
175	ABOVE
176	TOOTH
177	BONE
178	EAR
179	OCEAN
180	SALT
181	SALTY
182	SOUND OR NOISE
183	FLOWER
184	LUNG
185	KETTLE
186	JUG
187	BAY
188	BREAST
189	MOUTH
190	MORE
191	AGAIN
192	MANY
193	ENOUGH
194	CROWD
195	OFTEN
196	PORT
197	WAVE
