WORLD	[-0.017201137071641073, 0.15681814379627063, 0.9412521876745868, -0.10844864935517846, 0.010674029934112214, -0.002882677721840894, 0.015395675459660462, -0.009538606208669876, 0.054128746359010556, -0.012278659364571353, 0.010779439248639262, -0.014884097480025477, 0.053983979138066567, 0.08968479276194861, 0.02128005793753872, -0.008047282978053487, 0.07336548067544421, -0.007257513432906744, -0.07445640868340464, -0.000516424205820169, -0.004350182776216884, -0.012603538796940107, 0.020922715804970203, -0.01548778932212402, -0.008173592312656899, -0.008272389841898195, 0.012388762154121664, -0.005038803901088268, -0.010184256914337074, 0.010752076420053438, -0.009106051824655133, -0.027169156334913052, -0.023954541088068198, -0.015491117762329192, -0.0228066658653147, 0.014135948752827329, 0.004373127846375604, 0.02280002355115438, 0.017506282506867966, -0.028158100288440215, 0.015573109616345804, -0.00482550330131976, -0.01324306873918274, 0.001681491865377364, -0.0012645273837822981, -0.009999540191734513, 0.020867243491254538, 4.272875851504452e-05, 0.006971592208269527, -0.023713540504622814, -0.003465741109339877, 0.0023198065613493435, -0.013896474235767772, 0.01756095167887372, -0.0025952351104187622, 0.016585005578754034, 0.0057644352267441695, -0.022500860798896974, -0.02430030885311083, -0.008155581240030655, 0.014034815548423238, -0.02693581357071293, -0.031145648743183336, 0.04965716139174619, 0.009971065081601236, -0.028624584111119823, 0.010086490999107436, 0.0225769603753894, 0.005970912126880067, -0.012794771928123094, 0.008718469894961254, -0.003954050339847421, -0.01363239036565473, -0.05127886804882109, -0.007826239038046209, -0.01584674920694329, -0.05091622128757713, -0.02338328085168133, 0.00279654022323516, -0.009246481367099083, 0.024809232888603962, 0.013867767010088999, 0.011057117281121924, -0.005151559677844366, -0.006944066086329367, -0.020319521797904142, -0.01683894938739308, 0.0217896475859669, -0.04455593126396499, 0.02443104574265768, -7.802756150807596e-05, -0.009776174476768006, 0.015297766464559291, -0.0024959054169521578, -0.01856401587198654, -0.030529421618733968, -0.0037811335274845334, -0.01834928167372338, -0.004894672810080293, 0.0024910887942891408, 0.022220557561027525, -0.02677561477530809, -0.0029582578457439217, -0.0025690946849201185, -0.02412011900806968, -0.04904407225448749, -0.02997927444201615, -0.058044977212386197, -0.04749710601368651, 0.006424846229906407, 0.017586076672012698, -0.0077044660828366135, 0.004863191813055879, 0.04844018841058978, -0.03233138616132143, 0.03371075977947857, -0.00010240231326331298, 0.05798449642332874, -0.0009697885059629614, -0.014512384663647066, 0.02703481359578546, 0.004935784283073193, 0.022827039092257778, -0.018171490100555212, -0.028737273399944533, -0.0073286443828790935, -0.03208399563821488, -0.00461495019412428]
LAND	[-0.017816372219647256, 0.15667113514083575, 0.9511641288208359, -0.1101098051550891, 0.011688481428179142, -0.006606875787495959, 0.01730092252955091, -0.018856982877945884, 0.05935557553733993, -0.00952493653600413, 0.009263961117954241, -0.018438859990396468, 0.13155541725075753, -0.04963864178552214, -0.0006823121583996262, -0.0047175727615420705, 0.06910197090941468, 0.009255730315824372, -0.016789112930933988, 0.004533678226593271, -0.0071590642353882685, 8.864878622511485e-05, 0.03842265429932497, 0.02512981547420024, 0.02851912416211942, -0.02465887840929903, 0.023654118565193956, 0.00913708995083019, -0.009460408865221497, 0.011119499532006397, 0.008737407754611848, -0.02548360815237001, -0.0318606018094778, -0.015764479613761127, -0.018087928903987482, 0.020326393126515907, 0.005694262077256834, 0.011357306314805549, 0.015965286227095588, -0.021642794873662715, 0.011775071414889416, 0.005065714882993633, -0.015351722947333222, -0.0004932893392126834, -0.003273799568514002, -0.008655418671300276, 0.030161371079703667, 0.004958834362162136, -0.005792978376771012, -0.01502678808028502, -0.0075594237453912565, 0.0017785306088991652, -0.0036260011926294838, 0.00966654730426119, 0.015424115205143899, 0.007774840819338457, 0.00031100340975629987, -0.009946432904610274, -0.018369169627300404, 0.0018963227871005833, 0.00942933511179072, -0.024073314042138475, -0.02382694332689994, 0.03759294407746447, 0.004190344090323995, -0.029192248938903986, 0.004882123813475159, 0.011613592851473111, -0.0008739352011792454, 0.012481661815211051, 0.011957340956520702, -0.004334910144512165, 0.005744428513000046, -0.008331112844856816, -0.01036137220086048, -0.02006090627894695, -0.002492648602092597, -0.0031309940464649463, -0.01247765698043743, -0.0029159748694035106, 0.003259681529370837, 0.03216936931672086, 0.008740898712163969, 0.006321297419190037, -0.018542525706005532, 0.0002239397837571865, -0.0002878509770505897, -0.009328689099699528, -0.024063798711635474, 0.023968494730253115, 0.006469312236098651, -0.014049753669268254, 0.007868250235555872, 0.015296357459840974, -0.004539043071174674, -0.037308312551772534, -0.02185065914214025, -0.01167995231112449, -0.005100452678318811, 0.0029499880250327937, 0.015693396715874993, -0.0076218876981971745, 0.017360289078382427, -0.003192153045884687, 0.003550565641665606, 0.009086985099837106, -0.024623887139895967, 0.002035039386389902, 0.02513968718393719, -0.024261804186815176, -0.01973119526589096, 0.0009264091005480659, -0.00675638936135914, -0.023911693540629657, 0.018608769581401827, -0.012259699623917774, -0.005162512622355155, -0.020219660337545083, -0.016371874419108718, -0.013352995387140338, 0.0061785905908164455, 0.0009392976641923263, 0.01767756440350742, 0.02403258091735883, -0.011279072193087266, 0.036578499017450056, -0.019386530825393364, -0.0015309082664270374]
EARTH (SOIL)	[-0.016110238396262175, 0.15813423627757986, 0.9508917885858456, -0.1089004476836616, 0.01816626007410793, -0.0016385591294899057, 0.021942757362154224, -0.025895606133106763, 0.054423159084947346, -0.00870876268584688, 0.007773455724725708, -0.02375156845215225, 0.13869262316809838, -0.07121026356654672, -0.0013984140222846146, -0.0029643830509914855, 0.0778777463571296, 0.01527246460192408, -0.007669528161240847, -0.0030311590622058076, 0.006603880793099521, 0.0021242068700254, 0.02217710990267685, 0.025753835750056468, 0.01660952373247373, -0.021684827649460284, 0.0123601847624594, 0.013013250051011354, 0.0034971182132688904, 0.03333341812088033, -0.007839161528386322, 0.028095306918336903, -0.02996366522209717, -0.009006559926061223, -0.040426784293164535, 0.033276981720955175, -0.012980903355922859, 0.04456343342605242, 0.03226655515725644, -0.00792150326225086, 0.005837495415841164, -0.006163559266598987, -0.006514511324411664, -0.007650947152896156, -0.0012273185482079962, 0.00012598563705922865, 0.02208936871233387, 0.01457741236497663, 0.006934511788010448, -0.01567256211775301, 0.004200736033317778, 0.002721673525112554, -0.012353039993917656, 0.011407852759159018, 0.0008886777215897233, 0.01222557511034714, -0.02019790258448319, -0.012788921871530337, -0.0007098565924152926, -0.009800527302292965, 0.01225952917636027, 0.0021634903892812133, -0.008430523062134251, -0.004294101690675068, -0.001988433287750724, -0.004148759800764863, 0.012193991327256523, -0.010997825296800903, 0.0008609440004091739, 0.008476808722866665, -0.0024103922207496602, -0.016049964808082125, -0.019029710373723228, 0.012066016090829737, -0.030950461959476858, 0.010913289751591407, 0.014956790104903389, 0.020646576326272276, -0.011634521325216139, 0.01727648747548007, 0.003214804845167233, -0.01171849077494429, -0.01041761770760321, 0.008929899288008712, 0.015314092795035301, -0.01512783512116057, -0.016760091904953374, -0.009101300804830426, 0.007609199676378486, -0.01646867594839444, -0.014185661535271378, -0.017934751324564843, -0.00812973887033199, -0.0031834534361948733, -0.014734883961009974, -0.005707194497333574, 0.014011583573645398, 0.0006625110279513435, 0.003000408342162734, 0.006488970573256255, 0.013036179710806442, 0.01763726894823213, -0.011393141848625896, 0.0010906319092185918, -0.014790771883850893, -0.00341113718590584, 0.00148146379827075, 0.008788648738220758, 0.008098937279870742, 0.020533560797405495, 0.011355759129994859, 0.011478121745778206, -0.00162878054799184, 0.0028245457271443954, 0.016696473414966287, 0.0031968987955611696, -0.011890262686488389, 0.018964312744338047, 0.005803407822701104, 0.012321190704059088, 0.011802781877261984, 0.0068280413457871055, 0.00702926330741978, 0.0022060289787206085, 0.012314408372716946, -0.00019949640484111353, 0.009004350428730153, 0.00848974115494614]
CLAY	[-0.004549986470715795, 0.11553701507787736, 0.6572025648394367, -0.07275862126275985, 0.0267329808009218, 0.006922698099718393, 0.023066552760965277, -0.033599680288583705, 0.054565311014436464, -0.013101429176459602, 0.007337164116047465, -0.04431805058379686, 0.15840472367259684, -0.0827805966372306, -0.0030947823212415615, -0.0018741587863177918, 0.09305427061203543, 0.04334527962752464, -0.023935064421797676, -0.04623436281172935, 0.06473887444588307, -0.005806772115573754, 0.01777206637266774, 0.046830706247297633, -0.03802707573354608, -0.057982651940448646, 0.050473701267402214, 0.08047561789324814, 0.05463479819920034, 0.1046427034642436, -0.09304000982124072, 0.21316777295997102, -0.01585321557164558, 0.015771343030902076, -0.10412531185302432, 0.04695232720033641, -0.15977544919900494, 0.14216119275739378, 0.022304769539307864, 0.09126559332143931, -0.007515219454966965, -0.046963994190219766, 0.06485312420684541, -0.03667509837403283, 0.050941754677658206, 0.006827068087581938, -0.0006715784844004644, 0.06754422992035364, 0.1418593763755727, -0.06189983589562908, 0.07372498825789106, -0.014321877523187275, -0.04511713378401315, 0.08278817888646008, 0.007990148859563654, 0.02826474933371137, -0.10437762425113341, -0.07904029598716511, -4.222327861126431e-05, -0.07382008355715736, -0.03495451550937736, 0.0688034962231665, 0.011746698534599653, -0.1323786788357112, -0.010437057652610401, 0.07476780351058132, 0.0851502029620069, -0.109038212340233, 0.07183499577871667, 0.014517941370880184, -0.08772477472751825, -0.006625663151541208, -0.12789599115131703, 0.07610797142081516, -0.1651111581344881, 0.08596193815590429, 0.0828007182002257, 0.09586906998672186, -0.04075792081426792, 0.04385950581333549, 0.002301429507257377, -0.16936038455458008, -0.05955849987687994, -0.03591175239735324, 0.04276961980190779, -0.11579973343683717, -0.032313502539067986, -0.07179585010173148, 0.1067185812140928, -0.10565536674328704, -0.058729136524635864, -0.009022057465267453, 0.016323224226578874, 0.02958107351764211, 0.0687855081188004, 0.0817684857741531, 0.06569824291625513, -0.019560549263421923, 0.09028423394943967, -0.015696638289510345, -0.04270154985854719, 0.0006869121149505621, -0.014318825396008312, 0.01803563472004938, -0.003442629421037104, -0.010425948239603366, 0.06571963554452258, 0.03794067156252194, -0.0003386830348459332, 0.027387456454496927, -0.010581287686005319, -0.036730920417032915, -0.02273615697230701, -0.008852382077224542, 0.023820602691595895, -0.014886918780065749, -0.012280948803831866, -0.031096481606200335, -0.00874410989616459, 0.008081253300762703, -0.010459148519961103, -0.03016657981165235, -0.03744883354637554, -0.006748057655799354, 0.04344162398359026, -0.017723142438099873, 0.021969743751914583, 0.004185538083140378]
MAINLAND	[-0.016814460210362, 0.15475242413352253, 0.9280346362426106, -0.10604011420930061, 0.010784907086820204, -0.007207783379660173, 0.02038434193438878, -0.02156399863250329, 0.06771370932082349, -0.008938818268208524, 0.007305746054136281, -0.022706610671241138, 0.1449008233136993, -0.04815548517156606, -0.0010734757167888715, -0.009350722548254208, 0.08134248298933627, 0.015202080822695526, -0.032842050753936605, 0.015066538926333948, -0.007725917451026603, 0.0023015021613254096, 0.03828860513169075, 0.03378761734196357, 0.03975854100235554, -0.0363220943383386, 0.02687142879522567, 0.006344269136701391, -0.01728910565387882, 0.02216734103902198, 0.004849052898518817, -0.019917854739548522, -0.05046475325711164, -0.012505630654132694, -0.024531430129179185, 0.02949761796928508, -0.004517949362961547, 0.03395288013871371, 0.009456713448943457, -0.02469662933987937, 0.013963104797978654, -0.003551571864500813, -0.010366224417741697, 0.007140023591778072, 0.0031057352431741896, 0.0007126691502495601, 0.0472768093703185, 0.0032658283081709698, 0.006832326608498046, -0.027647072733610115, -0.004270559592496074, 0.0005273942750496443, -0.007326363717721331, 0.021015644633408936, 0.009504677237514364, 0.022183831575159386, -0.0007191743683193656, -0.03480310121173847, -0.019433495907599227, -0.007131549183030581, 0.0242115697372806, -0.028706299426570162, -0.03216772722019047, 0.04396074921841132, 0.0054539589545846865, -0.042421934893159, 0.022119984944621682, 0.012989603210447393, -0.0014283366015132699, 0.010394731483513865, 0.010502654706978918, 0.006121264525366656, -0.023216760820645714, -0.013343713621203195, -0.041088799937386886, -0.010024802208451302, -0.018465462614192116, -0.0010163373224842862, -0.004626466596376666, -0.0014720169204111967, -0.010734839982565808, 0.015310921228007323, 0.020478880262376084, -0.014055178053971273, 0.005303975346167249, -0.02174006282910411, -0.009267209947526889, -0.0046939467282081475, -0.045413284558275056, 0.014286917074378966, -0.0023712503325807434, -0.014540212350136446, 0.009870997433078954, 0.02071561124833375, 0.010998659791247097, -0.0311348653097658, 0.03138978901948671, -0.014334118970927671, 0.023822802600597628, -0.006062152245326797, 0.0004180597277976621, 0.0004837367484871497, 0.004716579093714171, 0.015746245603269184, -0.0019420118426636632, -0.032240467831928424, 0.032558499927296446, -0.0017854790951135984, -0.00044952055840206343, -0.023428537286730958, -0.004230561569074332, 0.030144655138402518, 0.0429687014414219, -0.056404916758782446, 0.019489171998457126, -0.013570138591168722, 0.0029604215455002196, 0.0602433939724974, 0.0030468162990013956, -0.03301675236686831, 0.09068216465805393, -0.024238506670343354, -0.05859785671478893, 0.030184911023308017, 0.001458514631281731, 0.012353177567625271, -0.025932180138075016, 0.006620044246762196]
SKY	[-0.006527613386392543, 0.02646104489583657, 0.14314150908324258, -0.017032614168630233, -0.02152602507801627, 0.03696417487673432, -0.008116428774043918, 0.01318022795918831, -0.02918570244261501, -0.012043165812640765, -0.005887906097180936, 0.015501337187270328, -0.5486019751591266, 0.23607906889406396, 0.10511921640046264, 0.03902168956222718, 0.09552720092368784, -0.05269697408656742, -0.34822076718551087, -0.07616275902551445, -0.10973838944254277, -0.12083153352151238, 0.03351509546725477, -0.1619246552782507, -0.14092200518829037, 0.008501735985720927, 0.08089123139458641, 0.005324594899658258, -0.01679770261868969, -0.10431263704998864, -0.1825013326295733, -0.07500872300316734, 0.16051986304750573, 0.0431092833111313, 0.06469603263191805, -0.06495564159797024, -0.05001688735714412, 0.0013829045951119585, 0.1663436296675434, -0.0446929611604595, -0.028102251630342724, 0.06795585742821175, -0.0005604881609523432, -0.12988608414973457, -0.040528823410871745, -0.06365554864735731, -0.022144933136315367, 0.039282917001429093, -0.015837317362327335, -0.030930054023584147, 0.05259999819346141, 0.0009659920058750106, -0.16941045355003814, -0.037862908956580815, -0.117636360411785, 0.01782263975292572, -0.12208451230951621, 0.1481002806784898, -0.031497080443469244, 0.06959420828226343, -0.02040461220667222, -0.0005945129709981604, -0.051456824504796, 0.02226502477437159, -0.02355078986957104, 0.04366560887424847, -0.008678797950296092, 0.08181173811381175, -0.020879849763321003, -0.014720925268415555, 0.0746447331398708, 0.020873295280414234, -0.04448542021528735, -0.032349837906244336, -0.004298939755705356, -0.01343264958070642, 0.012425042514146936, -0.01828969308779371, -0.008224540922519574, -0.051716579310218266, 0.06901915164160635, -0.015329090295824235, 0.010396015208527903, -0.02505517503120667, -0.026369306125703765, -0.04671999304439506, 0.05790611517865079, 0.017491883487527147, 0.024652833134566666, -0.046275656669202324, -0.012875685918368303, -0.0969203970749541, 0.0653882455521384, -0.03319712427024859, -0.009687417818936927, 0.05038641880346113, 0.013322115194434034, -0.03564592051634575, 0.10744911623635925, -0.07824494524611153, 0.04394202055636651, 0.11398169048110254, 0.019237165848696655, -0.015379907022529617, -0.13042894597499174, -0.010108621548431139, -0.06526960035051871, -0.09603038252345203, -0.042254622787837245, 0.06961196811093716, 0.01592921654575422, -0.07944347787374798, -0.03761155946445441, 0.020394858477686753, -0.022004804517028565, -0.004534407526079453, -0.014660083667248285, -0.04653702273171106, 0.009358917276957332, -0.025551991345218836, -0.0003729728243879115, -0.048530434231636665, -0.0023904263100004014, -0.021750569413238906, -0.02479652208830129, -0.0024421949124837005, 0.020402566957667415, -0.03021865005641079]
LIGHT (RADIATION)	[-0.004937233467531497, 0.03288497487234923, 0.1677297490308286, -0.025957056629483433, 0.0057901257181527145, 0.01370284964154968, -0.04083912691139981, 0.07190007225611406, -0.04459943397137238, -0.013884586821375623, 0.05180467172561491, 0.020761759156723656, -0.17274110441747562, 0.7263417381628167, 0.04528122523965766, -0.014163578213291925, -0.017650090332218895, 0.01749124476808426, 0.29884969771814857, 0.12268321995954164, 0.12305270631088766, 0.08507816784973446, -0.008998421966219134, 0.26049356140901997, 0.2258624198220458, -0.0922094870712483, -0.059272981008456876, -0.10155936843161503, -0.0331369831852345, 0.08204392846097484, -0.009842436205035178, 0.06729889952065926, -0.0031558151864328086, 0.027116746342387824, 0.0759610431389003, -0.028592361415997608, 0.009197818896143581, 0.03520067010090385, -0.14934196916806491, 0.012382956911563662, 0.018276991684283362, 0.019861557780309305, -0.05052930088212016, 0.07360964881383458, 0.04194639124294903, 0.0037511033493520304, 0.08852568812638942, 0.12349202402602198, -0.040565936562831105, 0.07231697392484818, 0.021334996063923934, -0.03889611255644907, -0.07974006241330432, 0.01963238333087945, 0.015586903946287452, -0.02637669177754737, -0.0324803902603943, 0.0288647075594777, 0.026140381882868255, 0.013792894001784795, -0.015454201077991612, -0.012121561304924113, -0.047402573078305116, -0.017368645015936626, 0.046321162399210525, 0.009632582765502648, -0.022029447337636312, 0.016660854382249318, -0.010207244625989018, 0.0028957253823392974, 0.016081908727859407, -0.013772830035362024, 0.017507295622164742, -0.011098728977045887, 0.04698856185194162, -0.011859164531488782, 0.014107326585190526, -0.022137000208317055, 0.022001063092982626, -0.048745982422059506, 0.0286665104923298, 0.00810568726707984, -0.03424930366451559, 0.019252052331927342, 0.003677708619070476, -0.01198405299654741, -0.011745741227935449, -0.003995730459772983, -0.0415385765645864, 0.003049017627677572, 0.014244958124443258, -0.030407315315241806, 0.008302970866675282, -0.0026430304295458626, 0.006342016755952089, 0.011291863909498502, 0.027116802716592992, 0.02028315736456332, 0.004416480139316603, -0.003166825964115055, 0.014487574546370698, 0.042667855719418064, -0.008934492516925515, 0.02557941547467285, 0.0030777591042114322, -0.023055297351103888, 0.002397629832904006, 0.013319384417758567, -0.023460818429652794, 0.03882587662827128, -0.0027179355349181366, 0.059868430623791054, -0.008370309261465952, 0.013909496315077617, -0.0012443876830968102, 0.008080547554333377, -0.02178930071276491, 0.020958126227935747, 0.026361253083430004, 0.01711113699492548, -0.02579294143602487, -0.004337976821792068, -0.003683397743245582, 0.0027217543646846365, -0.006448890214486154, -0.01868000487942297, 0.019927890569213708, 0.017282992491600112]
WEATHER	[-0.0033511633998540326, 0.03454242242547527, 0.2127011577349101, -0.029944103164049968, -0.014460659023736102, 0.015404221963343184, -0.012412443723373422, 0.05350251449944776, -0.02256979372950756, -0.01584782822600006, 0.0320395847425905, 0.020938060757109304, -0.3282787673864177, 0.6051074551585461, 0.09889488832695764, -0.007140089271863923, 0.07590322295179301, -0.06818477716643792, -0.4064572066890247, -0.11481729383480219, -0.12634585327458997, -0.1040527961416671, 0.029935642941324156, -0.2831611178586592, -0.2503547317272791, 0.08379899216533301, 0.012295284157433093, -0.01520692405733553, -0.010639927788812075, -0.1359362907328132, -0.08964289951204757, -0.07952983884079128, 0.04954875234049695, 0.029151852175080994, -0.01425672093122603, -0.013346278704837202, -0.0007724432829070692, -0.013952145729827174, 0.09293775974248936, 0.002381124273219501, -0.012216931324081495, 0.0036969523605563733, -0.00978912466603351, -0.05786333085937056, -0.024851249885469696, -0.031959068429385805, -0.04250100997729193, -0.059985773346607055, -0.034108054697833706, -0.04390539415989342, -0.0008515979250772126, 0.026489977475845704, -0.0010774011790962346, -0.02771596010514672, -0.0007673546379423127, -0.016977989640034052, 0.05812261723252727, -0.004113259254450549, -0.0501158543778957, -0.000984963773677782, -0.009912705479593257, 0.035320662498457264, -0.0003479307877182996, 0.022532924280225023, -0.03822009698825285, 0.0005821475970620406, -0.0073585662606154975, -0.018418263368888653, 0.05085035625594432, 0.0006565440151907242, -0.028517621399612732, -0.009362875663007642, 0.039395998067464966, -0.0009564134958284425, -0.023935528920217854, 0.0104909323170631, -0.014974225320405916, 0.005249582152562336, -0.013705012336607241, 0.03443448848194023, -0.005601936303572241, -0.007960053315919747, 0.014672969829483701, -0.018301566470282034, -0.007438561519009592, 0.009287446418227215, 0.007314002413084617, 0.03513461431233772, 0.025609544427590874, -0.04759894562236979, 0.004799880153609696, -0.01209111835623346, 0.026047653276088094, 0.0035429938745377425, 0.011576156931371494, 0.011237774875906702, 0.004143175682588069, -0.018891214999151914, -0.012533053586486268, -0.04092610766515321, -0.01869755192104636, 0.022055037270489634, 0.008805805290649971, 0.007591029738083016, 0.020775705672261044, 0.02961785023022911, 0.014038382815167776, 0.0120071517292441, 0.016160427052514147, 0.00826206856348782, -0.01064433898941925, 0.008975638373014336, -0.04883322976979434, -0.023197449682961342, 0.0060729793996948155, -0.03687461544963742, -0.020577170451737403, -0.0015268347444163668, -0.008308823358608518, -0.005768168973714857, 0.02071198845577538, -0.014491178860206917, -0.020614196682551465, -0.0022978156077701002, 0.023768801670831948, -0.010246755711285041, 0.013856913038004149, 0.016616029040774017]
FLOOR	[-0.015592620332356906, 0.15696172389296373, 0.9459027069521633, -0.10564843948364609, 0.016132898971768245, 0.002046126058993551, 0.022828444185528856, -0.027951793128935667, 0.011757004299903501, -0.003965058654304875, 0.007777624890445263, -0.017103104208812454, 0.10411065669841912, -0.09344389433358044, -0.002344731731627089, -0.0019990551636622695, 0.06193129136136315, 0.004028539449825508, 0.014360242664096174, 0.0039793346821134536, 0.012998696109510101, 0.007487736699370263, -0.02859196916057629, -0.0038562056009396116, 0.006699948386418549, 0.016678643732384115, -0.023194928632951237, -0.008047575623079195, 0.015285056340497824, 0.030064275834644397, 0.0007166731944821218, 0.03595927544083005, -0.000338861701193163, 0.008051392311580764, -0.028405613434987487, 0.012741868714339162, 0.02618208477362675, 0.0371584508732221, 0.02230394488895128, -0.028287963457123984, -0.005405123949527485, -0.001921176297270262, -0.0013292702809915794, 0.001352183297103789, -0.0025798441295705604, 0.0014009192464430173, 0.025970215728571666, 0.0051721049570164716, -0.009544259826689848, -0.007638799724080513, -0.01019934614605964, 0.004639179718989585, 0.0015336771265773432, 0.02447003421685947, -0.02488930417427259, 0.02170562045529539, 0.004336154150759331, -0.006246941115235468, 0.00039037101904744123, -0.019751413600962504, 0.02868963316784195, 0.007827476216506094, 0.01652115706552577, 0.012445922399125932, -0.04930409821547308, -0.012543723800051941, -0.014525841533442895, 0.007554557184596075, -0.003651811639122413, 0.00675344589388509, -0.0039921980406208875, -0.007813281872746106, -0.010324484011214035, -0.01804965448102748, 0.015983290506019484, -0.009492515659218409, -0.03408234362109299, 0.009496639772711578, 0.02061125679997026, -7.607067974615206e-05, -0.020322449013697782, -0.0013539998977034238, 0.005381888945750853, -0.00044474219349662566, 0.005492443844169244, -0.004790180876177183, -0.01952586881216895, 0.025550669318910337, 0.012307782438913752, -0.006169594237409908, -0.019226650988349258, -0.017987015433409678, -0.0028091776568944255, 0.007185706698228371, -0.03282012190777858, -0.023218241673893785, 0.026748511814803713, 0.04438235544433492, 0.03490605230045682, 0.011347513592306863, 0.03758901077513292, 0.04512797374743113, -0.016420291534397207, -0.011893631058706496, 0.020974954560393073, -0.027554039866074242, -0.025559199688430647, -0.012878010135540253, -0.03366222741420551, -0.0007113446237737775, -0.0011113167615230196, 0.025859894646647976, 0.06432969458370051, 0.01288743370757237, 0.00799871374639204, 0.007361159318213713, 0.010205668968710835, 0.030913743516805994, -0.010930068943396157, -0.03293937144357814, 0.016050631559235296, 0.029901477267476273, -0.02070402570457928, -0.0011857758517134192, 0.002838618964762892, -0.018208537828168093, 0.018205419818747647, 0.004638520873110344]
PLACE (POSITION)	[-0.013491170476918122, 0.12749496440025268, 0.7042093871952071, -0.08664714717974181, -0.004461116460338807, -0.007387369246690134, 0.012089051993538042, 0.0030833341136645904, 0.019919769293527272, 0.004834010693464949, -0.0006788061493739404, 0.0018535467297733478, 0.05105531969215502, -0.004193879871954763, -0.009126326050162684, -0.00645004978394742, 0.010748793965958755, 0.004906724460631196, 0.002777257925301561, 0.0030185715119647612, -0.060250422318025396, -0.004358928719149459, 0.016551246092549415, -0.04507709717254029, -0.026983021747576292, 0.017731547031604306, 0.0495179145622715, 0.025197381347682637, 0.006305512154707011, -0.07118398753669064, 0.029113081510201, -0.16803823955572825, 0.047855669835184966, -0.070192895724643, 0.03473711949320043, -0.10347290204946478, 0.0400846564563048, -0.2464620744992269, -0.09375927883672354, -0.008116386609895034, -0.010090584557738367, -0.0008919597086228512, -0.026008778673533014, -0.016592024489346352, -0.14422092850907064, -0.07280134637072365, -0.023119916868540702, -0.07273598634611864, -0.0809756401539518, 0.0851850755505899, 0.010549280864544581, -0.007175784468270994, 0.10379935794075777, -0.025659882660128353, 0.024268614280752478, 0.04722461493766191, 0.08929716670064097, -0.043734310293466944, -0.04931423408178531, 0.03374090612581503, 0.020664313626595692, -0.03681139082630357, 0.016688262638724288, 0.06427523066359787, -0.04315384546215715, -0.0593460850402831, 0.015966629291095942, 0.026523876712291453, -0.02230331381435055, -0.006345887943366523, 0.027484398026637154, 0.03880849818421054, 0.09667967481887721, -0.06564271927880402, 0.06815732730392718, -0.04036814664109642, -0.016949572557507023, -0.031568260927116246, 0.01255199383033635, -0.08640800950786948, -0.06989712327946812, 0.22929014776004567, 0.07189366871301002, 0.0271328554847282, -0.09621646550877985, 0.08469487031101751, 0.11675115863213054, -0.006362936218532012, -0.03377298991972911, 0.03028869414382085, 0.04373576397736033, -0.024652766479781225, -0.04300893827066446, 0.00926291987199603, -0.06897600652574706, -0.0654116561777703, 0.0006499397813899836, 0.05203980484337637, -0.034020386140050235, -0.04643064567652829, -0.07247063310011122, -0.003418379468470506, -0.06614227335803713, 0.04812779244676656, 0.07032355788693151, 0.05462182834221722, 0.0711419716017155, 0.03325960190234075, -0.0012117601524739333, -0.11828794051626898, -0.003065174964323404, -0.05896550648139178, 0.026368949071969783, -0.1457111678779015, 0.030081055231176393, -0.08435481140361278, -0.0292474941095587, 0.01139013285839341, 0.018261969178892414, 0.010136111834214161, 0.06439216619430735, -0.054569366149152816, -0.13504662999748693, 0.05889618868035359, -0.03575532667415076, 0.0019732095726440074, 0.009447019089886441, 0.05471383796245959]
