WORLD	[0.007043458172749882, -0.004137842387444108, 0.022053770463784525, -0.037169007158735765, -0.07178297698544242, -0.00885990161502446, -0.01306672890779483, -0.04016809645277026, -0.02698987515504912, -0.07189496761461803, -0.4829891134660997, 0.708619289069488, -0.19091857829969552, 0.0933590725427341, 0.30251970499788, 0.07182140122126127, 0.03896065668439877, 0.04364340569961529, -0.0824773521961029, -0.02851169254346077, 0.02928042221230546, -0.005786837167149557, 0.04583802749575906, -0.01152786827430528, 0.01539006053979058, 0.00994290162097541, -0.0612060058746424, -0.002258893020467297, 0.038362407936102724, -0.006105491447895784, 0.014422509878400056, -0.005907627086133156, -0.020802382093459217, 0.013699091566102082, 0.038873839513764906, 0.04278170462991837, -0.08979334525307303, 0.06964746643669169, -0.07504818985059514, -0.01133437606672299, -0.06204456247832458, -0.034193229265082364, -0.020175161949863105, 0.02274265213321289, -0.015368446490825376, -0.031667611936567724, 0.01222549253879226, 0.041071200753223805, -0.022033260762965412, 0.01040137805672146, -0.021580851618899718, -0.0060419226734957495, -0.027743639738637152, 0.005167771494627543, -0.02532741000072672, -0.044375055215786566, -0.008658770986422405, -0.04461294197439516, -0.01995364650345746, -0.023191931286878322, 0.006447525061024271, -0.013088728236909111, -0.02649283180579806, -0.006834204735016174, -0.051476319540568805, 0.01805760199847654, -0.020738059738750314, 0.007182971841484225, 0.002888170665572361, -0.009960738616785035, 0.013368668674731807, -0.02635114338548743, 0.05071105238105947, -0.023380899383169798, 0.0326195708500426, 0.016799794869511588, 0.029785930331260247, -0.011484311479068575, -0.000900734658205856, 0.004064344163776765, 0.027683512019543183, -0.011648113433735717, 0.03072779236259478, 0.007299984325411332, 0.04021826250049603, -0.02409405701803561, -0.015258770021180926, 0.04026434786910343, 0.0021259621875520155, 0.047573473406480285, 0.005437117876382531, -0.01690496251302045, 0.02227053153611183, -0.012140304609455052, 0.0034987238007801237, -0.07315538449257264, -0.0704789398274093, -0.022878515594527322, 0.0362178912791248, -0.01991901168617833, -0.0509226699892011, -0.06298965343723419, 0.0055554631850192795, 0.008460784731214331, 0.01851186589242721, -0.012313291613135354, -0.01530249228856428, 0.0004223456552803207, -0.012425968943963592, -0.03942570394451409, 0.004520459398675954, -0.013911083896004466, -0.015785609834580917, -0.013610316392888263, -0.03042941281844052, -0.026724995609864334, -0.015377128313488166, -0.01170258344957921, 0.04551369581436972, -0.0018818164127013624, 0.0035291798166993877, 0.03748991735920323, 0.008197821606509255, -0.007610638487035146, -0.022299889939557546, 0.004777258320537554, -0.01319878193591173, -0.0035970281809298552]
FLOOR	[0.006847599461077467, -0.002652220645220149, 0.019647967410175934, -0.02822626954867281, -0.06553665924627401, -0.00833397916597324, -0.014642003173487681, -0.045932569223314276, -0.016517628858755042, -0.07217752862512003, -0.48430003463193055, 0.6853466229260726, -0.19962379521353946, 0.07744051271082274, 0.2825982945330032, 0.07142265684303686, 0.030803765044197337, 0.013760387685207221, -0.07416532603743217, -0.09071978865258032, 0.049477987801160916, -0.02600636735690782, 0.1454778515030237, 0.07833059053417318, 0.016222063307509284, 0.026116913743245665, -0.04515050366756713, -0.004908916718183765, 0.059082866177749584, -0.03262226159219487, 0.017442890699549185, -0.010773184693688745, -0.04771336859106381, 0.008454572007208068, 0.032487858862057926, 0.04433865862775155, -0.04828628313558154, 0.04819326461665636, -0.0682521892462465, -0.03593322119179304, -0.01264065508371731, 0.007067158095891312, -0.02662796275998396, 0.0011331106159188499, -0.01990045722766189, -0.047427081194291634, 0.009215859083206272, 0.03789043293690362, -0.0070632016459138474, 0.016121622670362, 0.00415076939722886, 0.0107960486263703, -0.01929217191700291, -9.750994407847461e-05, 0.01653647136502687, -0.035921110660294645, -0.0041432591925953145, -0.04399994555103059, 0.004951376101354766, -0.006490737339303533, 0.038130167337712455, 0.011810065765197896, -0.016350775038981646, -0.028826737320754647, -0.06609863056990202, 0.012366127077805815, 0.004095745577883364, 0.013010168868623785, 0.060503253247248485, 0.034868144121416374, -0.04429137155751481, -0.0021704759171338843, 0.0516795928196156, 0.002228473420463793, 0.04613258770266974, 0.030722752542624483, 0.0014336183208109414, -0.0013404962187794865, -0.014503681852325317, 0.00021289630199769252, 0.021188740685260162, 0.009982445133572087, -0.0030410813418232175, 0.004450796403940183, -0.00800944313755157, 0.007317007694571021, -0.037779772297659976, 0.026936664842314436, 0.028541358752964777, 0.04766565340366709, 0.027233466621012798, 0.015612753975277529, 0.01929311059571937, 0.03710161655688236, 0.02373895591186107, -0.0866626800861638, -0.08213127352036408, -0.03769787776547246, 0.027016120340987177, -0.020126808482475222, -0.06018431990361725, -0.05351618787902329, 0.008322305847679888, 0.06353907605081492, 0.006160844818812325, 0.012751043062900765, -8.651804117380815e-05, -0.0043816762021096625, -0.038279506541490045, -0.06149628397470157, -0.024997085484501233, -0.001013990342051135, -0.007644551620550232, 0.02862683994565665, -0.0353611235582134, -0.03273908487729692, -0.044513718730348505, -0.018812417597507496, 0.037082192818114396, 0.01654927008583825, 0.0320513302978643, 0.02386370398612869, 0.006183332760774416, -0.00757411373560187, 0.006614108087816187, 0.01329668475856271, -0.02400154813292738, -0.013904263920663483]
LAND	[0.0074086721892452035, 0.0008290956889766517, 0.023982327336989327, -0.028826553132095298, -0.08580609706041843, -0.010848764838564243, -0.01217580029202993, -0.045260145589112115, -0.017660401503832846, -0.06700117586738817, -0.49283144712933635, 0.7043670250448715, -0.2018127676017671, 0.08185131295372484, 0.30845284230425996, 0.07502086588877807, 0.028785375889834142, 0.02043961105670428, -0.06659775077458749, -0.07641677812626843, 0.04049880513193576, -0.03385796502329492, 0.1390318877746137, 0.05316989377508505, 0.006938602990837575, 0.006392642426354645, -0.0419755318906036, -0.005748206430265658, 0.03481389181387528, -0.01617042859482024, 0.013751127032761235, -0.0010365941639528566, -0.05648241519878381, 0.009630288702369379, 0.03422120456903604, 0.035142380556163186, -0.049851159774648594, 0.07137158394181609, -0.05769545414648129, -0.050244416920176026, -0.0268656045265131, -0.016478598335487704, -0.05660280713929532, 0.004052798659461614, -0.04929598289616776, -0.05448527234650168, 0.007385007327482925, 0.028810286811976088, -0.010368424660125134, 0.012237453690331478, -0.02718633297647279, 0.00035769679620418143, -0.02591544534128514, 0.0026604424372272395, -0.0013767209300755145, -0.036604866245415604, -0.005784435804895164, -0.05757279436688563, -0.010604001387864812, 0.007257005471001354, 0.015192395643721346, -0.00317736266625738, -0.029895318168080304, -0.016812706298091524, -0.04463353496161704, 0.0013648782082627572, -0.011771026762785604, -0.016423989886721287, 0.015271720352156293, -0.005587233397236345, -0.016673938689535654, -0.0312542165950702, 0.03772704143669127, -0.006633726065378415, 0.038987877942858844, 0.011924038562100494, 0.02656005980834952, -0.009200858036383116, 0.0018454725731185766, 0.009832551787767032, 0.020046644827539248, 0.0014524457678406575, -0.010447642755731255, 0.010750492587549959, 0.015087276837821375, -0.0038773127566858524, -0.011071935644968316, -0.0011123111228863235, -0.00022686746437546965, 0.031437106507713926, 0.0009091173351680336, -0.009209302067316882, 0.01876259786707946, 0.0033684572064980383, 0.007652027593920194, -0.027378075447582414, -0.04062724369554758, -0.00876030300359472, 0.0003313252347732264, -0.0210458839330473, -0.03424484464526239, -0.015494877435668849, 0.0025142727261469352, 0.020256924873636693, -0.005600721783904361, -0.01364540850578221, -0.01610153466256069, 0.0007332297648960964, -0.007295126603026244, -0.024575485008305354, -0.001464250683289667, 0.00706670273459999, -0.0013967868022412193, -0.005051439336406663, -0.011852740408367774, -0.022344617811823064, -0.018077299404392483, -0.0033780689408166222, 0.026174877887944325, -0.0009112500293912117, 0.02650409357636228, -0.005274235380703701, -0.008931476477179026, 0.0054905370972931754, 0.009770613849419695, 0.011192339453042469, -0.008761939024503644, -0.00833668966787925]
LIGHT (RADIATION)	[0.006166543937529703, -0.0047036890951348345, -0.025875917875155842, -0.013765164859232503, 0.028846043198114735, 0.016969309077531088, -0.020974528105028187, 0.012345204984813054, -0.026954473949466307, -0.02741859588493352, 0.019321894914672323, 0.15484504379024777, -0.018719578813178848, 0.07132056554718408, -0.027751093372849027, -0.04273041204880046, 0.028036488559864355, 0.12489433882460546, -0.04339918071346458, 0.1330767394645413, 0.05530601824565147, 0.0848005072133773, -0.24218330611697608, -0.16419008271237095, -0.020800783528893196, 0.09712547735324785, -0.06130071848604982, -0.07001095413435492, 0.03768922725371874, 0.12235209684658224, 0.050596365936662814, -0.03752350963762939, 0.05442948736134756, 0.08213788797157241, 0.06404509173234492, -0.047992375681976535, -0.05577757246141588, -0.08195838489102082, -0.06060808356500502, -0.041626005535078996, -0.08324415204046857, -0.19389017170381956, 0.01227544165372651, 0.06068066440002426, 0.047803650593256336, -0.047234386770139795, 0.0839498083704397, -0.307459325722969, 0.07074702263731744, -0.08798006665313898, 0.04803829344262602, 0.0940322820804289, -0.08457214819958546, -0.12037757949090189, 0.0999019763251994, -0.0641101421088503, -0.022342839558198855, 0.13770568049106216, -0.06443755857781792, 0.20138359299737088, -0.1704743503890885, -0.06261516909109395, -0.08438097652763936, -0.05659756620734901, -0.175374368107982, -0.14091044204622485, -0.10722906961779263, 0.020230464143139455, 0.10941206163159915, 0.02367531042981487, 0.301805612308017, 0.0019285709259441307, 0.03891941598638192, -0.18502364028297666, 0.0422804277853791, 0.0005743550821378987, -0.013704062683527633, 0.08426145777273895, -0.06374103326971851, 0.12281513461878318, -0.0965757820593882, 0.06720117480046882, -0.0625105939293311, 0.041914584979177605, -0.026560393935130138, -0.08717147866532969, 0.17969265976179263, 0.055293299723406304, -0.004903524047532238, -0.005172296054929931, -0.1827597697138981, 0.038548076436798896, -0.07915409171353636, -0.025901941382021596, -0.029219570285909064, -0.03238610667983098, 0.022180615265636087, 0.006543287899703347, 0.026929424538102986, -0.014401239686959475, 0.010489136384961285, 0.18013078287221043, -0.06315333927184652, -0.028251371306398185, -0.043309697288212975, -0.021083058053927375, 0.043239161156874914, -0.03727265815904429, 0.07212617085619304, 0.0044790855483649574, -0.11031312414801588, 0.06178542263953224, 0.0664243544607003, -0.06372551999035854, 0.060542913778449635, 0.04665775630118932, -0.007571982414714898, 0.03175839944997406, -0.02932881797202597, -0.010605998266126695, 0.04642889695490571, 0.08166917365413856, 0.0290711748988634, -0.07775573505012637, -0.004500252792540112, -0.05197574888448929, -0.041339819087908666, -0.027077993617504438]
PEACE	[0.0025885598576068764, -0.012843482302325527, 0.013482185306000552, -0.001888309371757164, 0.012467600530124237, -0.026266679765542335, -0.0167970423922306, -0.01069620716970072, -0.0033518150043672667, -0.013429085360638618, -0.08237781030289781, 0.09879890717147154, -0.08295156063321625, 0.058319100641040865, 0.02983639611620501, -0.02416243802804371, 0.013422471411671931, 0.007330407695895113, -0.009007926646686901, 0.005447250103059925, -0.02186741165631791, 0.02828533053434722, 0.036367341689932435, -0.006525966395421374, 0.008252014912529531, 0.02148121927228397, -0.026361855794213948, 0.021582618586640234, 0.0002051354902799663, 0.014190058410613101, -0.004843743641833582, 0.009876219751886663, -0.005384969845318632, 0.0036781653729005734, -0.004198290582298891, -0.05390049323040915, -0.005414492692170851, 0.09647362688437774, 0.005075927025581994, 0.021070177156669784, -0.06546874642731701, 0.07007245825836002, 0.07616937272308948, 0.12127959022257112, -0.05646820437361562, 0.06987308241732092, 0.09159911990041406, 0.03873962858623316, -0.0633729767471205, 0.016999592314208282, -0.03371257233675951, -0.08008822821956461, 0.01025180015140752, -0.0030843115305514575, 0.022140463001431993, -0.07073001329668474, -0.05992676281663589, 0.005209651585784523, -0.03987272707180796, -0.03360884585642059, -0.045013017957677724, -0.056857433701052965, 0.02342726450521368, -0.09960286101212848, -0.04619410961000123, 0.19800562650168457, 0.0048703041124086915, -0.1446092088092407, -0.07655652420674199, -0.13697866149425952, 0.11129694054230885, -0.10857619938732781, -0.06813702990429044, -0.08700616857290305, 0.08835152602932603, -0.08092836900182676, 0.046362816601145884, 0.06467854419183808, -0.08742656130451985, 0.10767287993825024, 0.11453884466132347, -0.044806049790678926, -0.004465010878978379, 0.07142223348917844, 0.001112833282742723, -0.13003323568552327, -0.17710193405429725, -0.018252226279980063, 0.05704289778470859, 0.13884848548345638, 0.004635126783797646, 0.005718413005081986, 0.06792783527786472, 0.002590998376912761, 0.10637245312088577, 0.07062050049565899, 0.004777533910933387, 0.12806169622936237, -0.044608556692269215, -0.018468977416017152, 0.0463887874781624, 0.027888561970269586, -0.17544898172047477, -0.11075879883732008, -0.07817825881178544, 0.018767510858721206, 0.14262330701971512, 0.021288064155917562, -0.08941831796432605, -0.10206973629217406, -0.11635650341341666, -0.10301139693809426, 0.005520674565692136, 0.2803776934019149, 0.09825236853353092, -0.2892691234481894, 0.04331520842476212, -0.2010015506972964, -0.1251869876124035, 0.21662868145898012, 0.06240963241045171, 0.13353599613418535, 0.08614830718423142, -0.09956160871154494, 0.14569583016265172, 0.05364749349102406, -0.2736595657468875, 0.19973521003369654]
COUNTRY	[0.009238662586596506, 0.010981087873629225, 0.023686873560554468, -0.017287577016867364, -0.11477100152316028, -0.018368752644152442, -0.0029820234807214135, -0.045966220613787565, -0.013199367609266367, -0.04548807916080499, -0.47576794646442816, 0.6883870583363865, -0.1982099315491284, 0.07372837549812898, 0.3216352012839705, 0.07109658885127462, 0.015830304604215046, 0.021031232905045945, -0.05634503014138032, -0.057948819380743526, 0.039043486611409856, -0.04412040370116592, 0.14749680353595634, 0.035860031144928924, -0.01546096055519082, -0.029584422431308533, -0.035859188991558315, -0.012964149021163903, 0.01039881260137424, -0.0021091337714286874, 0.008978079068952734, 0.018860670458895983, -0.0699793258942354, 0.014092796528724319, 0.03417664997644817, -0.0039336269809182875, -0.01695688536769245, 0.08543550175388297, -0.03152833826729717, -0.06498472438792659, -0.02788297767520473, -0.028106453034875863, -0.07406539432292879, 0.0022241120159014953, -0.09120342105546018, -0.05220978299589721, 0.009156718043324118, -0.010419672820264349, 0.0026603358323690316, 0.000761254863318893, -0.06555226421310878, -0.002202597074210812, -0.022036224417666263, -0.009261350144750076, -0.0144407967076041, -0.0290770956789511, -0.010029229319515012, -0.07464872713843199, -0.01630588419705675, 0.044980877653224914, -0.030838901594145457, -0.012722960533983628, -0.0389077549416461, 0.019883871867936723, 8.108690293970069e-05, -0.036296315120019115, -0.02967072409663665, -0.022957384468684217, -0.03637359422484553, -0.05500738219336327, 0.01304580521549149, -0.05553450518775657, 0.013239395478889832, -0.01128678065708259, 0.0009565402790596423, -0.004265413844129199, 0.05067215525903319, 0.011453251798483567, 0.02581662515323214, 0.0007907957773563566, 0.010168337583447878, 0.0071957766537783675, -0.041827235855048876, 0.031321978807516554, 0.04107762141493137, -0.022593850917717987, 0.012421560895819172, -0.02980376208550344, -0.03516018292358532, -0.0030184725367821434, -0.023224207967144406, -0.025562052522454807, 0.01867239999327035, -0.03375001950099785, -0.010028001432398334, 0.06370971411633351, 0.028502144838448838, 0.025406751749440397, 0.013378720164977846, -0.021241024715481487, 0.0038600052541873315, 0.021922494619279, -0.0009051288236694924, -0.019093988601335574, -0.01339375414664348, -0.025281342793122368, 0.0025642307629144163, 0.0012330279443512676, 0.016406782437641983, 0.008473650411826213, 0.012110662457134129, -0.0035905412038653804, 0.01707069520695117, -0.014978311801270785, 0.023747816235610526, 0.0003276783662514998, 0.012381463572734556, -0.010314355846113435, -0.011218429413647374, -0.004264066745623255, 0.004615663844195682, -0.03382157259917922, -0.023384997620203907, -0.004738594636845198, 0.004888922020679524, -0.018016188940541942, -0.009250677203006907, 0.017117551558901628]
MAINLAND	[0.005782941894736566, 0.0035839733605146002, 0.02842362398556225, -0.036391688998067544, -0.07967938172550443, -0.007550525026065505, -0.014219001252333911, -0.05131596485145302, -0.015481222293352503, -0.06398820866801777, -0.4816181172274222, 0.6882674164859993, -0.19298133589959468, 0.06856088873617622, 0.2892868018055413, 0.07034722809614387, 0.03458235575614396, 0.00957904099216678, -0.05368760787232826, -0.08172734702658002, 0.046413020197394066, -0.0371464178064043, 0.13083605157669465, 0.06763864080081708, -0.0026365690904022747, 0.008397201024475585, -0.03658485981757236, 0.010623778426895275, 0.02180073668063483, -0.006574324944215696, 0.03089196475850587, -0.012531491360069738, -0.055147512532256526, -0.0015828099834357733, 0.020971827039549237, 0.036253844726035614, -0.04258804364168, 0.07921332049385682, -0.06281060979510322, -0.055063205213419286, -0.013159286519019259, -0.01504532986287545, -0.060411290382120376, -0.012627208639217733, -0.06000322403637743, -0.0623130725704928, 0.011719494150574682, 0.03993024357357573, -0.015515735429830601, 0.01898873183039077, -0.046421141049812195, 0.015954084568951903, -0.02379395278246973, 0.01422504129266904, -0.005056808925604241, -0.033211562725128464, -0.001806638598917511, -0.04785663295194287, -0.037377399914241154, 0.0158419534251559, -0.010460947011863161, -0.023143328716965453, -0.03231205868196476, -0.004227671093091665, -0.029907403484247804, -0.005419394798350397, -0.011590636887234483, -0.04195875093747356, 0.019429841719920415, -0.015309506362425883, 0.009081583659044231, -0.030083066988637122, 0.04243572405663033, -0.013475870401159383, 0.036354505203182744, 0.01179280827270716, 0.033970430121094686, -0.0527366069106738, 0.0066861951283347055, 0.019289219815635816, 0.032241372211150865, -6.216682387524052e-05, -0.014046287402025029, 0.026793089509179815, 0.04328320578476151, 0.00520476130172645, 0.03283971313194103, -0.010613488498655243, 0.00016196567891890943, -0.01115702339533804, 0.03791433588182879, -0.023196263994913913, 0.04239822013714093, -0.05253005009513713, 0.029925504260381926, -0.015598072845269997, 0.046270564475862835, 0.07272090365147381, -0.03375053820951835, -0.03294576407686419, -0.01822889531717263, 0.013301672990899543, 0.022921800557538296, -0.06995042384669221, -0.0293741511548268, -0.0463727465118161, 0.022008094815612167, -0.02989760347644732, 0.01062235941208345, 0.0560550743862677, 0.02566337164567887, 0.014945314850660165, 0.05201507746897297, -0.03193892779092385, 0.03034332535692734, 0.0604976068633185, -0.022612072197303133, -0.00480174726282349, 0.01228978910199584, -0.05835152889181021, -0.008305229504774764, -0.007440637182232008, -0.02660298164119364, 0.00016844060015745263, -0.025506146011749168, 0.028739876358214185, 0.028060481073754723, -0.016228177984670897]
WEATHER	[-0.005837726527063195, 0.009575778426540331, -0.01446491066025734, 0.0019634566094525355, -0.011753943391516529, 0.01989149892972954, -4.955939297255497e-05, -0.030925682570222105, -0.043676461410965324, -0.03880896739294313, -0.13396701526018537, 0.24858773264269285, -0.017265642813475462, 0.12085870869531946, 0.05327556124724813, 0.008181449635488537, 0.04179087111163856, 0.17157382276481428, -0.06318910593364586, 0.29042175351224037, -0.11733870994057942, 0.09453004068986465, -0.43085433271095414, -0.429486793696836, 0.06151848930699984, -0.06087137875956558, -0.12160316076288213, -0.0009523591410444598, -0.032667512902378, 0.14424089460225578, -0.015717450700176685, -0.014978432825788392, 0.26198695203623584, 0.025097763112172506, -0.023605330324079535, -0.04515058801358813, -0.11687008181773846, 0.07701029612264362, -0.019769167506831338, 0.12370519562829072, -0.13114699425676893, -0.07040985697170607, 0.045486046404513654, 0.06660275430141455, 0.025309653309036884, 0.10302204648240018, -0.06421483122219661, 0.15374160282385346, -0.023434684202541852, 0.056704384544658766, -0.07498131680680013, -0.07332983124715217, 0.047799394002703194, 0.08670553604567559, -0.13623840447426916, 0.01955949244860939, 0.05016063545625333, -0.027309024100723008, -0.07168784918958793, -0.15642259749954077, 0.06690010657365747, 0.010686783070089951, -0.018579838040931506, 0.034107352232337594, 0.039147171991593524, 0.05335351476982904, -0.007741336576441828, 0.006093301036675376, -0.11488715807598551, -0.05141463880312371, 0.0017912521760875336, 0.03637774030825146, 0.052253506342163664, 0.06696906124616278, -0.01020420404500109, -0.045399122116230275, 0.029056761621049945, -0.02571236016939588, 0.07277207271634012, 0.05955416949860561, -0.016394379236976855, -0.008384758254402352, 0.0016158472818232092, -0.04986830568427983, 0.0028583131948856713, 0.0018811554300145702, -0.028735668668237506, -0.03586317002225611, -0.010747046224997362, 0.008859609456176486, -0.0855879069310915, -0.05403671867145916, 0.0145409599835722, -0.021578135645487894, 0.04574539870886185, -0.004812879563436918, -0.007096999796994949, 0.020677069071690684, -0.014876327373657544, 0.024568705415619407, -0.015021236783582838, -0.06570742450419888, 0.03900373564027199, 0.003797102384423422, -0.0012743211698713862, 0.05560666412510229, 0.017662149896560814, -0.02976574698539835, 0.0007350224555305707, -0.017003258399370325, -0.029976143197802903, -0.01830950960219208, 0.02336686438408657, 0.0371271728078883, -0.028302334379371127, -0.011154583361659108, -0.03196747517496742, -0.01876192297401669, 0.009047839300729835, -0.027435866142880776, -0.03483515189546266, 0.006626178712436821, -0.024233924890904958, -0.02068962948398002, 0.007888151885028602, 0.049155351319045075, -0.010323229866746608, -0.017063092828237012]
SKY	[-0.0032580646433959066, -0.02048483970845732, -0.0006378545627775791, 0.00866773868022058, -0.00287006353988547, 0.013109712517669533, 0.00836244447056055, 0.020220880407389938, -0.036964185544904396, -0.01778426110936148, -0.05857029652106111, 0.17436953198192975, -0.014651960856531462, 0.007338493483423169, 0.005247869285063348, -0.017184422646842303, 0.018395675224722657, 0.08213516769814412, -0.03302275989238317, 0.1214487241436733, -0.07369525204757026, 0.06301818156086685, -0.2809993411173677, -0.2697714771676885, 0.05699843570124613, -0.0931069319103141, -0.008879625784281696, 0.11360999403573004, -0.0901043192514837, -0.0050564473832746485, 0.0806423896762711, -0.08219916073749389, 0.3242475858136524, 0.04454086226300766, -0.10650662625812538, -0.0010121091356753852, -0.15868857316879764, 0.08144835308060616, 0.10879398923446966, 0.18848966601674064, -0.1595119998833885, -0.06997021117493502, 0.17673993094265014, 0.12230337872983278, 0.19970405622742063, 0.10989351717520283, -0.022479108380039813, 0.14837272401649618, -0.06522446230720914, 0.050869292114276404, 0.0039719995776935505, -0.013993263258387368, 0.0384670582673836, 0.08627343607895947, -0.10277335939461386, 0.06182377567367823, 0.01844629272203448, -0.0553482801964519, -0.04226752989484601, -0.2358371897737293, -0.01713786482546778, -0.0446275545007751, -0.0906101218615324, 0.03812082165587903, -0.059158618189863406, 0.07566355181081007, -0.11687366166804822, -0.027200263508213057, 0.0028755463444414043, -0.005928444267649161, -0.087058383302508, -0.08872585596202899, 0.039263448845108545, -0.03445373028806167, 0.07763459120781978, -0.02757692957046195, 0.1291187895921474, -0.051147348571377406, 0.058829048071194094, -0.031821749313185745, 0.04167736749177867, -0.04127934980728817, 0.036527266442399384, -0.04695467550679746, 0.07787907674090937, -0.04201107780065631, 0.10951844108632866, 0.09165298832810267, -0.01788886374115314, -0.07832212701291087, -0.011287592895573717, -0.07376277019549464, 0.08282267626407658, -0.0693511229732695, -0.07879272680859564, -0.22181525411291414, 0.053177149877541276, 0.11301996334781476, 0.049797237942580716, 0.020020495783384235, 0.06728735025403644, 0.02546516616147368, -0.05039829560247279, 0.03635610533026094, 0.14923310572929688, -0.015261355615151191, 0.06076060963204162, -0.0327908955958721, 0.040062718297955546, -0.0462313903093196, 0.042754383858711935, -0.013924235231277856, 0.10400853637019714, 0.002558367003999289, -0.021111814964765847, -0.07630793950120537, 0.003158198527275681, 0.07659430045783557, 0.007135089077918584, 0.032201312123800827, 0.06347592951216159, 0.027704041795425745, 0.029316118355577386, 0.03160968145868075, 0.01691358526190277, 0.02864004478831812, 0.0025594962256633427, 0.038636862518917466]
EARTH (SOIL)	[0.005781602250773333, 0.0003121337955551181, 0.02391495788786169, -0.03152020947006968, -0.07407549839070016, -0.00947614191280265, -0.011180152064781845, -0.04829079204732003, -0.01699950213524839, -0.06802675970661475, -0.49309182005840096, 0.7013713900846489, -0.20199829931098187, 0.07916573947546875, 0.3131335789884387, 0.06652367592310951, 0.03945591642554304, 0.013140508439489747, -0.07233247441306999, -0.08219037717090226, 0.04730293174923761, -0.041258583381227544, 0.14653267362649441, 0.07081214838088047, 0.0028935595786424577, 0.015208338327555311, -0.04315089340459549, -0.004621488086582181, 0.036012987774076244, -0.021763606255052314, 0.025987768244500328, -0.0056902541283112805, -0.059864224715698536, 0.0008926803304456421, 0.037440588119811304, 0.03801644680620347, -0.049468710127861956, 0.06867347088691407, -0.07630348836283098, -0.048396993091960085, -0.018471144411237272, -0.020126046438990453, -0.05446283164581523, 0.00900331216677526, -0.038144643965987775, -0.05660349073889092, 0.011201825277056486, 0.02589541433454897, -0.01300020828429371, 0.01742069769101209, -0.030350627508982576, 0.01725555724584063, -0.019531223405792508, -0.001772160728193926, 0.0030417547857743104, -0.035182174078866126, -0.007902604669654478, -0.03790098587997194, -0.008347874785905271, 0.011158006340577425, 0.01280569141205334, -0.007551923709861603, -0.022564782802514186, -0.018530332319775664, -0.04338911807065364, -0.009273673909789969, -0.0010413390644241328, 0.011581743357475402, 0.018633148945280755, -0.002448793681741582, -0.023466370796574897, -0.02501951528748836, 0.0238665377161656, -0.024270747327438006, 0.01871590063363836, 0.029768735207751848, 0.0322390930268543, -0.017436900808647272, -0.0022786046335573408, -0.008832868263515542, 0.020914834227253817, 0.003509172514116809, -0.019583036835874455, 0.006306114021553719, 0.013507930435234934, 0.009791725432045649, -0.002467070113229812, 0.014944333324081875, 0.009308515560229429, 0.00426181397890995, 0.02579488093711504, -0.00586823056305165, 0.020665617212274792, 0.010379770818212834, 0.009564103040007833, -0.011773183198168363, -0.00808239395610863, 0.001111625910068627, 0.019101388464181454, -0.014381964952694165, -0.02295958569978817, -0.0021651498282053896, 0.020372566353983015, -0.013252383016108123, 0.015097421422192928, -0.009593833988544756, 0.012105583987133267, 0.0025169982459789255, -0.006949739297858832, 0.010293544967588874, 0.007354357808221728, -0.006267089963798059, -0.004394854366747196, -0.003523929686630697, -0.015853214759423685, 0.016575265647881948, -0.0008043180063621434, -0.004561522967052909, 0.007470857939169858, -0.00027316033136193067, -0.0034435518410215553, 0.00903375180082925, 0.014372042408764387, 0.010304731179048033, -0.029613015012341336, 0.012775208578318431, 0.0022958145852712644, -0.0050206856392634724]
