WORLD	[-0.13464594241764702, -0.020812508771647344, 0.233882041825677, 0.3051757973669583, -0.19279254795261264, 0.27312303395667636, 0.2847389232843058, 0.3260124182168361, 0.5558706469585311, -0.04808580027713928, -0.21740823122681874, 0.07965824366856307, 0.05754359813923357, 0.09386415116038496, 0.22646454102475605, -0.1688090068909901, -0.12962333760095976, 0.13207075801396811, 0.04129516950562012, 0.13264890070616508, 0.014288606642583824, -0.021373099189275983, 0.008749240176534024, 0.024062180310874752, -0.01490833441142269, -0.11625233349565794, -0.07315084579653323, -0.04430574392279016, 0.011922012039783783, 0.00896910019288016, -0.039001417310245104, -0.0010431594948737937]
DONKEY	[-0.18616307206539429, 0.044687311594615205, 0.2054793493872033, 0.14939650240984365, -0.036340995804255496, -0.14016379644788185, -0.0410530796363703, 0.12363115594020721, 0.12111324967172825, -0.1500562345857467, 0.19307854957170756, 0.09546247212873607, -0.04574205178530373, 0.01776652781061607, -0.16961014955433096, -0.15313037000896615, -0.10291646108399283, 0.3891690515788461, -0.08651609401065458, 0.024231936421276048, -0.38993255417539163, 0.13814647679678377, -0.03246612256671749, 0.367682328970437, -0.2048057555165018, -0.14473063398629402, 0.0910938025093849, -0.15504132610343657, -0.3659703356127768, -0.09104675037974946, -0.05987109697323665, -0.06432066036000178]
LATE	[-0.18373388230524784, 0.05023280535567877, 0.14961899757300418, 0.2156849813889964, -0.14746630659047677, 0.10935096791027216, 0.17062815102638476, 0.09832701414564468, 0.03495890583436092, 0.09872508396595572, 0.11423479256743121, -0.21213409594044919, -0.06035572257303852, -0.117783870397305, -0.09059710859109793, -0.09223198950767007, 0.4700745558900246, -0.3020290653888456, -0.03581274038505361, 0.057195120129952925, -0.3390728992563665, 0.09426369192681283, 0.1528725331569016, -0.038469993823156336, 0.006481397245677368, -0.26860926865196705, -0.24581364052099236, 0.20179758350631863, -0.19631702921729838, 0.10071666305299955, -0.094565084494857, 0.15052925594967884]
HUNT	[-0.8012905575133942, -0.40624367535445777, -0.28759263856211, -0.09976297769321439, 0.027026827111047654, -0.10696375825941869, -0.05586786458496568, 0.014313330440724753, 0.07889979244007045, -0.014025336918355776, -0.013902013875453333, 0.05258524229485944, -0.048093269869832304, -0.08620265009458654, -0.06053587966765789, -0.02728703294172364, -0.011668318908137021, -0.05282618547753857, 0.015738319439030986, -0.11383869908641399, 0.016125457532958534, 0.03539762165812777, 0.0051180708281131715, 0.07402184821632563, -0.014008464260054695, 0.10436613921352944, 0.002422591021009834, -0.03812934708033605, -0.03148325387858255, 0.011860877563217626, 0.13732789003130721, -0.07426265272101436]
FLOOR	[-0.11035678827130686, -0.02023120851864793, 0.23584793674410928, 0.2783748190820035, -0.12962139320807325, 0.30788042913537633, 0.3001859508129561, 0.20103809620103807, 0.5701517623525901, -0.026209490107918475, -0.3280274596930424, 0.06594964368624535, 0.14627764954629902, 0.18505064303834187, 0.08983594498329447, -0.1668662374108699, -0.1509353999751895, 0.1374298530824715, 0.05474167989587334, 0.09516203866963427, 0.005487632773133126, -0.004647008740701235, -0.01062136788950554, 0.09390197223154516, 0.0008849426454497101, -0.1059675139144303, -0.04520371118832012, -0.053594382028583486, 0.000661458023409508, 0.009674319675255167, -0.06220159990682104, 0.00982382159981955]
FIND	[-0.6458445712982913, -0.2626685895356672, -0.15409345023757975, -0.10663972604228425, 0.09402628864735109, 0.14664661915411203, -0.08480896502675114, 0.5211356749364827, -0.13371217257156606, -0.06493661748379521, -0.08719988515942169, -0.0022443115812719044, -0.11743070874063803, -0.12973366335019165, -6.451312423577936e-05, -0.13672139084424825, -0.08038512948215436, -0.10709174925911726, -0.07707830838468217, 0.023959513398087884, 0.049669776512240034, 0.007878302671770643, -0.08218471296297226, 0.0982076870979181, -0.10135887189927256, 0.14693564885262783, -0.043584911834939045, 0.06131731706364284, -0.024660238290840103, -0.05254218624741949, 0.07968652702588828, 0.004274022728879188]
MEET	[-0.7616241251754355, -0.3890061983580336, -0.344107641955501, -0.1383575746383873, 0.10037993646940883, -0.0072295511302913305, 0.04784422876536123, 0.23585307210699205, -0.010468721305341397, -0.04454759709607111, -0.018319018655935305, -0.004354831187463846, -0.04668979028246035, -0.013561837557990833, 0.008728549209158862, -0.10804287331187919, -0.029985584646621717, -0.06938315679494286, -0.024071635713008948, 0.06508124769597459, 0.06293820756042419, -0.009318285597365594, -0.047127427900974316, 0.07333002239988193, -0.08784927460701766, 0.10980435607295412, -0.028160455488393868, 0.052576869702295366, -0.013176880899384475, -0.006481069083128901, 0.026476974122297343, -0.004571482338548144]
PEOPLE	[-0.2356645538872747, 0.1630683859576115, 0.29217529255793345, 0.17972017704648824, -0.054582431499826195, -0.21854240272347636, -0.02330118194986618, 0.20019053769298198, 0.27625213670440757, -0.24326111498876127, 0.023305058663922594, 0.017713747104392823, -0.16547750001138267, 0.06183438208244974, 0.1430450119178711, -0.011724729746323916, 0.04803789691386834, 0.12760723033309224, 0.06651112842054001, -0.03657028026567688, 0.3474988948489302, 0.015335113211639904, -0.1745239413680603, 0.3029394952975061, -0.2556161759322861, -0.0703020437335094, 0.08935971850308733, -0.07018443533534824, -0.05713232160356304, -0.3845734130800966, 0.13605284264063214, 0.015938647302507575]
PRESERVE	[-0.2486790098007939, -0.08678452015755217, -0.03591781674485349, 0.025136319398655956, -0.13376752372207654, 0.06901104830452955, -0.41284177940302713, 0.4865767096384962, -0.11734595837123421, 0.07820919233697217, -0.18195053820842844, -0.10013712524809966, -0.07090624570657342, -0.16392110336190277, -0.04451083269694805, -0.22820804940451772, -0.08750277957006562, -0.00016284286256907325, 0.07722794835717882, -0.11392695760264201, -0.018615337434797864, -0.12572045800725243, 0.08144714418485413, 0.027893383860388837, 0.36962028358513965, -0.15909976641078155, -0.10754974627889385, -0.08968415752903264, -0.07513160468787589, 0.11535683711630053, -0.18535295406940275, 0.2546796979268671]
RESCUE	[-0.2511112397632748, -0.07323671311185864, 0.1012867936365643, 0.008319411078293268, -0.12780018865028114, 0.04657619587080996, -0.4197320004515895, 0.42525030935540203, -0.0641036253283757, 0.10328942938495737, -0.06662544098390631, -0.11429885645835025, 0.014199549625723454, -0.10976557291792083, 0.009561527336473743, -0.2576404607423676, -0.02457599639010952, 0.02247132410405618, 0.16705672657741505, -0.09132902055781046, 0.07890895657136313, -0.13972348564922926, 0.06977998527728492, -0.02862960554939369, 0.2965324728263797, -0.18329211950203628, -0.08779642648325076, -0.11654695516277763, 0.048054447364874055, 0.14723294028451442, -0.16233148090429086, 0.41567023996521896]
