WORLD	[-1.1591464281082153, -1.0749183893203735, -1.3064379692077637, -0.48950350284576416, 1.3388025760650635, -0.6364748477935791, -2.6370339393615723, -3.952498435974121, -0.7245984673500061, -6.060641765594482, -2.4653258323669434, 0.8511879444122314, 4.15211296081543, -2.270717144012451, -1.2392706871032715, -0.91900634765625, -6.17018985748291, -1.37046480178833, -1.6254339218139648, 1.984860897064209, -0.11365607380867004, 0.3946661055088043, -1.9573049545288086, 1.4876842498779297, -1.2771364450454712, 2.8962044715881348, 0.5515317916870117, -4.57320499420166, 0.5365489721298218, -1.767106294631958, -3.817472219467163, 3.7581140995025635, 0.429728627204895, 2.3313746452331543, -2.443136215209961, 1.2959856986999512, -0.9509385824203491, -1.9578447341918945, -1.0381402969360352, -3.3866844177246094, 2.2544069290161133, 5.508510589599609, 2.4495015144348145, -0.0569784939289093, 0.2757253646850586, -1.6507484912872314, -0.8975269794464111, 0.18848520517349243, 5.203306198120117, -0.7493482828140259, -1.1591641902923584, -0.5226759910583496, -3.157275676727295, -1.095616340637207, -1.7680708169937134, -0.3416823446750641, 2.3161635398864746, -1.0727906227111816, -1.216076135635376, -2.387634754180908, 2.3557522296905518, -4.747397422790527, 5.978252410888672, 0.4193466901779175, -1.4898695945739746, 4.066760063171387, 2.386502265930176, -3.354207754135132, -2.2856850624084473, 3.6598165035247803, -2.0255625247955322, 4.46086311340332, -1.3115335702896118, -0.8580862283706665, -1.570080041885376, -3.7106218338012695, -3.6159234046936035, -0.22233815491199493, 1.6106250286102295, 0.5381066799163818, 5.388041019439697, 0.17353057861328125, 1.7495753765106201, -1.4575871229171753, 2.2064669132232666, -2.1018552780151367, -0.5032456517219543, 4.016997337341309, 0.5103229284286499, -0.3316349983215332, 1.2021830081939697, 0.6690595149993896, 5.441658973693848, -2.1638975143432617, -2.460142135620117, -3.483583927154541, 0.7923251986503601, -1.2869300842285156, -6.882843971252441, 1.304913878440857, -2.509672164916992, 5.338839530944824, -2.6831846237182617, 6.4476518630981445, -0.6721555590629578, -2.7347006797790527, 1.1178373098373413, -1.5322449207305908, 2.881816864013672, 2.6201534271240234, 1.4954155683517456, -0.9751763343811035, 1.3269082307815552, 1.674253225326538, -0.7267473936080933, 4.472437381744385, -0.4145249128341675, 0.5755062699317932, 0.10089743137359619, 2.678724527359009, -1.563201665878296, 4.28411865234375, -1.170377492904663, 3.524287700653076, 1.1129398345947266, -5.867184162139893, -2.95479416847229, 0.25362205505371094]
LAND	[-3.499938488006592, -1.7442549467086792, -1.7199952602386475, -0.17690181732177734, -1.016279697418213, 0.15674835443496704, -7.095414161682129, 0.5352814197540283, 0.763531506061554, -6.641543388366699, -0.44945192337036133, 0.819067120552063, 1.756109356880188, -5.726656913757324, 3.217633008956909, -1.9909141063690186, -10.411733627319336, -2.4297239780426025, -2.8665058612823486, 0.6347148418426514, 0.7924913763999939, 2.4106743335723877, -3.898521900177002, 1.630081295967102, 1.6836626529693604, 9.654192924499512, -4.133803844451904, -10.80712890625, 3.923719882965088, -4.133870601654053, -9.168636322021484, -0.24284130334854126, -0.7906465530395508, -2.415928840637207, -4.305290222167969, 5.209797382354736, -7.760963439941406, 2.2164764404296875, -2.6649909019470215, -0.21330392360687256, 3.4877817630767822, 9.06241226196289, 4.151982307434082, -2.063194513320923, 2.5482213497161865, -4.792598724365234, -3.33028244972229, -1.8639945983886719, 11.121854782104492, 1.2035293579101562, 1.6382763385772705, 1.1729180812835693, -8.00262451171875, -0.01217716932296753, -1.2359378337860107, -3.1156370639801025, 1.4182418584823608, 1.4941623210906982, -3.637443780899048, -4.914617538452148, 0.10099923610687256, 0.3054611086845398, 8.13708209991455, 1.0872948169708252, -2.279658555984497, 4.985471725463867, 6.045031547546387, -4.944063663482666, 0.5817564129829407, 7.826717853546143, -7.222603797912598, 4.022219181060791, -3.1605587005615234, -2.356692314147949, 0.44890737533569336, -6.577821731567383, -5.123104572296143, -3.453983783721924, 2.5504417419433594, 0.0722164511680603, 5.56894588470459, 4.2576751708984375, 0.0028694868087768555, -1.0749800205230713, 3.421999454498291, -4.352732181549072, 1.7229083776474, 3.7184224128723145, 1.020958423614502, -0.5588662028312683, 2.3046388626098633, -0.2189994752407074, 8.391809463500977, 1.21043860912323, -4.352849006652832, -1.7368102073669434, -1.082127332687378, -8.146646499633789, -5.264372825622559, 0.2609947919845581, -0.19779819250106812, 7.537068843841553, -5.898682594299316, 8.61182689666748, -1.3960847854614258, -4.917499542236328, -0.35581544041633606, -3.3984484672546387, 5.734283924102783, 0.5366479158401489, 2.7527365684509277, -4.822458744049072, 1.3066022396087646, 5.019065856933594, 2.0906338691711426, 4.657844066619873, 1.5871777534484863, 0.5386433005332947, 0.4538535177707672, 1.0236570835113525, -2.295816421508789, 3.727989673614502, -0.5408400893211365, 5.068238735198975, 2.0614991188049316, -9.878704071044922, 3.7575230598449707, -2.057084321975708]
EARTH (SOIL)	[-3.038090944290161, -2.041628360748291, -1.9176124334335327, 0.7703984975814819, -1.40312922000885, 0.5539617538452148, -7.540998458862305, 0.653719425201416, 0.06517741084098816, -7.0798211097717285, -0.19827687740325928, -0.6927273273468018, 1.4847196340560913, -5.53231143951416, 4.628525733947754, -2.259474277496338, -10.038867950439453, -1.9826080799102783, -3.619818925857544, -0.5115354657173157, 0.47416841983795166, 2.6140217781066895, -4.180755615234375, 2.703598976135254, 1.7637966871261597, 9.398885726928711, -4.730125427246094, -10.765661239624023, 4.3159685134887695, -2.7578704357147217, -8.917633056640625, 0.9558538794517517, -0.30361801385879517, -3.104612350463867, -2.6242527961730957, 5.33452033996582, -7.265912055969238, 1.9065124988555908, -1.5084972381591797, -0.6150227785110474, 3.3399600982666016, 7.90352725982666, 4.183777332305908, -2.027377128601074, 2.57963490486145, -4.771233558654785, -4.551942825317383, -0.32321813702583313, 10.869013786315918, 0.7146716713905334, 1.9548091888427734, 0.5039054155349731, -7.433744430541992, -0.37212347984313965, -0.5084166526794434, -3.367795944213867, 0.2667127847671509, 1.3082468509674072, -4.256621360778809, -3.826932430267334, -0.7532966136932373, 0.2537822127342224, 6.719425201416016, 0.6726657152175903, -1.8033300638198853, 5.481238842010498, 5.228404998779297, -4.643430233001709, 0.5427013635635376, 6.2161126136779785, -6.277887344360352, 3.6147618293762207, -3.1542234420776367, -2.080322265625, -0.41008853912353516, -6.378838539123535, -4.833967685699463, -3.3458547592163086, 2.3225345611572266, -0.9136292934417725, 4.787869930267334, 4.6729912757873535, -0.2033284306526184, -0.9972597360610962, 2.688478708267212, -3.540958881378174, 2.446354866027832, 3.573878049850464, 0.441383957862854, -0.13218411803245544, 1.6486295461654663, -0.5099679231643677, 8.714418411254883, 0.6478896141052246, -3.981750965118408, -1.4189517498016357, -1.0623013973236084, -8.564735412597656, -4.538292407989502, 1.447941541671753, 0.697053074836731, 7.162529945373535, -5.330718040466309, 8.31515884399414, -1.1561107635498047, -4.145962715148926, -0.3308226466178894, -3.2421677112579346, 5.265275955200195, 2.46766996383667, 3.0787806510925293, -6.228219509124756, 1.259626865386963, 5.566554069519043, 1.4774922132492065, 6.076178073883057, 2.1345150470733643, 0.4673670530319214, 0.9095739126205444, 0.6049439907073975, -1.5920277833938599, 3.595238447189331, -0.20216381549835205, 5.952993869781494, 1.4186840057373047, -8.11004638671875, 3.4028592109680176, -2.080186367034912]
CLAY	[0.3447902798652649, 1.2916595935821533, 0.7773427963256836, 1.2625705003738403, -3.0347237586975098, -0.14268922805786133, -1.2211323976516724, -5.091518878936768, -2.749238967895508, 1.041197419166565, -6.400948524475098, -1.608668327331543, 3.7382140159606934, -1.8111850023269653, 1.8296592235565186, 4.880894660949707, -3.145839214324951, 3.2913055419921875, -3.142956256866455, -3.1148271560668945, -2.2574143409729004, -4.369198799133301, 0.8894074559211731, -1.1092276573181152, -1.9884090423583984, 5.356090545654297, -4.9934401512146, -7.238908767700195, -0.3500034809112549, 3.299212694168091, -6.349860191345215, 2.0541903972625732, -1.4366124868392944, 1.4181734323501587, 2.716153144836426, 1.0903618335723877, -4.244514465332031, -3.6630725860595703, 3.3239736557006836, 1.9606187343597412, 0.633176326751709, 8.030635833740234, 0.7917864918708801, -0.5671617388725281, 7.343652248382568, -2.2548913955688477, -0.16317212581634521, 3.4371447563171387, 6.526047706604004, -1.8701233863830566, -0.3496909737586975, -5.419511795043945, -4.78326416015625, -2.1232991218566895, -1.7830684185028076, -3.0750508308410645, -1.7587847709655762, 3.693368434906006, -0.3356407880783081, -4.903382301330566, -1.5518097877502441, 1.0657799243927002, 3.8078699111938477, -3.1857056617736816, -5.249550819396973, 4.53121280670166, 2.804131269454956, -6.1248321533203125, -0.6716809272766113, 6.244284152984619, 0.5136532783508301, 4.415265083312988, 0.5829164981842041, -1.5764572620391846, -3.438119411468506, -5.183969020843506, 1.8512554168701172, 0.4062851667404175, 6.403430938720703, 2.3334455490112305, 3.5349373817443848, 0.845014750957489, 5.560720920562744, 3.8402466773986816, -0.8531732559204102, -0.8353601694107056, 6.48527193069458, -0.09031105041503906, 4.263913631439209, 3.824827194213867, -2.6691126823425293, 6.049619197845459, 4.622428894042969, -0.2724158763885498, -3.1438405513763428, -3.610785722732544, 2.4482994079589844, -4.992371559143066, -1.1321462392807007, 6.7030558586120605, 1.3668711185455322, -1.157399296760559, -2.5055766105651855, -0.7665101885795593, -0.515529453754425, 0.962867021560669, 0.8680130243301392, -4.808669567108154, -0.31529533863067627, -0.3348480761051178, -0.7799029350280762, -2.7604992389678955, 1.326764464378357, 1.632581353187561, -1.867871642112732, -0.6630997657775879, -3.0348167419433594, 3.3013830184936523, -2.49647855758667, 4.895351886749268, -1.1300742626190186, 1.3189702033996582, 4.335148334503174, 6.950995922088623, 0.25578659772872925, -9.094545364379883, -0.24394828081130981, 0.08171749114990234]
MAINLAND	[-0.04998779296875, 0.9351680278778076, -0.3502107560634613, -2.196744918823242, 0.012109756469726562, 1.256219506263733, 0.08813619613647461, -4.059823036193848, -2.3075222969055176, -1.8693349361419678, -3.0018064975738525, -0.9018269181251526, 1.5990915298461914, -3.1034555435180664, -3.01796555519104, 0.9925249218940735, -0.3282417356967926, 1.8983725309371948, 0.06888008117675781, -1.0996631383895874, -1.6404545307159424, -0.8249403238296509, -0.11203068494796753, 2.049793004989624, 0.1531660109758377, 0.5419892072677612, -0.011659204959869385, -0.6063777208328247, -1.1127021312713623, 0.7961896061897278, -1.6019247770309448, 4.4402570724487305, -1.649177074432373, 2.9647159576416016, 0.8607663512229919, -0.049582839012145996, -1.1443555355072021, -3.9980525970458984, 2.177474021911621, -1.3181037902832031, 0.07764053344726562, 2.928370714187622, 0.04699164628982544, -1.057105541229248, -0.871680736541748, -0.6060963273048401, 0.5019093155860901, 1.8768978118896484, 1.946274995803833, -1.1567925214767456, -1.4817519187927246, -1.2789298295974731, -0.5317356586456299, -0.4008195400238037, -2.314152479171753, -0.6112786531448364, 1.3948099613189697, -1.6575409173965454, -0.48460644483566284, -2.3207406997680664, 2.2352914810180664, -2.817498207092285, 2.3708534240722656, 0.9632230997085571, -1.4546335935592651, 2.143311023712158, 0.18260598182678223, -1.6851931810379028, -2.4823973178863525, 0.35724663734436035, 0.8089410066604614, 4.48848819732666, 1.0895428657531738, -0.829361081123352, -3.246286153793335, -2.336559295654297, -0.43301883339881897, 0.6122577786445618, 1.0113201141357422, 1.5265142917633057, 2.663914680480957, -1.5218329429626465, 2.448983669281006, 0.4557570219039917, -0.5550569891929626, -0.16430708765983582, 1.1158095598220825, 0.3444976806640625, 1.037299633026123, -0.2617549002170563, 0.36657893657684326, 3.71608829498291, 3.059333324432373, -0.8351051807403564, 0.3849848508834839, -3.2542107105255127, 1.428783655166626, -1.099770188331604, -1.662843942642212, 2.9739937782287598, -1.4659864902496338, 2.026733875274658, -2.910111665725708, 2.8572964668273926, -0.49283352494239807, -0.8167155981063843, -0.17325329780578613, 0.05776333808898926, 0.6511438488960266, 0.7253237366676331, -1.7457473278045654, 0.10733139514923096, 1.2509781122207642, -0.006003022193908691, -1.5303213596343994, 1.0285009145736694, -1.2819187641143799, 2.2730464935302734, -1.029201865196228, 1.5399259328842163, -0.2797245681285858, 1.1680444478988647, 1.7732958793640137, 1.7583850622177124, 0.5586299300193787, -2.1558706760406494, -3.2442502975463867, 0.35730940103530884]
SKY	[2.352623701095581, 0.6685214638710022, 8.51180648803711, -2.9194185733795166, -2.9684364795684814, -2.2141964435577393, -0.7143164873123169, -0.9161185622215271, -0.12591135501861572, 0.06618666648864746, 4.16969633102417, 3.3034756183624268, 13.558220863342285, 4.628263473510742, -0.3841884136199951, 0.25915026664733887, -6.3918046951293945, 2.097165584564209, -1.3335974216461182, 5.5298075675964355, -3.727609634399414, 0.059353142976760864, 3.821878433227539, 3.6331942081451416, -11.462987899780273, -2.8517565727233887, 1.8613626956939697, -0.42767995595932007, 5.940276145935059, -1.579309344291687, -0.13366714119911194, 7.337677955627441, 7.463994979858398, 1.4120603799819946, -2.967540740966797, -0.27005553245544434, -1.5771193504333496, -4.266554355621338, -6.5785369873046875, -8.06026840209961, -2.5428693294525146, 0.4960741400718689, 0.10126471519470215, 5.660576820373535, 3.798638343811035, 0.17295044660568237, -0.05204808712005615, 1.7825618982315063, 6.314227104187012, -0.03211033344268799, -4.869402885437012, 2.4168198108673096, 1.2566677331924438, -1.9887011051177979, 3.258213520050049, -0.5767606496810913, 0.20939381420612335, -0.40569204092025757, 0.7912299633026123, -4.112990856170654, 4.920526027679443, -4.640031814575195, 0.16690433025360107, -5.403526306152344, -2.3924665451049805, -4.793677806854248, -0.9226762652397156, -2.044447898864746, -7.194057941436768, 1.172527551651001, 1.572231650352478, -0.2528911828994751, -2.2051897048950195, -7.02181339263916, -0.6355649828910828, 1.1771479845046997, -1.0027856826782227, 2.648024082183838, 2.218979835510254, 0.013553112745285034, 5.642836570739746, 0.3406285047531128, -0.17606711387634277, 8.854373931884766, -1.0289175510406494, 0.3054277300834656, -4.6916961669921875, 6.521121978759766, 0.28499293327331543, -2.5192785263061523, 2.514723777770996, 3.1065640449523926, 3.9122204780578613, -11.484552383422852, -3.907170057296753, 4.137503623962402, 0.5056871175765991, 2.397559642791748, -2.555657386779785, 2.7523295879364014, -2.9779486656188965, 1.2790735960006714, 5.253428936004639, -0.874091386795044, -6.778712272644043, -3.504214286804199, -2.889984130859375, 5.161758899688721, 4.262185096740723, 0.9707468748092651, 2.997709274291992, -4.293839931488037, -1.3758786916732788, -1.3200016021728516, 1.1130214929580688, 6.354569435119629, -7.387155532836914, -1.5223209857940674, -4.93074893951416, 8.760558128356934, 9.19823169708252, 6.344452857971191, 0.6837500333786011, 1.8911795616149902, -1.5834670066833496, 4.324799537658691, -0.24875640869140625, 5.11422061920166]
LIGHT (RADIATION)	[-1.0629063844680786, -0.830277144908905, -0.6346909999847412, -0.1482393741607666, 8.41530704498291, 0.27895641326904297, -2.2720000743865967, -4.217205047607422, -3.2098450660705566, 4.19795560836792, -4.388862133026123, 0.7006686925888062, 4.470465660095215, 1.9485344886779785, -1.9802110195159912, -2.6893768310546875, -0.400219202041626, 2.3289895057678223, -1.1990108489990234, -3.0661802291870117, -2.5843753814697266, -5.453756332397461, 4.058297157287598, -2.118523120880127, 0.9805179834365845, 1.009044885635376, 1.142022728919983, -0.9693355560302734, -4.75321626663208, 0.008378595113754272, 0.023193448781967163, 1.7033445835113525, -2.2167623043060303, 9.755781173706055, 0.6220906972885132, 2.378124713897705, 1.6253843307495117, -2.798511028289795, 0.47391897439956665, -5.666761875152588, 4.931758403778076, 4.836427688598633, 0.9377517700195312, 0.13551580905914307, 3.037588119506836, -1.4626224040985107, -3.887382984161377, 3.6393041610717773, 0.535519003868103, -2.5659542083740234, -4.357402801513672, 0.3445453643798828, 2.558363914489746, -1.9688568115234375, 1.673259973526001, -0.5510595440864563, 1.3141391277313232, -0.04338181018829346, 3.202280044555664, -5.755810260772705, 4.093879699707031, -10.441887855529785, 3.204568862915039, -1.279453992843628, -1.316969394683838, 4.512198448181152, -3.5514798164367676, -10.526226997375488, -0.8753461837768555, 3.6061387062072754, 5.609623432159424, -2.6849331855773926, -0.03007417917251587, 0.7592212557792664, -6.546001434326172, -0.6086382865905762, -0.044702887535095215, 7.484949588775635, 1.4985935688018799, 3.1250107288360596, 4.656984806060791, -4.504183769226074, 4.239482402801514, 2.1775245666503906, 2.086604595184326, 0.1904132068157196, 2.551090717315674, -1.1587885618209839, 7.284605979919434, 2.6705198287963867, -0.480884313583374, 0.5667973756790161, 2.501720428466797, 2.0121309757232666, -0.7969565391540527, -2.611487865447998, 2.890235424041748, 4.149331092834473, -9.925997734069824, 6.899954795837402, -2.3155593872070312, -1.1295621395111084, 4.145779132843018, -0.39992815256118774, 8.160679817199707, 5.504024505615234, 4.191315174102783, -0.8935016393661499, -3.018108367919922, 2.3175456523895264, -0.6071908473968506, 1.567183494567871, 0.9361023902893066, 2.030958652496338, -1.4891376495361328, -9.440940856933594, -6.806905746459961, -2.38601016998291, -4.788610458374023, 4.860585689544678, 2.598038911819458, -1.55477774143219, -0.15027755498886108, -3.1913657188415527, 0.07783547043800354, -1.2033326625823975, -3.670910358428955, 2.544517755508423]
WEATHER	[0.021498143672943115, 1.5806792974472046, 2.556966781616211, -2.4652390480041504, 2.92975115776062, -5.0207839012146, -1.6588996648788452, -7.819499969482422, -1.421822190284729, 1.0871480703353882, -3.00976300239563, 5.510669231414795, 10.688758850097656, 3.049985885620117, -3.456270694732666, 0.9961240291595459, -2.6972062587738037, 0.8329135179519653, 4.714946746826172, 2.3999481201171875, -3.3560800552368164, -1.0721031427383423, 2.321183443069458, -2.049684524536133, -4.288271903991699, -2.245527744293213, 2.2950706481933594, 1.2463935613632202, -2.4906294345855713, 1.9105685949325562, 1.961165428161621, 3.882237195968628, -1.439927101135254, 8.309557914733887, -1.4359233379364014, -1.7724615335464478, 4.123576641082764, -4.3465423583984375, -2.961963176727295, -7.445013999938965, 5.882160186767578, 6.4648284912109375, 2.332824230194092, 2.560548782348633, 2.8061015605926514, -2.4595329761505127, 0.6394622921943665, 4.2597808837890625, -0.7791661620140076, -1.940963625907898, -5.797305107116699, -3.737096071243286, 2.022989273071289, -3.514341354370117, 0.34124261140823364, 2.5261898040771484, -1.5118896961212158, 1.4473766088485718, 3.610299587249756, -3.1608500480651855, 2.882460594177246, -5.91572380065918, 1.7660589218139648, -3.233403205871582, -2.2202720642089844, 0.294248104095459, -4.905388355255127, -6.284587860107422, -3.783618450164795, -0.15569591522216797, 1.0540783405303955, -1.5622913837432861, -0.14385783672332764, -2.059603691101074, -4.33702278137207, -1.5155248641967773, -0.7644798755645752, 6.521322250366211, 2.330503225326538, 0.1515791416168213, 6.304872989654541, 0.515991747379303, 4.35063362121582, 7.587578773498535, -1.1554346084594727, 1.6928398609161377, 0.2087838053703308, 1.5959641933441162, 7.23143196105957, 1.0104037523269653, -1.8424181938171387, 3.619560718536377, 5.107492923736572, -1.4666075706481934, 0.16926002502441406, -1.0914392471313477, 4.577176570892334, 5.364513874053955, -10.489564895629883, 8.578415870666504, -2.3833799362182617, -0.21122068166732788, 4.130004405975342, 1.3810648918151855, 3.879082202911377, 3.3429644107818604, 6.519185543060303, -1.3838499784469604, -1.1639811992645264, 2.355003833770752, 2.475152015686035, -4.055078029632568, 0.027165234088897705, -7.66329288482666, -3.8698272705078125, 1.3632605075836182, -7.209108829498291, -0.759844183921814, -0.8671998381614685, 5.767082214355469, 3.8709287643432617, -0.32216811180114746, 2.088719367980957, 0.9880281686782837, 0.3146296739578247, 4.925207138061523, -0.45500022172927856, 4.295034408569336]
FLOOR	[-0.7492771148681641, 0.9799476861953735, -0.3041420578956604, 1.0498930215835571, -1.9106881618499756, -1.338415265083313, -2.0444798469543457, -3.4814016819000244, -0.7233384847640991, -4.539618015289307, -3.9214224815368652, 1.7702927589416504, 4.262948036193848, -2.15736985206604, -1.8979153633117676, 0.9322296380996704, -7.664353847503662, -0.890292763710022, -1.9394534826278687, 0.2055525779724121, -0.4864963889122009, 0.4028187394142151, -2.0280909538269043, 3.0279173851013184, 0.809808611869812, 6.724689483642578, -0.8650860786437988, -6.929448127746582, 2.445270538330078, -0.7245917916297913, -7.181800842285156, 3.1050009727478027, 0.09946992993354797, 0.29473257064819336, -2.3412675857543945, 1.614403486251831, -2.680485248565674, -2.309577703475952, -0.3983834981918335, 0.8927831053733826, 0.9078853130340576, 7.413035869598389, 3.456698417663574, -0.38154247403144836, 3.2083728313446045, -1.22048020362854, -0.771284282207489, -0.4044283628463745, 7.75209903717041, -1.5902717113494873, 1.3939296007156372, -1.69283127784729, -5.977200031280518, -0.07161372900009155, -3.1525590419769287, -1.86326003074646, 0.08226838707923889, 1.5769429206848145, -0.8033499121665955, -4.338410377502441, 1.51264226436615, -0.5205361843109131, 6.053666114807129, 1.6068692207336426, -3.5570411682128906, 3.3066349029541016, 5.03880500793457, -2.81906795501709, -3.240516424179077, 6.911214828491211, -5.955169677734375, 5.9634246826171875, -1.9812887907028198, -2.5128822326660156, 0.14644655585289001, -3.995448589324951, -2.1667983531951904, -1.0252933502197266, 4.051620006561279, 0.4268289804458618, 5.815884590148926, 0.030165642499923706, 1.964118480682373, -1.253248691558838, -0.014852046966552734, -1.7345012426376343, 1.9024786949157715, 1.8974504470825195, 1.2389510869979858, 1.604217529296875, 0.6309850215911865, 2.5178091526031494, 5.8809590339660645, 1.0099215507507324, -2.946989059448242, -4.980032444000244, 0.6488369107246399, -5.186914443969727, -2.6849374771118164, 2.1824679374694824, -0.5193145275115967, 6.001385688781738, -4.654901504516602, 6.0807881355285645, -1.1958386898040771, -3.084702968597412, -0.38386720418930054, -4.599493026733398, 2.028296709060669, 1.6341652870178223, -0.29216766357421875, -2.889648675918579, 0.8483577966690063, 2.2164664268493652, -0.5642180442810059, 4.507438659667969, -1.4108211994171143, 2.6273815631866455, -1.3930178880691528, 2.146939992904663, -1.9748486280441284, 3.8974645137786865, -0.9213693141937256, 5.297966003417969, 0.11490240693092346, -9.460920333862305, -1.3515758514404297, -0.8751031160354614]
PLACE (POSITION)	[-0.11019609868526459, 3.799487829208374, 1.8670897483825684, -1.7502045631408691, -0.5438277721405029, -2.8269355297088623, 0.3525852560997009, -5.441112995147705, -3.6992406845092773, -1.8096178770065308, -2.5342812538146973, 3.300361156463623, 2.640981912612915, -3.7018938064575195, -2.598069190979004, 1.7392774820327759, -2.6890628337860107, 1.0877052545547485, -1.5562238693237305, -1.5810799598693848, -4.656866073608398, -0.7347922325134277, -0.010958552360534668, -2.4498915672302246, -1.5790607929229736, 0.13270336389541626, 3.9367992877960205, -2.429673433303833, -0.3597782850265503, 2.2656047344207764, -0.15575337409973145, 5.952367782592773, -4.035468101501465, 3.0786311626434326, -0.9221405982971191, -0.7918825149536133, -1.7003026008605957, -4.548636436462402, 0.16687655448913574, -2.86480712890625, 2.527719259262085, 7.921635627746582, 1.2502084970474243, -2.2310516834259033, 1.8005393743515015, 1.2019901275634766, 1.597354769706726, 2.4000964164733887, 0.03726792335510254, -2.468484401702881, -4.987308502197266, -2.215846300125122, -1.235592007637024, -1.268008828163147, -4.467581748962402, -1.1233822107315063, 2.4579954147338867, -2.3983500003814697, 2.331040620803833, -6.336066722869873, 3.7610597610473633, -2.1015853881835938, 3.060035467147827, 2.283513307571411, -2.0277531147003174, 0.9557702541351318, 0.20605134963989258, -0.15992295742034912, -4.045231819152832, -1.5014965534210205, -2.387368679046631, 3.4636855125427246, 2.408252716064453, -4.505379676818848, -4.681146621704102, 0.4562978744506836, 0.07699072360992432, 2.902341365814209, 2.825702428817749, 3.953933000564575, 3.436663866043091, -1.810884952545166, 3.2240171432495117, 2.947223663330078, -2.6448750495910645, 1.903533935546875, 1.8232961893081665, 1.3156158924102783, 4.401704788208008, 3.2339682579040527, -2.1165618896484375, 6.058187007904053, 3.89907169342041, 0.5885518789291382, 0.14930689334869385, -3.380786895751953, 4.561568260192871, -0.4093537926673889, -2.724005699157715, 6.6812744140625, -3.9198756217956543, 1.1375160217285156, -4.0768351554870605, 3.5816497802734375, 1.1917247772216797, 2.159256935119629, 5.381677627563477, 0.21662086248397827, 1.4940149784088135, 4.277646064758301, -1.9464510679244995, -4.551919937133789, 4.016549587249756, -1.899450659751892, -3.7999892234802246, 4.185622215270996, -4.570215702056885, 1.3859360218048096, -2.418114185333252, 0.44595542550086975, 0.6012858152389526, 1.5684611797332764, 1.532575249671936, 0.3958306312561035, -2.8338570594787598, -4.610073089599609, -0.7254394292831421, 2.6295742988586426]
