WORLD	[0.10680417716503143, -0.04919695109128952, -0.008273585699498653, 0.11214781552553177, -0.06634900718927383, 0.10097231715917587, 0.10849528759717941, -0.03857403248548508, 0.07744837552309036, -0.06096673011779785, -0.09779243171215057, 0.0959441065788269, 0.08593248575925827, -0.10859441757202148, -0.10506696999073029, -0.10583208501338959, 0.11554908752441406, 0.08014155179262161, 0.0632764920592308, 0.10127448290586472, -0.06868910044431686, 0.06789141148328781, -0.1189606711268425, -0.10028160363435745, -0.06813514232635498, -0.09537973254919052, -0.061776962131261826, 0.08165964484214783, -0.05168307200074196, 0.050433188676834106, -0.11563372611999512, -0.07016593962907791, 0.11625541746616364, -0.0848943293094635, 0.0854177325963974, -0.0684644803404808, -0.0823483020067215, -0.11183922737836838, 0.013714282773435116, -0.03568392992019653, 0.1001192107796669, 0.05658608302474022, 0.07109634578227997, -0.09549658745527267, 0.12122271955013275, 0.0771850124001503, 0.10860294848680496, 0.07555896788835526, 0.11873332411050797, -0.08732099086046219, -0.1125934049487114, -0.00017044330888893455, 0.005897987633943558, 0.11413334310054779, 0.09913554787635803, -0.11210155487060547, 0.14898835122585297, -0.06998684257268906, -0.03979836404323578, -0.08767934888601303, 0.0933804139494896, 0.07398375868797302, 0.06054825335741043, 0.11269913613796234, 0.08260878175497055, 0.06622079759836197, 0.07883434742689133, -0.11392413824796677, 0.08842779695987701, 0.11581264436244965, 0.07533026486635208, -0.10461100935935974, 0.09425501525402069, -0.11960747092962265, -0.05055437609553337, 0.12111414223909378, 0.10417179763317108, -0.11667684465646744, 0.07854042202234268, -0.0738913044333458, -0.06508883088827133, -0.025102438405156136, 0.05421428754925728, 0.10061316192150116, 0.10410376638174057, 0.08133598417043686, -0.11041048169136047, 0.09115003794431686, -0.02127188630402088, -0.10787499696016312, -0.11144200712442398, 0.09835842996835709, 0.1136886328458786, 0.05338811129331589, -0.17077721655368805, 0.11335989832878113, 0.06627978384494781, 0.08672790229320526, -0.09064395725727081, 0.08367106318473816, 0.07609856128692627, -0.04630201309919357, 0.07071417570114136, 0.04150181636214256, 0.09642491489648819, 0.10265842825174332, -0.06748981028795242, 0.11200430989265442, 0.009015919640660286, 0.07538598030805588, 0.14529502391815186, 0.07491067796945572, 0.10190316289663315, 0.09376011788845062, 0.09959930926561356, 0.0650603398680687, 0.08307857066392899, -0.10936935991048813, -0.11362655460834503, -0.03346144035458565, 0.07776111364364624, 0.10071809589862823, -0.011751551181077957, 0.08303190767765045, 0.09580995887517929, 0.10700104385614395, -0.02436232939362526, 0.04727466031908989]
LAND	[-0.012761940248310566, -0.08481321483850479, 0.07318361848592758, 0.10876057296991348, -0.05781277269124985, 0.11912400275468826, 0.07349801808595657, -0.07283706218004227, 0.10695500671863556, -0.06062151491641998, -0.10847855359315872, 0.06785252690315247, 0.12358453124761581, -0.06696756929159164, -0.08678983151912689, -0.1450767070055008, 0.10849684476852417, 0.11103654652833939, 0.07900470495223999, 0.09837866574525833, -0.06967134028673172, 0.07029645144939423, -0.0991731733083725, -0.10865040868520737, -0.12526847422122955, -0.11733147501945496, -0.0884334072470665, 0.10067373514175415, -0.06499318033456802, 0.030268415808677673, -0.1075579896569252, -0.05419621244072914, 0.03498951718211174, -0.07862456887960434, 0.08616308122873306, 0.05253966897726059, -0.06380543857812881, 0.0207964014261961, -0.02665288932621479, -0.10307449847459793, 0.1112615168094635, 0.06444196403026581, 0.07154542952775955, -0.1113138273358345, 0.12438289076089859, 0.07720587402582169, 0.10209358483552933, 0.03324603661894798, 0.08107882738113403, -0.09080564975738525, -0.08569050580263138, -0.05472783371806145, 0.005055760499089956, 0.09545736759901047, 0.09489364176988602, -0.10684873908758163, 0.1549486517906189, -0.10347691178321838, 0.03759891167283058, -0.1110275462269783, 0.11083534359931946, -0.06690770387649536, 0.048922449350357056, 0.12027552723884583, 0.12409504503011703, 0.03271201252937317, 0.07394756376743317, -0.11805424839258194, 0.12291648983955383, 0.11964105814695358, 0.09693340212106705, -0.08910144120454788, 0.0920475572347641, -0.10281055420637131, -0.012098478153347969, 0.12916240096092224, 0.06958877295255661, -0.11215820163488388, 0.10898356884717941, -0.05709885060787201, -0.08154773712158203, -0.09377923607826233, 0.060301993042230606, 0.08802752941846848, 0.10367219895124435, 0.08855689316987991, -0.0643317922949791, 0.043550193309783936, -0.012693969532847404, -0.0797204002737999, -0.10702995955944061, 0.08901789784431458, 0.08288749307394028, 0.09012046456336975, -0.05915568396449089, 0.04777239263057709, 0.10051089525222778, 0.04845856875181198, -0.09067445248365402, 0.12623944878578186, 0.06979334354400635, -0.07027804851531982, 0.06600974500179291, 0.07631761580705643, 0.08926109224557877, 0.10071065276861191, -0.10566086322069168, 0.06770619750022888, -0.08504941314458847, 0.0978475958108902, 0.0912589430809021, 0.07669229060411453, 0.12573374807834625, 0.10890772938728333, 0.11905521154403687, 0.05118755251169205, 0.016074156388640404, -0.11426449567079544, -0.08597817271947861, 0.018664896488189697, 0.07870141416788101, 0.10824676603078842, 0.05219221115112305, 0.09785924106836319, 0.10786944627761841, 0.09903251379728317, 0.01990649476647377, 0.09700477868318558]
EARTH (SOIL)	[-0.06070927903056145, -0.109168142080307, 0.10495536774396896, 0.1181945726275444, -0.09435328096151352, 0.07947874814271927, 0.07752674072980881, -0.09476672857999802, 0.06759664416313171, -0.10728327929973602, -0.09852499514818192, 0.08281079679727554, 0.09758003801107407, -0.07940207421779633, -0.03721804916858673, -0.12254221737384796, 0.11320117861032486, 0.12127308547496796, 0.05789517983794212, 0.10775308310985565, -0.049058131873607635, 0.061616118997335434, -0.08362539112567902, -0.10126577317714691, -0.06771816313266754, -0.12942136824131012, -0.09644675254821777, 0.06941409409046173, -0.08053082227706909, 0.058003127574920654, -0.11646878719329834, -0.04775230213999748, 0.09688438475131989, -0.06929866969585419, 0.08972401916980743, 0.03766650706529617, -0.07043668627738953, 0.03795883432030678, -0.07387176156044006, -0.11716984212398529, 0.08168025314807892, 0.08975458145141602, 0.07893642038106918, -0.11441586166620255, 0.08146023750305176, 0.0985623449087143, 0.10828595608472824, 0.07010903209447861, 0.09568525850772858, -0.012786163948476315, -0.09399919211864471, -0.0015570804243907332, -0.013879901729524136, 0.10437488555908203, 0.08714471757411957, -0.12369012087583542, 0.17836993932724, -0.08719909191131592, 0.08291269838809967, -0.10260023176670074, 0.1272204965353012, -0.08685632795095444, 0.0815645381808281, 0.10875514149665833, 0.08581139892339706, -0.009764366783201694, 0.09064249694347382, -0.12909036874771118, 0.11713139712810516, 0.1004943922162056, 0.07780549675226212, -0.08934719115495682, 0.10057976096868515, -0.12837277352809906, -0.07154939323663712, 0.12504829466342926, 0.09171009063720703, -0.10934682190418243, 0.10311082750558853, -0.045196786522865295, -0.09611234068870544, -0.10317464917898178, 0.0855596512556076, 0.08145608752965927, 0.06323867291212082, 0.03182587772607803, -0.04840835556387901, 0.08366919308900833, -0.06138575077056885, -0.05161350965499878, -0.115874283015728, 0.10690882802009583, 0.10408837348222733, 0.06717770546674728, -0.07501297444105148, 0.06501877307891846, 0.05133777856826782, 0.016990194097161293, -0.022708533331751823, 0.11709362268447876, 0.0942620038986206, -0.0904429703950882, 0.09360166639089584, 0.06438197195529938, 0.06287789344787598, 0.08019598573446274, -0.11988118290901184, 0.08290170133113861, -0.05923664569854736, 0.03679880499839783, 0.1056707352399826, 0.11174898594617844, 0.10302469879388809, 0.09394780546426773, 0.12442941218614578, -0.020915938541293144, 0.0023868237622082233, -0.09363290667533875, -0.09206926822662354, 0.03303632512688637, -0.0629158541560173, 0.0912913829088211, 0.02907777950167656, 0.10947786271572113, 0.08011990785598755, 0.12482497841119766, 0.05877656862139702, 0.10058341175317764]
CLAY	[-0.09565383940935135, -0.10669953376054764, 0.09834467619657516, 0.09906482696533203, -0.11216595768928528, 0.08816085010766983, 0.11784304678440094, -0.10667212307453156, 0.05707370862364769, -0.08969549089670181, -0.09609316289424896, 0.10399375855922699, 0.10147499293088913, -0.09883944690227509, -0.053539227694272995, -0.014998682774603367, 0.06414850056171417, 0.08854024857282639, 0.08757302910089493, 0.10423751175403595, -0.053587134927511215, 0.09330514818429947, -0.08459041267633438, -0.0994219183921814, -0.08977736532688141, 0.09439679980278015, -0.09376944601535797, 0.07685835659503937, -0.10134734958410263, 0.07704014331102371, 0.022995896637439728, -0.07019803673028946, -0.08929221332073212, -0.0639941468834877, 0.10800082236528397, 0.03369680047035217, -0.0865456610918045, 0.11162212491035461, -0.012502022087574005, -0.10696060210466385, 0.11419948935508728, 0.09963309019804001, 0.08809869736433029, -0.09941563755273819, -0.07825064659118652, 0.11116041988134384, 0.10960933566093445, 0.09649065136909485, 0.09271770715713501, 0.11843380331993103, -0.10179365426301956, -0.04305298998951912, -0.09131224453449249, 0.11037253588438034, 0.11372833698987961, -0.09607133269309998, 0.10828849673271179, -0.08910413831472397, 0.09806899726390839, -0.1071726605296135, 0.09843053668737411, -0.05796203017234802, 0.0822613537311554, -0.08339773863554001, 0.09144533425569534, -0.03385106846690178, 0.10223878175020218, -0.05803610384464264, 0.11684291809797287, 0.10184323042631149, 0.10433148592710495, -0.09761584550142288, 0.06636270880699158, -0.07535529881715775, -0.09565401077270508, 0.09345193952322006, 0.09649921208620071, -0.05479303002357483, 0.08997414261102676, -0.04157167673110962, -0.10349130630493164, -0.08521264791488647, 0.10526970028877258, 0.0924449935555458, 0.10320698469877243, 0.10486376285552979, -0.0744130089879036, 0.09847694635391235, -0.10314501821994781, -0.050006747245788574, -0.08915141969919205, 0.10513263195753098, 0.07579244673252106, 0.08781707286834717, 0.08696859329938889, 0.07372280955314636, 0.10004422068595886, 0.11010562628507614, -0.07303407043218613, 0.11047045886516571, 0.10838781297206879, -0.0874340683221817, -0.06463818997144699, 0.03872018679976463, 0.0381530299782753, 0.09870925545692444, -0.1031489446759224, 0.09623228013515472, -0.010581823997199535, 0.10246379673480988, 0.1047636866569519, 0.0799165666103363, 0.10279298573732376, 0.04728036746382713, 0.012665480375289917, 0.04809972643852234, 0.09250042587518692, -0.07395004481077194, -0.09793762117624283, 0.09340879321098328, 0.10107966512441635, 0.10019487142562866, 0.016256246715784073, 0.07995687425136566, 0.02704540081322193, 0.10863731056451797, 0.07539542764425278, 0.08937587589025497]
MAINLAND	[-0.059833649545907974, -0.09186633676290512, 0.0652608647942543, 0.08173531293869019, -0.014491783455014229, 0.09336712211370468, 0.03169066458940506, -0.08600027114152908, 0.059891477227211, -0.038212038576602936, -0.08882784098386765, 0.10420048236846924, 0.10279418528079987, -0.08462464809417725, -0.10337341576814651, -0.12417275458574295, 0.09394694864749908, 0.08930816501379013, 0.08930789679288864, 0.09153734147548676, -0.09078401327133179, 0.05173678323626518, -0.08920308202505112, -0.09731929004192352, -0.07659447193145752, -0.09019210189580917, -0.08470888435840607, 0.10188721120357513, -0.07989469915628433, 0.08160383254289627, -0.05107499286532402, -0.09655731916427612, 0.09512033313512802, -0.06717494130134583, 0.08673856407403946, 0.07693035900592804, -0.09209846705198288, 0.10164961218833923, 0.10483250021934509, -0.10359302163124084, 0.1178589016199112, 0.038130976259708405, 0.06988772749900818, -0.10037155449390411, 0.11486450582742691, 0.07503516227006912, 0.10349379479885101, 0.09520874172449112, 0.0789734348654747, -0.1357143521308899, -0.07535182684659958, -0.10090801864862442, -0.06625015288591385, 0.09578366577625275, 0.07936213910579681, -0.08354084193706512, 0.13062958419322968, -0.09142386168241501, 0.08446983993053436, -0.09387426823377609, 0.05320879444479942, -0.07601594179868698, 0.06713194400072098, 0.07587746530771255, 0.0892779529094696, 0.12126287072896957, 0.07076766341924667, -0.10114454478025436, 0.10069742798805237, 0.09056398272514343, 0.09205444902181625, -0.10788700729608536, 0.11436396837234497, -0.07656286656856537, -0.08943226933479309, 0.08644259721040726, 0.10143189877271652, -0.09792939573526382, 0.09431781619787216, -0.09421811997890472, -0.06939978152513504, -0.10584273189306259, 0.09938127547502518, 0.10685950517654419, 0.09167402237653732, 0.07972384989261627, -0.08637586981058121, 0.0846707671880722, -0.06747015565633774, -0.11548998951911926, -0.07289379835128784, 0.09751822054386139, 0.11056702584028244, 0.09666729718446732, 0.05055587366223335, 0.08469061553478241, 0.0823444128036499, 0.07009248435497284, -0.08010990917682648, 0.10402873158454895, 0.0945671871304512, -0.09800579398870468, 0.05928906053304672, 0.07743028551340103, 0.08581165224313736, 0.11552615463733673, -0.09853605180978775, 0.06230931729078293, -0.1064220741391182, 0.07348672300577164, 0.0962538942694664, 0.0543692447245121, 0.08012934774160385, 0.08445389568805695, 0.04409713298082352, 0.0939229279756546, 0.05811770260334015, -0.08586804568767548, -0.0866084098815918, 0.06401727348566055, 0.07224366813898087, 0.10987050086259842, 0.10516287386417389, 0.11415726691484451, 0.10626006871461868, 0.08296482264995575, 0.0522238090634346, 0.1061391532421112]
SKY	[0.08820648491382599, -0.015042316168546677, -0.11682470142841339, 0.08845753222703934, 0.08061037957668304, 0.09681277722120285, 0.10016980767250061, -0.083868607878685, 0.10775214433670044, -0.07931012660264969, -0.04334672912955284, 0.04714075103402138, 0.09057801216840744, -0.10346224159002304, 0.05185402184724808, -0.0842442438006401, 0.10382667183876038, 0.09286461770534515, -0.09898903965950012, 0.09383799880743027, -0.024315977469086647, -0.05786633491516113, -0.09517275542020798, -0.09353820979595184, 0.014933129772543907, 0.029437676072120667, 0.07470346987247467, -0.05461301654577255, 0.09738916903734207, -0.04680103436112404, -0.0688549131155014, -0.127300426363945, 0.06806770712137222, -0.08599023520946503, 0.08406148850917816, -0.05689813196659088, 0.0016580251976847649, 0.04410911723971367, 0.16167323291301727, -0.1027800515294075, 0.10062549263238907, -0.0725913941860199, -0.0362263023853302, -0.08135104924440384, 0.046956438571214676, -0.11230076849460602, 0.0962420254945755, -0.06506483256816864, -0.029112929478287697, -0.07388238608837128, -0.11244211345911026, 0.09506785869598389, 0.08811096101999283, 0.11306695640087128, 0.03072725608944893, -0.09934826195240021, -0.0635240375995636, 0.05717626214027405, -0.09623310714960098, 0.0792524591088295, 0.10338761657476425, 0.1081986203789711, -0.08330953866243362, 0.10158956795930862, 0.07985953241586685, -0.1424640268087387, 0.08029273897409439, -0.10075550526380539, 0.09627936035394669, 0.08015847206115723, 0.10397030413150787, -0.10876977443695068, -0.09491663426160812, -0.1386374533176422, 0.09929054230451584, -0.09063487499952316, 0.067308709025383, -0.1239805594086647, -0.07381276786327362, 0.08114777505397797, -0.10562466084957123, 0.0840390995144844, -0.0691736489534378, 0.034463442862033844, -0.04804558306932449, 0.09171485900878906, -0.10572723299264908, -0.029521722346544266, 0.015221713110804558, -0.057485535740852356, -0.08100282400846481, -0.19644400477409363, 0.09067154675722122, 0.09211933612823486, 0.003553257556632161, 0.08385470509529114, 0.11158695071935654, 0.08825874328613281, 0.09220632165670395, -0.08551164716482162, 0.08608196675777435, 0.1909525841474533, -0.07910992950201035, -0.1113145723938942, 0.09385665506124496, 0.06410584598779678, 0.046702370047569275, 0.14676959812641144, 0.04272236302495003, 0.09923489391803741, 0.14306628704071045, -0.05668921768665314, 0.09981617331504822, 0.09843312948942184, -0.14409729838371277, 0.09681383520364761, -0.08324399590492249, -0.09674571454524994, -0.09105297178030014, -0.06551498919725418, 0.026139739900827408, -0.08536604046821594, 0.06638972461223602, 0.008184628561139107, 0.09042064845561981, 0.10001114010810852, 0.02816511131823063, -0.06969718635082245]
LIGHT (RADIATION)	[0.07660623639822006, -0.09361984580755234, -0.08830749988555908, 0.09148769825696945, -0.0984887033700943, 0.07481434941291809, 0.08188736438751221, -0.03482598066329956, 0.06865131109952927, -0.001219683326780796, 0.0844055637717247, 0.061598118394613266, -0.0631524994969368, 0.08687184005975723, -0.06381933391094208, 0.0753818228840828, 0.08391324430704117, -0.06221924349665642, -0.04766305908560753, -0.014139529317617416, 0.08249956369400024, 0.1791701465845108, -0.08449268341064453, -0.10911356657743454, -0.03814912214875221, -0.13810162246227264, 0.06593836843967438, -0.07221240550279617, 0.05660250782966614, -0.08150353282690048, -0.06422163546085358, 0.0905323252081871, -0.09591953456401825, -0.08125348389148712, 0.18479900062084198, -0.1142885759472847, -0.09605619311332703, -0.08782804012298584, 0.05822465941309929, 0.08872310072183609, 0.0859074518084526, 0.030413927510380745, 0.05855648219585419, 0.046410370618104935, 0.09398730099201202, 0.07370518893003464, 0.04712939262390137, -0.09537752717733383, -0.0017007607966661453, -0.09330850839614868, -0.08911636471748352, -0.060287486761808395, 0.08197653293609619, 0.1108885258436203, 0.05739762634038925, -0.14658790826797485, 0.09596023708581924, -0.07900187373161316, -0.09587996453046799, -0.0908299908041954, -0.14328892529010773, -0.08213572204113007, 0.09182123839855194, 0.09311241656541824, -0.042150381952524185, -0.09632456302642822, -0.10147462785243988, -0.05262070894241333, 0.0953182652592659, 0.08817284554243088, 0.06535238772630692, 0.07375388592481613, 0.07812775671482086, -0.09600254893302917, 0.09612623602151871, 0.07793506234884262, 0.04271470010280609, 0.04057944193482399, -0.09817595034837723, 0.04145478084683418, 0.06574711203575134, 0.10154321789741516, 0.07639104127883911, 0.09979340434074402, -0.03789924085140228, 0.09553685039281845, -0.1509222388267517, 0.08353234827518463, 0.04892716556787491, -0.08850594609975815, 0.0934220477938652, 0.08505978435277939, -0.03944455459713936, 0.06889781355857849, -0.05721204727888107, -0.14136436581611633, 0.08307868242263794, 0.10743404179811478, -0.10542995482683182, 0.03903615474700928, 0.10608070343732834, 0.09491392970085144, 0.08237924426794052, 0.09520857036113739, 0.09297629445791245, -0.07107099890708923, -0.057628437876701355, 0.09708713740110397, -0.08883187174797058, -0.0933791846036911, 0.1099301427602768, 0.12773366272449493, 0.0705505833029747, -0.04691898822784424, 0.09256599098443985, 0.0841008722782135, 0.0964186042547226, -0.010989295318722725, -0.09027571976184845, 0.12156181037425995, 0.0838148221373558, 0.09096646308898926, -0.09199754893779755, -0.06478660553693771, 0.09291752427816391, -0.09421730786561966, -0.06766615808010101, 0.2520684003829956]
WEATHER	[0.08218696713447571, -0.01577543281018734, -0.12040140479803085, 0.0954776331782341, 0.011803396977484226, 0.06021574139595032, 0.0816597118973732, 0.0351727195084095, 0.06058129295706749, 0.07607215642929077, -0.10107757896184921, 0.06946667283773422, 0.08335979282855988, -0.08815480768680573, -0.12255902588367462, -0.08916646987199783, 0.0934465229511261, 0.08464327454566956, -0.010261178947985172, 0.08742229640483856, 0.07403510808944702, -0.10307340323925018, -0.09828156232833862, -0.08668364584445953, -0.1498352438211441, -0.14239662885665894, 0.1265394687652588, -0.07726256549358368, 0.07212579995393753, -0.10955967009067535, -0.09027452021837234, -0.09163489192724228, 0.05271606892347336, -0.08068110048770905, 0.07152658700942993, -0.08102627098560333, -0.18627706170082092, -0.07158157229423523, 0.05675198882818222, 0.11799880862236023, 0.08522967249155045, -0.058067817240953445, -0.09925124049186707, -0.11660156399011612, 0.036205653101205826, -0.09387149661779404, 0.08367079496383667, -0.07707598060369492, 0.08661111444234848, -0.0646992176771164, -0.08692695200443268, 0.08036019653081894, 0.07753631472587585, 0.10233495384454727, 0.09377570450305939, -0.08797643333673477, -0.10276094079017639, 0.1309843510389328, -0.07465483993291855, 0.13009558618068695, 0.0855134055018425, 0.09577120095491409, -0.08043237030506134, 0.07739334553480148, 0.08542291820049286, -0.12657426297664642, 0.16967637836933136, -0.07149849832057953, 0.08539799600839615, 0.05861113592982292, 0.08535534143447876, -0.09079410880804062, -0.08612098544836044, -0.10777702182531357, 0.07897403836250305, -0.0812968760728836, 0.08384815603494644, -0.09792638570070267, -0.07633624225854874, 0.03137877210974693, -0.08053602278232574, 0.08100859075784683, 0.09060687571763992, 0.08572583645582199, 0.0979401245713234, 0.08398269861936569, -0.08761058747768402, 0.09384826570749283, 0.07979372888803482, -0.06892788410186768, -0.13981670141220093, -0.004561444278806448, 0.09522455930709839, 0.06990458816289902, -0.15481533110141754, 0.08796614408493042, 0.08649197965860367, 0.08412203192710876, 0.07518796622753143, -0.05591193586587906, 0.07328739762306213, 0.02637919783592224, -0.07315102219581604, -0.015896644443273544, 0.08802404254674911, -0.07626137137413025, 0.07829611003398895, 0.09851565957069397, 0.062953881919384, 0.08147545903921127, 0.13516227900981903, -0.029523801058530807, 0.07895416766405106, 0.10093355178833008, -0.0025457176379859447, 0.07714629918336868, 0.028781577944755554, -0.08554408699274063, -0.08823291212320328, -0.09164393693208694, 0.07036718726158142, 0.08591410517692566, 0.13665781915187836, -0.14305400848388672, 0.09218496829271317, 0.052021574229002, -0.09347806870937347, 0.012354024685919285]
FLOOR	[-0.06799207627773285, -0.11594527214765549, 0.05001668259501457, 0.10923165827989578, -0.05133393406867981, 0.10048618912696838, 0.06580400466918945, -0.09305474907159805, 0.057090070098638535, -0.1102144867181778, -0.07501880079507828, 0.1237405464053154, 0.10003484040498734, -0.0937756896018982, -0.09128016233444214, -0.10912521928548813, 0.11030630022287369, 0.10425615310668945, 0.02243419550359249, 0.10949508845806122, -0.07612444460391998, 0.06689728796482086, 0.0008578191045671701, -0.08541497588157654, -0.0968572199344635, -0.08818994462490082, -0.1062651053071022, 0.11650311201810837, -0.08517733216285706, 0.10229916125535965, -0.09349272400140762, -0.025462809950113297, 0.06349729001522064, -0.005513788666576147, 0.06534700840711594, 0.08580426871776581, -0.0861673653125763, 0.07852233201265335, 0.031995657831430435, -0.07516490668058395, 0.0996520146727562, -0.012030850164592266, 0.09708774834871292, -0.11434625089168549, 0.11781826615333557, 0.07145583629608154, 0.11642249673604965, 0.09699199348688126, 0.06377027183771133, -0.09900831431150436, -0.11167888343334198, -0.03714284300804138, -0.11680231988430023, 0.12387411296367645, 0.025464007630944252, -0.09376419335603714, 0.15234655141830444, -0.034076541662216187, 0.06234598904848099, -0.07214336097240448, 0.10808339715003967, -0.014605611562728882, 0.0827314630150795, 0.07708842307329178, 0.10149502009153366, 0.07015738636255264, 0.09855318069458008, -0.0728641003370285, 0.11862286925315857, 0.11688581854104996, 0.08940515667200089, -0.11567681282758713, 0.10587487369775772, -0.11899736523628235, -0.03089217096567154, 0.08485633134841919, 0.09776496142148972, -0.11497761309146881, 0.11577378213405609, -0.02804863639175892, -0.044159337878227234, -0.0958753153681755, 0.1019851490855217, 0.07572036236524582, 0.05602457746863365, 0.09309455007314682, -0.02149539440870285, 0.10753946006298065, -0.06140312924981117, -0.11523324996232986, -0.11926887929439545, 0.12831701338291168, 0.07774995267391205, 0.10099844634532928, -0.045880962163209915, 0.08211996406316757, 0.10285324603319168, 0.02255939319729805, -0.05530229210853577, 0.1195601373910904, 0.10650436580181122, -0.09892358630895615, 0.08367807418107986, 0.07002123445272446, 0.10569334775209427, 0.091582752764225, -0.12772762775421143, 0.02869470976293087, -0.09935331344604492, 0.06283403187990189, 0.031944215297698975, 0.08340829610824585, 0.10899463295936584, 0.10170445591211319, 0.10754822939634323, 0.00796322152018547, 0.03667180985212326, -0.09070852398872375, -0.10433628410100937, 0.09469448775053024, -0.04215741530060768, 0.08632195740938187, -0.011331981979310513, 0.12408293783664703, 0.06486919522285461, 0.11976605653762817, 0.08879412710666656, 0.09867731481790543]
PLACE (POSITION)	[-0.018729863688349724, 0.1261305809020996, -0.0344432033598423, 0.08054766058921814, 0.11930718272924423, 0.09326644241809845, 0.018133120611310005, 0.11455324292182922, 0.09496280550956726, -0.08260022103786469, -0.11912517249584198, 0.07785731554031372, 0.04816611111164093, -0.10137588530778885, -0.12052566558122635, -0.10201959311962128, 0.06506233662366867, 0.07408273965120316, -0.13423456251621246, 0.057194195687770844, -0.07933393865823746, 0.09862251579761505, -0.10143938660621643, -0.005324845667928457, -0.08641689270734787, -0.04074307158589363, -0.09243953227996826, 0.11319968104362488, 0.015422630123794079, 0.09491279721260071, -0.10778935998678207, 0.012988315895199776, 0.07668497413396835, -0.0920690968632698, 0.07971127331256866, 0.021945461630821228, -0.07529595494270325, 0.061452675610780716, -0.048676833510398865, -0.0008240164024755359, 0.06854990124702454, 0.08146976679563522, 0.06096265837550163, -0.0030779726803302765, 0.10207857936620712, -0.01934332400560379, 0.08649124205112457, 0.10277366638183594, 0.10758107900619507, -0.08991147577762604, -0.09005682170391083, -0.06448700278997421, 0.14679551124572754, 0.10397554188966751, 0.09668832272291183, -0.0496242418885231, 0.162140890955925, -0.048894986510276794, 0.08937365561723709, 0.01584124006330967, 0.10187309235334396, -0.08985589444637299, 0.0526944063603878, 0.0995589941740036, 0.10882384330034256, 0.16438822448253632, -0.15334416925907135, -0.09424435347318649, 0.07190927863121033, 0.08078970015048981, 0.08896533399820328, -0.09095614403486252, 0.08073114603757858, -0.1009848490357399, -0.025098014622926712, 0.10562450438737869, 0.09169626981019974, -0.10437845438718796, -0.06942156702280045, -0.058235689997673035, -0.003222930245101452, -0.09946031123399734, 0.07055044174194336, -0.09421472251415253, 0.10940725356340408, 0.04841945692896843, -0.08815351128578186, -0.03812785819172859, -0.08232489228248596, -0.07537341862916946, -0.09509073942899704, 0.097989521920681, 0.061554599553346634, 0.09172382950782776, -0.13657595217227936, 0.08117286115884781, 0.07382641732692719, 0.17504556477069855, -0.09269829094409943, -0.007891006767749786, 0.08737043291330338, -0.07842503488063812, 0.07260151952505112, 0.02277853898704052, 0.07157992571592331, 0.09037113189697266, -0.13710013031959534, 0.12283085286617279, -0.07486286014318466, 0.08509337902069092, -0.06811151653528214, 0.10317926108837128, 0.07027247548103333, 0.08715276420116425, 0.09219355881214142, -0.13506518304347992, -0.1264113038778305, -0.09755916148424149, -0.0962410643696785, -0.12373148649930954, 0.081740602850914, 0.09842008352279663, -0.05576840415596962, 0.08706926554441452, 0.06697418540716171, 0.07460706681013107, 0.11178653687238693, 0.09128379821777344]
