WORLD	[-0.09350482374429703, -0.04063507542014122, 0.04115616902709007, 0.10699968039989471, -0.0936054140329361, 0.06457638740539551, -0.027788491919636726, 0.11206334829330444, 0.06548759341239929, 0.08869557082653046, 0.08544124662876129, -0.10520339757204056, -0.071592316031456, 0.06952924281358719, 0.04053295776247978, -0.10567332804203033, -0.10031431913375854, 0.0946781188249588, 0.10711819678544998, -0.10055308789014816, -0.10186020284891129, 0.1075265109539032, -0.06109568476676941, -0.07483315467834473, 0.06591334193944931, 0.016259074211120605, 0.07065767049789429, 0.106495201587677, 0.10957899689674377, -0.08114828169345856, -0.08679702877998352, 0.09132824093103409, 0.10677539557218552, 0.10503707826137543, -0.10010302811861038, 0.08649075031280518, -0.10162282735109329, -0.10496807098388672, 0.08980932086706161, -0.08892138302326202, -0.07739881426095963, -0.09011515229940414, -0.08735914528369904, 0.01348866242915392, -0.10256960988044739, 0.038053542375564575, -0.0902126282453537, 0.10095900297164917, -0.10097948461771011, -0.10063136368989944, 0.09300664812326431, 0.10509661585092545, 0.0021889624185860157, -0.06931476294994354, -0.0920158252120018, -0.07217865437269211, 0.08065427094697952, -0.0946383848786354, -0.12219969183206558, 0.11446601897478104, -0.11760859191417694, 0.09806859493255615, -0.10731223225593567, 0.1122000589966774, 0.10701198130846024, -0.10544838756322861, -0.0647178664803505, -0.0960516482591629, -0.10658629238605499, -0.09050021320581436, 0.09181541949510574, 0.08774231374263763, 0.06799933314323425, 0.11142700165510178, -0.10256355255842209, -0.08628379553556442, -0.020896025002002716, 0.08020330965518951, 0.09605702012777328, 0.0895291119813919, 0.09918251633644104, -0.0624508336186409, 0.09806805849075317, 0.08655113726854324, 0.10405249893665314, 0.07210122048854828, -0.020592113956809044, -0.10055868327617645, 0.06170725077390671, -0.0655047744512558, 0.09551063179969788, 0.027238130569458008, -0.10964465886354446, 0.10487890988588333, 0.09287068992853165, 0.09938693791627884, -0.08202268183231354, -0.0945218950510025, 0.06679046899080276, -0.10197223722934723, 0.10075372457504272, -0.07646926492452621, -0.11408871412277222, 0.0478639118373394, 0.04733695834875107, 0.10115095227956772, 0.09013646841049194, 0.08310180902481079, -0.10876546055078506, 0.03214974328875542, -0.05198322981595993, -0.09244261682033539, -0.1072244793176651, 0.061621710658073425, 0.10590638965368271, 0.09740473330020905, 0.11021801084280014, 0.12565726041793823, -0.10221891105175018, -0.11733879148960114, 0.07640169560909271, 0.024696651846170425, -0.09624966979026794, -0.10818324983119965, 0.10145941376686096, 0.05223188176751137, -0.09975682944059372, -0.09236601740121841]
LAND	[-0.092259481549263, -0.0794401615858078, 0.09914637356996536, 0.08614178001880646, -0.08655725419521332, 0.08500146120786667, -0.0894257053732872, 0.1028866395354271, 0.031222490593791008, 0.06830756366252899, 0.09290535748004913, -0.09799753129482269, -0.09830784052610397, 0.10095885396003723, 0.08613411337137222, -0.09614444524049759, -0.0949423760175705, 0.09209888428449631, 0.09011022001504898, -0.0900135189294815, -0.0942552238702774, 0.10277188569307327, -0.07950294762849808, -0.09101752191781998, 0.09510844200849533, 0.09480629861354828, 0.06911399215459824, 0.0878874808549881, 0.09389723092317581, -0.09247013181447983, -0.09142307192087173, 0.09035713225603104, 0.09530907869338989, 0.09329863637685776, -0.09241099655628204, 0.0940508097410202, -0.09396985918283463, -0.09323883056640625, 0.08855927735567093, -0.09232646226882935, -0.08745770156383514, 0.07212118804454803, -0.08372529596090317, 0.0843675509095192, -0.07676038146018982, 0.07734332233667374, 0.06596507132053375, 0.09539426863193512, -0.09104364365339279, -0.0946565493941307, 0.08932965248823166, 0.08520809561014175, -0.0938616618514061, -0.09846305102109909, -0.08942040801048279, -0.08829400688409805, 0.08418068289756775, -0.09369068592786789, -0.10127361118793488, 0.10356101393699646, 0.07665970921516418, 0.09199600666761398, -0.10060669481754303, 0.09636262059211731, 0.09539473801851273, -0.0952032133936882, -0.08972646296024323, -0.09051806479692459, -0.08152420818805695, -0.0902099683880806, 0.10297252982854843, 0.08766014873981476, 0.09020921587944031, 0.08776205033063889, -0.07663444429636002, -0.09390687942504883, -0.07578025013208389, 0.07017708569765091, 0.08408445864915848, 0.08931171149015427, 0.10178644955158234, -0.09088508784770966, 0.073496013879776, 0.08428389579057693, 0.08942683786153793, 0.06839925795793533, 0.08146166056394577, -0.09707208722829819, 0.10015498101711273, -0.08115977048873901, 0.09213365614414215, 0.0741284042596817, -0.09923861175775528, 0.10216611623764038, 0.08453332632780075, 0.08487918227910995, -0.07143398374319077, -0.08374232053756714, 0.0893443375825882, -0.08747182041406631, 0.0867779552936554, -0.08916379511356354, -0.10952216386795044, 0.07778865844011307, 0.08746886253356934, 0.09377747029066086, 0.0934121161699295, 0.09702258557081223, -0.08923321962356567, -0.04699036478996277, -0.08906815201044083, -0.08670011162757874, -0.09804827719926834, 0.07663100212812424, 0.1014990583062172, 0.0683063417673111, 0.09786877781152725, 0.10072450339794159, -0.08255911618471146, -0.10834186524152756, 0.07208964228630066, 0.07828760147094727, -0.09415288269519806, -0.08651167154312134, 0.09327974915504456, 0.08728905022144318, -0.09346646815538406, -0.08769189566373825]
EARTH (SOIL)	[-0.03888825327157974, -0.08814185857772827, 0.10223294049501419, 0.09700710326433182, -0.09440609812736511, 0.09607650339603424, -0.10112547129392624, 0.09076055884361267, 0.04856066033244133, 0.05933095142245293, 0.056210704147815704, -0.10521994531154633, -0.10220171511173248, 0.10033820569515228, 0.08086337894201279, -0.09096301347017288, -0.08389271795749664, 0.09625357389450073, 0.09899075329303741, -0.09452716261148453, -0.09414336830377579, 0.09267179667949677, -0.0917450562119484, -0.08846835792064667, 0.0971110463142395, 0.10613109916448593, 0.09765750914812088, 0.09645910561084747, 0.002526428084820509, -0.08585520833730698, -0.09260792285203934, 0.09264171123504639, 0.0962294489145279, 0.08839621394872665, -0.0958588570356369, 0.09426312893629074, -0.08199382573366165, -0.08831212669610977, 0.08826178312301636, -0.10294122248888016, -0.07531347125768661, 0.04003438353538513, -0.09213763475418091, 0.10619370639324188, -0.08743711560964584, 0.0948435589671135, 0.07430361211299896, 0.0969715565443039, -0.08698383718729019, -0.10101734101772308, 0.10037549585103989, 0.09305272251367569, -0.10066807270050049, -0.08834991604089737, -0.08829137682914734, -0.09054513275623322, 0.0910404846072197, -0.0841020941734314, -0.10183295607566833, 0.10190524160861969, 0.0780826061964035, 0.09712252020835876, -0.0941578596830368, 0.09785692393779755, 0.09426980465650558, -0.0937207043170929, -0.065089151263237, -0.0951608344912529, -0.08935772627592087, -0.09117365628480911, 0.07502806186676025, 0.10132236033678055, 0.08564233779907227, 0.09633021801710129, -0.08183848857879639, -0.08764184266328812, -0.09203626960515976, 0.06518276780843735, 0.08118090033531189, 0.09233520179986954, 0.0887739434838295, -0.08984220772981644, 0.09943810850381851, 0.09769722819328308, 0.08490371704101562, 0.09042075276374817, 0.0652751475572586, -0.08050455898046494, 0.10310112684965134, -0.07798832654953003, 0.09846871346235275, 0.08334027230739594, -0.09344986081123352, 0.09986838698387146, 0.02991485223174095, 0.08123821020126343, -0.06010866537690163, -0.09411093592643738, 0.09234324842691422, -0.09680292755365372, 0.07922882586717606, -0.09756345301866531, -0.09960930794477463, 0.06511487811803818, 0.08144596219062805, 0.102244533598423, 0.09550278633832932, 0.09921342879533768, -0.08234421908855438, -0.08020011335611343, -0.0860881581902504, -0.09532570838928223, -0.09968499094247818, 0.07599058747291565, 0.07218676805496216, 0.09094388782978058, 0.10083036124706268, 0.08404485136270523, -0.08945608139038086, -0.11157823354005814, 0.06440205127000809, 0.08502321690320969, -0.08875459432601929, -0.08991639316082001, 0.10064664483070374, 0.0855686143040657, -0.09545817971229553, -0.06868112832307816]
CLAY	[0.11877165734767914, -0.08770839124917984, 0.08685825765132904, 0.09389062970876694, -0.08550718426704407, 0.09200721979141235, -0.09258649498224258, -0.114254891872406, 0.08967425674200058, 0.08592049032449722, -0.10763527452945709, -0.09046804904937744, -0.0870400220155716, 0.08730462193489075, 0.07559357583522797, -0.08050461858510971, -0.009150883182883263, 0.08964475244283676, 0.07573559880256653, -0.06895996630191803, -0.0900738313794136, -0.1540295034646988, -0.08536411076784134, -0.07728542387485504, 0.06700457632541656, 0.08935695886611938, 0.09369786083698273, 0.08127622306346893, -0.10343552380800247, -0.08012906461954117, -0.09195346385240555, 0.06684880703687668, 0.08521467447280884, 0.0537295825779438, -0.09027957916259766, 0.08162268251180649, -0.0921935960650444, -0.05785108730196953, 0.09242013096809387, -0.10181793570518494, -0.09286971390247345, -0.12169170379638672, -0.07234493643045425, 0.1191050186753273, -0.08763884007930756, 0.08962420374155045, 0.07106591761112213, 0.08906339108943939, -0.09089799225330353, -0.09247824549674988, 0.08009134232997894, 0.08635395765304565, -0.08630020171403885, -0.07157448679208755, -0.08283260464668274, -0.08229590207338333, 0.08438688516616821, -0.0794653445482254, -0.09002097696065903, 0.08991815149784088, 0.0802469551563263, 0.07633566856384277, -0.09243828058242798, 0.08415841311216354, 0.09123113751411438, -0.08961966633796692, -0.08615116029977798, -0.07605354487895966, -0.08858930319547653, -0.10083825141191483, -0.11335110664367676, 0.0918423980474472, -0.12702549993991852, 0.09195591509342194, -0.07585596293210983, -0.08596247434616089, -0.08347683399915695, 0.08227786421775818, 0.08330051600933075, 0.08921895921230316, 0.04727482423186302, 0.135548397898674, 0.10133751481771469, 0.082018181681633, 0.08222977072000504, 0.09511441737413406, 0.08273293077945709, 0.118559330701828, 0.08348768204450607, -0.07481692731380463, 0.07134660333395004, 0.08460265398025513, 0.11957736313343048, 0.07964390516281128, -0.11835571378469467, 0.0743015930056572, -0.0909784734249115, -0.0853942260146141, 0.08665698766708374, -0.0926104485988617, 0.07966180890798569, -0.08921077847480774, 0.09597042202949524, 0.08245281875133514, 0.04200829565525055, 0.09026452153921127, 0.09355831146240234, 0.09800208359956741, -0.0828554630279541, -0.08627818524837494, -0.09443540126085281, -0.08003516495227814, -0.06391831487417221, 0.08872457593679428, -0.1182171031832695, 0.10004952549934387, 0.09278947860002518, -0.09857159852981567, -0.07498335093259811, -0.09057040512561798, 0.08131399750709534, 0.08800021559000015, -0.07282737642526627, -0.09426826983690262, 0.08985251933336258, 0.08865302801132202, -0.08876912295818329, -0.047431983053684235]
MAINLAND	[-0.09228520095348358, -0.0802694708108902, 0.08266947418451309, 0.09071330726146698, -0.07897817343473434, 0.07682071626186371, -0.07938581705093384, 0.11315670609474182, 0.09641502052545547, 0.07353681325912476, 0.1059199869632721, -0.08914325386285782, -0.08302266150712967, 0.08726927638053894, 0.07741188257932663, -0.09538339078426361, -0.09984418749809265, 0.08350880444049835, 0.09428783506155014, -0.0892239660024643, -0.09043014794588089, 0.09948360174894333, -0.08354005962610245, -0.08884139358997345, 0.08569994568824768, 0.08948865532875061, 0.08469563722610474, 0.06310722231864929, 0.10679475963115692, -0.09856334328651428, -0.08993779122829437, 0.08344190567731857, 0.08805505931377411, 0.0946403220295906, -0.09202508628368378, 0.08605210483074188, -0.09229026734828949, -0.09789210557937622, 0.0913834497332573, -0.09637169539928436, -0.08383161574602127, 0.07602401822805405, -0.07882674038410187, 0.08089234679937363, -0.0906652882695198, 0.07159945368766785, 0.07262109965085983, 0.09176551550626755, -0.08817683905363083, -0.08449238538742065, 0.08909489214420319, 0.08444612473249435, -0.07799950987100601, -0.08941424638032913, -0.08882392197847366, -0.08764387667179108, 0.08724602311849594, -0.09977369755506516, -0.0901678130030632, 0.11189240217208862, 0.07282544672489166, 0.08430911600589752, -0.09844069927930832, 0.08946437388658524, 0.08522521704435349, -0.09364530444145203, -0.0972813218832016, -0.08451591432094574, -0.08315073698759079, -0.09670601040124893, 0.10973820090293884, 0.08206573128700256, 0.09209936112165451, 0.10231141000986099, -0.09166449308395386, -0.086788609623909, -0.07269082963466644, 0.08190528303384781, 0.08899938315153122, 0.08474469184875488, 0.10006070882081985, -0.08512745052576065, 0.09471744298934937, 0.08390531688928604, 0.08911904692649841, 0.08859207481145859, 0.09122242778539658, -0.10816499590873718, 0.08572422713041306, -0.08689024299383163, 0.08831021189689636, 0.07471928745508194, -0.10030153393745422, 0.09457864612340927, 0.1038150042295456, 0.08375190943479538, -0.07847462594509125, -0.0901898518204689, 0.0843411386013031, -0.08827377110719681, 0.08198275417089462, -0.08250142633914948, -0.10085609555244446, 0.09133166819810867, 0.09463667869567871, 0.08202619105577469, 0.08082377165555954, 0.10028403997421265, -0.08870969712734222, -0.05166802182793617, -0.09648241847753525, -0.07887905836105347, -0.08953488618135452, 0.09380833059549332, 0.09711956232786179, 0.08474047482013702, 0.09784691035747528, 0.09618061780929565, -0.08816581964492798, -0.10278788954019547, 0.08435988426208496, 0.08483881503343582, -0.08019819110631943, -0.091466523706913, 0.09028274565935135, 0.08189739286899567, -0.08198893815279007, -0.09028957784175873]
SKY	[-0.07509006559848785, 0.08494766801595688, -0.08120119571685791, 0.09823916852474213, -0.09024389088153839, -0.046997230499982834, 0.08159523457288742, 0.08875688165426254, -0.09828034788370132, 0.0918562263250351, 0.08213892579078674, -0.08792644739151001, 0.0526522621512413, -0.08569466322660446, -0.07968162000179291, -0.08984509855508804, -0.08959434926509857, 0.09850621968507767, 0.09224618226289749, -0.09570524096488953, -0.0933808833360672, 0.08559472113847733, 0.08611563593149185, 0.08951245993375778, -0.08365754038095474, -0.09234254062175751, -0.07796300947666168, 0.11116573214530945, 0.08725307136774063, 0.08322913944721222, -0.0693632960319519, -0.09088057279586792, 0.09686185419559479, 0.09002462029457092, -0.09370873868465424, 0.06939403712749481, -0.07863413542509079, -0.07239679247140884, -0.07312308251857758, 0.09005130082368851, 0.08534791320562363, -0.08056740462779999, 0.08915051817893982, -0.10989877581596375, -0.09570483863353729, -0.08871498703956604, -0.09145889431238174, 0.08573727309703827, -0.08728092163801193, -0.0927148163318634, 0.07701782882213593, 0.09433469921350479, 0.09152977913618088, 0.08982402086257935, -0.08190727978944778, 0.08683163672685623, -0.07410899549722672, 0.09025385230779648, -0.10192447155714035, 0.0924471989274025, -0.021068088710308075, 0.09170207381248474, -0.09641927480697632, 0.09451276063919067, 0.07614032924175262, 0.07813484966754913, 0.09252101927995682, -0.08242534101009369, -0.08976054936647415, 0.08571764081716537, -0.09036615490913391, 0.09141325205564499, -0.17523635923862457, 0.09387833625078201, -0.09454832971096039, 0.0864366739988327, 0.09029674530029297, 0.0872882828116417, 0.08943165093660355, -0.09005836397409439, -0.0831885114312172, -0.022196704521775246, -0.07817966490983963, -0.0944085419178009, 0.12695911526679993, -0.08040192723274231, -0.08033499121665955, -0.08636820316314697, -0.08370104432106018, 0.08591555058956146, 0.07541097700595856, -0.08341572433710098, -0.08501294255256653, 0.09355418384075165, 0.0815454050898552, 0.08461518585681915, 0.08601178973913193, -0.07818128913640976, -0.07999332994222641, 0.07832702994346619, 0.0946202278137207, 0.07642481476068497, -0.10004548728466034, 0.09309794753789902, -0.08862148225307465, 0.09685593098402023, 0.08877187222242355, 0.10465314984321594, -0.06333629041910172, -0.06156102940440178, 0.09242149442434311, -0.07376030087471008, -0.09117816388607025, -0.07473438233137131, 0.08731992542743683, 0.08697620034217834, 0.09839136898517609, 0.15275052189826965, -0.08657942712306976, -0.12235589325428009, -0.09288915991783142, -0.09328106045722961, -0.09280896931886673, -0.09261204302310944, 0.10845696926116943, -0.09851943701505661, -0.09315904229879379, -0.08310829102993011]
LIGHT (RADIATION)	[0.06515740603208542, 0.09677687287330627, 0.10589133203029633, 0.04641064256429672, -0.08836429566144943, -0.09339946508407593, 0.0815804973244667, 0.0794125646352768, 0.0773732140660286, -0.06410153955221176, -0.07940412312746048, -0.04993784427642822, 0.09047500789165497, -0.08756352961063385, 0.10468307882547379, -0.08335167169570923, -0.06829497218132019, 0.09086702764034271, 0.09320252388715744, -0.09628606587648392, 0.07674852758646011, -0.014593127183616161, 0.09516110271215439, -0.0993841141462326, -0.06401076912879944, -0.07328682392835617, 0.07849163562059402, -0.08191288262605667, -0.045656926929950714, 0.11046425998210907, -0.09297356754541397, 0.09943884611129761, 0.0977034792304039, 0.08897195756435394, -0.08972535282373428, -0.040972646325826645, -0.09039900451898575, -0.07476554065942764, 0.09090737253427505, 0.0942852795124054, -0.09350670129060745, -0.07849160581827164, 0.07585538923740387, -0.10509730875492096, 0.06724360585212708, -0.09354518353939056, -0.10290252417325974, 0.08807163685560226, -0.0925879180431366, 0.04066368564963341, 0.08313532918691635, -0.22199562191963196, 0.07873038202524185, -0.09826499223709106, -0.054825309664011, -0.0822264775633812, -0.07856885343790054, 0.0572369284927845, 0.07632609456777573, 0.01122265588492155, -0.09231432527303696, -0.07972589880228043, 0.09313708543777466, 0.10168568789958954, 0.10115879029035568, -0.0923626497387886, -0.0842081606388092, -0.09300519526004791, 0.07547015696763992, -0.10685157030820847, 0.07848379760980606, -0.09587471187114716, -0.09416306018829346, 0.06555668264627457, 0.08078153431415558, -0.09108603000640869, 0.09110677987337112, -0.08617193251848221, 0.013586455956101418, 0.10332372039556503, 0.0926700308918953, 0.05861896276473999, 0.10153128206729889, 0.08453479409217834, 0.08985528349876404, -0.032927706837654114, -0.08827642351388931, 0.0780927836894989, 0.10875935107469559, -0.07615993171930313, 0.08708889037370682, 0.07034904509782791, 0.0493537075817585, 0.15960091352462769, -0.08442902565002441, 0.08475024253129959, 0.09020379185676575, 0.06628107279539108, -0.09460687637329102, -0.07595232129096985, 0.09441079199314117, 0.10189856588840485, -0.09996025264263153, -0.06804486364126205, 0.17466305196285248, 0.08888373523950577, 0.09348845481872559, -0.09510341286659241, -0.0976284071803093, 0.013131994754076004, -0.08278220891952515, -0.08893024921417236, -0.0793290063738823, -0.08451660722494125, 0.09390262514352798, 0.08925241231918335, -0.09049291163682938, -0.10189343243837357, -0.11936880648136139, -0.08424276858568192, -0.05417044460773468, -0.1086195856332779, -0.09255963563919067, -0.09527742117643356, 0.15477120876312256, -0.09666845947504044, -0.0540403313934803, -0.09486694633960724]
WEATHER	[-0.09289703518152237, 0.08888101577758789, -0.08460327982902527, 0.08982161432504654, -0.08938147872686386, -0.08575998991727829, 0.10014248639345169, 0.09123967587947845, -0.09688041359186172, 0.09413158893585205, 0.07752030342817307, -0.09020878374576569, 0.06399522721767426, -0.0818101167678833, -0.09291007369756699, -0.10332241654396057, -0.09146582335233688, 0.08849220722913742, 0.08838728070259094, -0.09735234081745148, -0.15228287875652313, 0.08787165582180023, 0.09017328172922134, -0.048769887536764145, -0.06798850744962692, -0.08845855295658112, -0.0831083208322525, 0.15928438305854797, 0.09071025997400284, 0.07729209214448929, 0.07509998232126236, 0.001594505156390369, 0.03583809360861778, 0.08849078416824341, -0.0919305831193924, 0.09186238795518875, -0.09175682812929153, 0.060554929077625275, 0.09097200632095337, 0.08032810688018799, -0.08134022355079651, -0.09449460357427597, -0.06998234987258911, -0.1169574111700058, -0.09172851592302322, -0.08760479092597961, -0.09114519506692886, 0.09247082471847534, -0.09260439872741699, -0.08222664147615433, 0.08988860249519348, 0.09020187705755234, 0.08628563582897186, 0.09954620897769928, -0.0843370258808136, 0.13253912329673767, -0.07924886047840118, -0.0743546187877655, -0.13111720979213715, -0.08670969307422638, -0.08417024463415146, 0.0917343720793724, -0.1257581114768982, 0.12576924264431, 0.09171710908412933, -0.08622017502784729, -0.08462046831846237, -0.08155309408903122, -0.08671057969331741, 0.09446138143539429, -0.07064085453748703, -0.052163030952215195, -0.09245748817920685, 0.09289487451314926, -0.08996960520744324, -0.0921577736735344, 0.09541220963001251, 0.09017983078956604, 0.09239711612462997, 0.07239779084920883, 0.12676650285720825, 0.0746745690703392, 0.08680994808673859, 0.08345455676317215, 0.10009045153856277, -0.07987724244594574, -0.08856659382581711, -0.09296032786369324, -0.09098368138074875, 0.07605791091918945, 0.08144354820251465, -0.09022092074155807, -0.09305322915315628, 0.09532643854618073, 0.09255509823560715, 0.08139346539974213, -0.02812310867011547, 0.07639766484498978, -0.0849449411034584, -0.08309629559516907, 0.0875924676656723, 0.05692251771688461, -0.09325473755598068, -0.08373209834098816, -0.08312530070543289, 0.08906567096710205, 0.08345698565244675, -0.06694028526544571, -0.09507172554731369, 0.08025138825178146, 0.08820096403360367, -0.07662847638130188, -0.08240016549825668, -0.08218613266944885, 0.08317882567644119, 0.09060147404670715, 0.1469908356666565, -0.019320432096719742, -0.09181088954210281, -0.10089533776044846, 0.05945892259478569, -0.08591383695602417, -0.08723905682563782, -0.056795720010995865, 0.10108143836259842, -0.08482994139194489, -0.08683943748474121, -0.08074533194303513]
FLOOR	[-0.048833560198545456, -0.0948849618434906, 0.09839300066232681, 0.08690103143453598, -0.06970774382352829, 0.09190962463617325, -0.10455687344074249, 0.08942215144634247, -0.03508701175451279, 0.0584295317530632, 0.07692861557006836, -0.11688065528869629, -0.10971110314130783, 0.11216166615486145, 0.10411655902862549, -0.10675205290317535, -0.10367818176746368, 0.09975787252187729, 0.10303403437137604, -0.09180258959531784, -0.05079778656363487, 0.09915082156658173, -0.0887405052781105, -0.09625057876110077, 0.10877440124750137, 0.11666262149810791, 0.10155656188726425, 0.10750872641801834, -0.048707228153944016, -0.10245706140995026, -0.07808030396699905, 0.10634134709835052, 0.07284834235906601, 0.09952261298894882, -0.08800423890352249, 0.08932078629732132, -0.056789081543684006, -0.08826849609613419, 0.08898665010929108, -0.09785245358943939, -0.08998451381921768, 0.04089881852269173, -0.08992385119199753, 0.11283046007156372, -0.012337117455899715, 0.08298385888338089, 0.0938805490732193, 0.094007208943367, -0.03434307128190994, -0.10693550109863281, 0.10716145485639572, 0.09800858795642853, -0.10189064592123032, -0.10818543285131454, -0.06599661707878113, -0.10369192063808441, 0.10294819623231888, -0.06756402552127838, -0.115414097905159, 0.10857530683279037, 0.03995395451784134, 0.09078870713710785, -0.07719852775335312, 0.10104750096797943, 0.09619975090026855, -0.09692732989788055, -0.06488724052906036, -0.10721268504858017, -0.10274207592010498, -0.05434631556272507, 0.09699632227420807, 0.10005354136228561, 0.08717352896928787, 0.0900057703256607, -0.03334561735391617, -0.08506523072719574, -0.07385511696338654, 0.04864591360092163, 0.08940697461366653, 0.09747283905744553, 0.10449443757534027, -0.09405669569969177, 0.08902543783187866, 0.09069696068763733, 0.09233878552913666, 0.08923850953578949, 0.04801797866821289, -0.07986945658922195, 0.10503330826759338, -0.09137120097875595, 0.11234190315008163, 0.04228588938713074, -0.09199681133031845, 0.10454495251178741, 0.05218205600976944, 0.07948952913284302, -0.07768715918064117, -0.09588110446929932, 0.09661972522735596, -0.08913476020097733, 0.0998326987028122, -0.10079191625118256, -0.10658875107765198, 0.004272754769772291, 0.031384944915771484, 0.10096706449985504, 0.11008360981941223, 0.06614042073488235, -0.0728355348110199, -0.10208941996097565, -0.07989273220300674, -0.1024707555770874, -0.11417949199676514, 0.06360781192779541, 0.09796273708343506, 0.08301615715026855, 0.10863268375396729, 0.024418797343969345, -0.059848252683877945, -0.10713491588830948, 0.08104858547449112, 0.0976388156414032, -0.10596948117017746, -0.08180111646652222, 0.09835968166589737, 0.07768053561449051, -0.09155005216598511, -0.03441658243536949]
PLACE (POSITION)	[-0.09758608788251877, -0.10244905203580856, 0.09372089803218842, -0.12983326613903046, -0.0792204737663269, 0.08369245380163193, -0.08595839142799377, 0.09651290625333786, -0.11119626462459564, 0.08709476888179779, 0.09658977389335632, -0.0939808264374733, -0.09377716481685638, 0.1033036932349205, 0.07703202962875366, -0.08928423374891281, -0.08819699287414551, 0.07508563250303268, -0.0988108441233635, -0.07598326355218887, -0.08556251972913742, 0.08821392059326172, -0.06143425405025482, -0.08880100399255753, 0.09518793225288391, 0.13058559596538544, -0.10462344437837601, 0.0931670293211937, 0.08763958513736725, -0.08884227275848389, -0.04796645790338516, 0.08430518954992294, 0.07752327620983124, 0.09031868726015091, -0.07845470309257507, 0.09158419072628021, -0.08147361129522324, -0.016534246504306793, 0.10105938464403152, 0.12375164031982422, -0.07848624140024185, 0.09203062951564789, -0.08942942321300507, 0.07989156991243362, 0.13969576358795166, 0.05288266763091087, 0.07505796104669571, -0.057615727186203, -0.08130068331956863, -0.09273464977741241, 0.0693797618150711, 0.07962492108345032, -0.09538055211305618, -0.08404646068811417, -0.042711276561021805, -0.08741427212953568, 0.08726132661104202, -0.09744570404291153, -0.09607727825641632, 0.05892670899629593, 0.08758122473955154, 0.0851539820432663, -0.1001814529299736, 0.07823123037815094, 0.08393561840057373, -0.0806700810790062, -0.10500411689281464, -0.08108820021152496, -0.052838459610939026, 0.11176104843616486, 0.09629896283149719, 0.08890391886234283, 0.08445917814970016, -0.12406373769044876, 0.13839420676231384, -0.08968605101108551, -0.05130116641521454, 0.08718249946832657, 0.08436194062232971, 0.06507689505815506, 0.09845629334449768, -0.09026618301868439, -0.08486098796129227, 0.10389530658721924, 0.08129610866308212, -0.015650233253836632, 0.107672780752182, -0.08430355042219162, 0.08404708653688431, -0.0832129418849945, 0.09405545890331268, 0.08398875594139099, -0.06634081900119781, 0.08482008427381516, 0.09035961329936981, 0.08952262997627258, -0.0893390104174614, -0.08809781819581985, 0.08553440868854523, -0.08471429347991943, 0.08964669704437256, -0.08726656436920166, -0.08220317214727402, -0.15591807663440704, -0.151659294962883, 0.08566935360431671, 0.10223519802093506, -0.08114271610975266, -0.07737112045288086, -0.058828987181186676, 0.05004630982875824, -0.09162027388811111, -0.09372138231992722, 0.09072335809469223, 0.09162703901529312, 0.014026934280991554, 0.08535466343164444, 0.09522569924592972, -0.05567208305001259, -0.11579807847738266, 0.08392911404371262, 0.07422864437103271, -0.09085747599601746, -0.07053638249635696, 0.07850274443626404, 0.10367974638938904, -0.09179770946502686, -0.08205714821815491]
