WORLD	[-0.028627216815948486, 0.3307987451553345, -0.12816643714904785, -0.1111559122800827, -0.043812841176986694, -0.20472991466522217, -0.4473063349723816, 0.3423566520214081, 0.3620116114616394, -0.0992150604724884, -0.242802694439888, 0.08779233694076538, 0.19659125804901123, 0.12319716811180115, 0.27911895513534546, -0.2541324198246002, -0.07187700271606445, -0.029305756092071533, -0.12479877471923828, 0.055353954434394836, -0.05580592155456543, 0.02469336986541748, -0.044125378131866455, -0.03504475951194763, -0.025198757648468018, -0.14788848161697388, -0.15209044516086578, 0.26276469230651855, 0.1106300950050354, 0.08841747045516968, -0.1922416388988495, -0.11977358162403107, 0.32469436526298523, 0.12163831293582916, 0.062111079692840576, -0.17563870549201965, 0.15291911363601685, -0.01858101785182953, 0.08226412534713745, -0.08533629775047302, -0.04872719943523407, -0.35832807421684265, 0.2667202651500702, -0.17814277112483978, 0.05345708131790161, 0.03500017523765564, -0.21611717343330383, -0.010380730032920837, -0.07452598214149475, -0.21332323551177979, -0.27765724062919617, 0.223626971244812, -0.12887099385261536, 0.18349787592887878, 0.2629149556159973, -0.5385288000106812, -0.15831106901168823, -0.19075274467468262, 0.34574103355407715, -0.2529867887496948, -0.12997126579284668, 0.031133830547332764, 0.1943877935409546, -0.20655396580696106, 0.10728644579648972, -0.038982510566711426, -0.3602697551250458, 0.29668086767196655, 0.09020471572875977, 0.051523447036743164, 0.20851756632328033, 0.21105435490608215, -0.1162942498922348, 0.3112723231315613, 0.014715224504470825, 0.08497655391693115, 0.03325429558753967, -0.27064579725265503, 0.19189241528511047, -0.04866036772727966, -0.08533918857574463, 0.08314965665340424, -0.1400834321975708, -0.00621408224105835, -0.11873951554298401, -0.019770503044128418, 0.002822399139404297, -0.14502327144145966, 0.14625142514705658, -0.04508930444717407, -0.14282670617103577, 0.026502490043640137, -0.09663194417953491, -0.3191533088684082, -0.07029497623443604, -0.016734808683395386, -0.015974581241607666, 0.21610188484191895, 0.10283854603767395, 0.06733208894729614, -0.19066780805587769, 0.2805384695529938, -0.07463651895523071, -0.18576383590698242, 0.0847444236278534, -0.11239749193191528, -0.05062338709831238, 0.2234821915626526, 0.3309217691421509, -0.16796845197677612, 0.2809758186340332, 0.08800472319126129, 0.03543233871459961, -0.06523250788450241, -0.15896743535995483, 0.07047274708747864, -0.09715993702411652, -0.12503710389137268, -0.13908199965953827, 0.002428397536277771, -0.16527119278907776, 0.17562410235404968, 0.0027455687522888184, -0.0029144585132598877, -0.1478457897901535, 0.00348818302154541, 0.05304525047540665, -0.05881702899932861]
LAND	[-0.0114869624376297, 0.3316407799720764, -0.1129920482635498, -0.16595175862312317, -0.21635481715202332, -0.3487234115600586, -0.40361952781677246, 0.37398871779441833, 0.2738054394721985, -0.22025081515312195, -0.30415964126586914, -0.026370614767074585, 0.49024397134780884, 0.053208351135253906, 0.27191272377967834, -0.25805366039276123, 0.04813601076602936, -0.12666115164756775, -0.12025299668312073, -0.11475847661495209, -0.18606194853782654, 0.19914758205413818, -0.07450681924819946, -0.0579485148191452, 0.06242787837982178, -0.04004019498825073, -0.2806951403617859, 0.32721319794654846, -0.07693785429000854, 0.12803980708122253, -0.3634868562221527, 0.005631014704704285, 0.2833026647567749, 0.06834736466407776, 0.04661935567855835, -0.2577533721923828, 0.26297852396965027, -0.057507120072841644, 0.02710607647895813, -0.20451730489730835, 0.023470759391784668, -0.5076611638069153, 0.3788776695728302, -0.34536612033843994, 0.009652853012084961, 0.07067334651947021, -0.2677457630634308, -0.018737390637397766, 0.20313525199890137, -0.13235652446746826, -0.07822686433792114, 0.20928305387496948, -0.018166422843933105, 0.2954008877277374, 0.23704937100410461, -0.4308241605758667, -0.032320886850357056, -0.15882740914821625, 0.41264909505844116, -0.22304922342300415, -0.13864488899707794, 0.2313176989555359, 0.06688618659973145, -0.18308818340301514, 0.033911049365997314, -0.15497590601444244, -0.21048550307750702, 0.3948560655117035, 0.07065477967262268, -0.10697177052497864, 0.20060715079307556, 0.1610018014907837, -0.25936198234558105, 0.4390731453895569, -0.045246511697769165, 0.04198727011680603, 0.056213900446891785, -0.07459484040737152, 0.2128279209136963, -0.052425816655159, -0.05415821075439453, 0.10098841786384583, -0.35961878299713135, -0.055090248584747314, -0.1357581913471222, -0.22191214561462402, -0.000525355339050293, -0.12412655353546143, 0.2645830512046814, -0.38519924879074097, -0.429828405380249, 0.12480795383453369, -0.08925631642341614, -0.5413643717765808, -0.11924824118614197, 0.03207886219024658, -0.055572062730789185, 0.4707285165786743, 0.24717509746551514, -0.0215894877910614, -0.3036741018295288, 0.41866737604141235, -0.010396093130111694, 0.014065206050872803, 0.05867409706115723, 0.010951817035675049, -0.36286771297454834, 0.0966864600777626, 0.3059837818145752, -0.060530900955200195, 0.43753910064697266, 0.19492848217487335, -0.07568860054016113, 0.028149902820587158, -0.16806185245513916, -0.006675928831100464, -0.26355791091918945, 0.07503876090049744, -0.430508017539978, -0.0006202906370162964, -0.059952110052108765, 0.32022592425346375, -0.3021199107170105, 0.15619611740112305, -0.1263844072818756, -0.07243388891220093, 0.03015410155057907, -0.056716859340667725]
EARTH (SOIL)	[-0.09841059148311615, 0.33618032932281494, -0.3154315948486328, -0.03771805763244629, -0.06230121850967407, -0.23344182968139648, -0.4040350317955017, 0.33392244577407837, 0.320762038230896, -0.12429319322109222, -0.26366162300109863, -0.027996838092803955, 0.40294647216796875, -0.2098834365606308, 0.23160408437252045, -0.1633223444223404, 0.041007786989212036, 0.1391216516494751, -0.18968966603279114, -0.18102727830410004, 0.011366575956344604, 0.21054965257644653, -0.11556410044431686, -0.04420558363199234, 0.04906894266605377, -0.13414841890335083, -0.3090279698371887, 0.451974093914032, 0.09288859367370605, 0.0008105039596557617, -0.12009191513061523, -0.005349025130271912, 0.2477811723947525, -0.0886736512184143, 0.1329846978187561, -0.2193145602941513, 0.3340805172920227, -0.040478408336639404, 0.13675370812416077, -0.15946438908576965, -0.10185158252716064, -0.538081705570221, 0.1649661362171173, -0.33206427097320557, -0.04824003577232361, -0.002120479941368103, -0.21147209405899048, 0.20783160626888275, -0.05110877752304077, -0.16597583889961243, -0.21996837854385376, 0.24458980560302734, -0.012127161026000977, 0.2929556965827942, 0.19140702486038208, -0.7175428867340088, -0.03672191500663757, -0.007109105587005615, 0.28530627489089966, -0.2908470630645752, -0.2871076762676239, -0.0578409880399704, 0.3524091839790344, -0.17925021052360535, 0.08207865059375763, -0.17214582860469818, -0.23020045459270477, 0.43096405267715454, -0.16503024101257324, -0.16342338919639587, 0.14247047901153564, 0.2908569276332855, -0.40763312578201294, 0.4786145091056824, 0.10340940952301025, -0.16875165700912476, 0.12869003415107727, -0.2449469417333603, 0.2700069546699524, -0.09328818321228027, -0.09127503633499146, -0.011409208178520203, -0.3356081247329712, 0.07014155387878418, -0.10610145330429077, 0.11103010177612305, 0.0631335973739624, -0.23598363995552063, 0.12718617916107178, -0.1650875210762024, -0.2522813677787781, 0.12201851606369019, -0.04784344136714935, -0.2672523260116577, 0.005762696266174316, 0.019146323204040527, 0.07368728518486023, 0.12010848522186279, 0.340750515460968, 0.012431055307388306, -0.04638025164604187, 0.5541380047798157, -0.08094213902950287, 0.035240113735198975, 0.08296513557434082, -0.05983531475067139, -0.2399701178073883, 0.17732706665992737, 0.29611289501190186, -0.08310623466968536, 0.38023048639297485, 0.35271817445755005, 0.1435534954071045, 0.09073442220687866, 0.06022000312805176, -0.033657729625701904, -0.18318887054920197, -0.29241305589675903, -0.21847698092460632, 0.13767409324645996, -0.15244807302951813, 0.23638898134231567, -0.20858299732208252, 0.18313749134540558, -0.15307433903217316, -0.1433965563774109, 0.01762251928448677, -0.0026614367961883545]
CLAY	[-0.09632548689842224, 0.31640928983688354, 0.10848605632781982, -0.220653235912323, 0.07015877962112427, -0.13840770721435547, -0.5738667249679565, 0.5462908744812012, 0.3273196518421173, -0.20296645164489746, -0.3028509020805359, -0.03303629159927368, -0.07722979784011841, -0.05150286853313446, 0.3642650842666626, 0.3808472752571106, -0.09251660108566284, 0.31283918023109436, -0.10488193482160568, 0.061253130435943604, 0.21440723538398743, -0.16482558846473694, 0.09805752336978912, -0.14315053820610046, 0.041755013167858124, 0.13227581977844238, -0.33772796392440796, 0.2336910367012024, 0.04124516248703003, 0.04502253979444504, 0.18719157576560974, -0.07431475818157196, 0.4381905794143677, 0.1579647958278656, 0.2629871964454651, 0.20510753989219666, 0.11453935503959656, -0.1396569013595581, 0.1917685568332672, -0.0683138370513916, 0.2944408059120178, -0.4270875155925751, 0.045623622834682465, -0.1210756003856659, 0.0744679719209671, -0.006737306714057922, -0.21445855498313904, 0.10950708389282227, 0.05838412046432495, 0.1212569922208786, -0.14284133911132812, 0.15784019231796265, -0.15812455117702484, 0.20586754381656647, 0.3938423991203308, -0.003298938274383545, -0.1781691163778305, -0.09896723926067352, 0.34229570627212524, -0.3428894579410553, -0.25057584047317505, 0.07203778624534607, 0.3531281650066376, -0.3931284546852112, 0.08427596837282181, -0.11338281631469727, -0.39808782935142517, 0.1341676563024521, 0.11339396238327026, -0.17915129661560059, 0.3304716944694519, 0.10225129127502441, -0.680090069770813, 0.2227320671081543, -0.18874210119247437, 0.18900436162948608, -0.0009017288684844971, -0.06113898754119873, 0.19036170840263367, -0.04815146327018738, 0.14602217078208923, -0.12719467282295227, -0.06342881917953491, 0.13356392085552216, 0.033461712300777435, 0.14674079418182373, -0.32012253999710083, 0.046486228704452515, -0.005682095885276794, -0.506814181804657, -0.17508268356323242, -0.028831884264945984, 0.17486515641212463, -0.08334970474243164, -0.1372356116771698, 0.17740163207054138, 0.4332019090652466, -0.20438039302825928, 0.39532655477523804, 0.11481021344661713, 0.04795803129673004, 0.46897637844085693, 0.19452840089797974, -0.25860172510147095, 0.17183172702789307, 0.05460953712463379, -0.4147584140300751, 0.5552404522895813, 0.2303088754415512, -0.20226210355758667, 0.2973055839538574, 0.48549890518188477, 0.3105546236038208, 0.33794572949409485, -0.08610779047012329, 0.02745698392391205, -0.10337145626544952, 0.051811933517456055, 0.28288534283638, 0.18991142511367798, -0.02667754888534546, 0.08939666301012039, -0.10743381828069687, 0.39893317222595215, -0.3247842788696289, -0.08764171600341797, 0.0029680579900741577, -0.13356046378612518]
MAINLAND	[-0.059797853231430054, 0.35731059312820435, 0.03495067358016968, -0.10564786195755005, -0.13112688064575195, -0.16779085993766785, -0.5386549234390259, 0.3826294243335724, 0.38553470373153687, 0.029683738946914673, -0.14110860228538513, 0.01858457177877426, -0.006572693586349487, -0.002655729651451111, 0.36921513080596924, -0.03535088896751404, -0.1555946171283722, -0.012301474809646606, -0.045624881982803345, 0.0662468671798706, -0.07766470313072205, -0.039821088314056396, 0.10133494436740875, -0.07795779407024384, -0.047279030084609985, 0.0035926103591918945, -0.06585189700126648, 0.11574392020702362, 0.07305344939231873, 0.05814819782972336, 0.09747344255447388, -0.03943376988172531, 0.40429818630218506, 0.03293861448764801, 0.08345010876655579, 0.08166617155075073, -0.02206796407699585, -0.03839074447751045, 0.03705577552318573, -0.06696945428848267, -0.10085756331682205, -0.27077406644821167, -0.0008399263024330139, -0.027669861912727356, 0.03364186733961105, 0.20734891295433044, -0.27827683091163635, -0.14514575898647308, 0.0032435059547424316, -0.10304524749517441, -0.17047899961471558, 0.06515568494796753, 0.02657441794872284, -0.04103699326515198, 0.10688983649015427, -0.2850961983203888, -0.18545038998126984, -0.2658554017543793, 0.38514652848243713, -0.14502136409282684, -0.12802715599536896, -0.0022072196006774902, 0.12006497383117676, -0.3615568280220032, 0.11918803304433823, -0.03495776653289795, -0.3246362805366516, 0.1424940973520279, 0.17008614540100098, 0.07173681259155273, 0.32017838954925537, 0.22509419918060303, -0.09811456501483917, 0.25281408429145813, -0.02673622965812683, 0.056307971477508545, 0.10697221755981445, -0.1841593086719513, 0.0871560275554657, 0.16930654644966125, 0.06456439197063446, 0.03800579905509949, 0.02186715602874756, 0.04325932264328003, -0.05431258678436279, -0.02524477243423462, 0.022842109203338623, -0.037430137395858765, -0.09437903761863708, 0.01399838924407959, -0.13556084036827087, -0.019080549478530884, -0.12683570384979248, 0.09450793266296387, -0.1397368311882019, 0.10723412036895752, 0.05692961812019348, 0.10918205976486206, 0.04311150312423706, 0.041774094104766846, 0.0020585060119628906, 0.14221401512622833, 0.004548080265522003, -0.16038066148757935, -0.07339596748352051, -0.10723775625228882, 0.057263463735580444, 0.22729234397411346, 0.259318083524704, -0.14813083410263062, 0.21727719902992249, 0.18792665004730225, -0.036962926387786865, 0.10219597816467285, -0.0026218295097351074, 0.04172760248184204, 0.07782995700836182, -0.1631920337677002, -0.04755036532878876, -0.06477087736129761, -0.2253657728433609, 0.020600922405719757, 0.017767004668712616, -0.020458877086639404, -0.08183510601520538, 0.024211525917053223, 0.16220270097255707, -0.05001983046531677]
SKY	[-0.2910082936286926, 0.371830552816391, 0.3765418529510498, 0.012093648314476013, 0.16029757261276245, -0.3291281759738922, -0.6720455884933472, 0.4180130660533905, 0.4649079442024231, -0.4295281767845154, -0.06344930827617645, 0.10417440533638, -0.4356968402862549, 0.0821724385023117, 0.426256000995636, -0.1661519855260849, -0.19381994009017944, 0.19290514290332794, 0.06577944755554199, 0.19327282905578613, 0.8722437024116516, -0.10472308099269867, 0.04059673845767975, -0.1980719268321991, -0.4708011746406555, -0.11476552486419678, -0.07526999711990356, 0.5576652884483337, -0.014225602149963379, 0.22776544094085693, 0.03951273858547211, -0.08922046422958374, 0.6226697564125061, 0.24459189176559448, -0.10901951789855957, -0.2478860318660736, 0.01668238639831543, -0.13222560286521912, 0.08488030731678009, -0.06261241436004639, 0.055075228214263916, -0.13042914867401123, -0.0646071806550026, -0.41353243589401245, -0.2530295252799988, -0.07525217533111572, -0.3467482924461365, 0.02411811053752899, -0.4522016942501068, -0.02211610972881317, -0.1717393696308136, 0.35420796275138855, 0.06728154420852661, 0.03741955757141113, -0.19275164604187012, -0.28260383009910583, -0.21003766357898712, -0.36500388383865356, 0.26035812497138977, -0.11587193608283997, -0.1900164633989334, 0.1719345599412918, -0.7248513698577881, -0.25188493728637695, 0.24297775328159332, 0.19537945091724396, -0.5319268703460693, -0.04181450605392456, -0.27583879232406616, 0.059830233454704285, 0.2773898243904114, 0.4687460660934448, -0.05374167859554291, 0.07313327491283417, 0.266608327627182, -0.0033063888549804688, 0.25017210841178894, 0.0052886903285980225, -0.23118054866790771, 0.012821197509765625, 0.292309045791626, -0.09980298578739166, 0.17644602060317993, 0.10783103108406067, 0.08258998394012451, -0.15071135759353638, -0.3965357542037964, -0.07035437226295471, -0.20628578960895538, -0.03873378038406372, 0.29639628529548645, -0.3608563542366028, -0.31510117650032043, 0.009767234325408936, -0.2491759955883026, -0.16671045124530792, 0.3482021689414978, 0.3710401654243469, -0.1784931719303131, 0.0770878940820694, -0.19423311948776245, 0.4688494801521301, 0.06949023902416229, 0.029105305671691895, 0.156760573387146, -0.02860143780708313, -0.058105260133743286, 0.20563067495822906, 0.323241263628006, 0.09153562784194946, -0.09770077466964722, -0.11488503217697144, 0.023204609751701355, 0.15551534295082092, -0.04057922959327698, -0.11720883846282959, 0.14148180186748505, -0.17622177302837372, 0.27560847997665405, 0.16704833507537842, -0.14753276109695435, 0.2430253028869629, 0.23566217720508575, -0.11106553673744202, -0.047904133796691895, 0.11035197973251343, 0.23666179180145264, -0.09499146044254303]
LIGHT (RADIATION)	[-0.03258287161588669, 0.34279489517211914, -0.15105506777763367, -0.17707666754722595, -0.19455143809318542, -0.27927449345588684, -0.37453246116638184, 0.2499486804008484, 0.42860299348831177, 0.13880249857902527, -0.25524675846099854, 0.12498973309993744, -0.1492934226989746, 0.430794358253479, 0.31762635707855225, -0.21427343785762787, -0.13491281867027283, -0.052499353885650635, -0.027480989694595337, 0.12901103496551514, -0.6039108037948608, 0.020215719938278198, 0.02509838342666626, -0.18859992921352386, -0.007259786128997803, 0.1902419924736023, -0.28648361563682556, 0.13307461142539978, 0.07154178619384766, 0.21770928800106049, 0.023173779249191284, 0.05350156128406525, 0.19440078735351562, 0.15268206596374512, -0.023504018783569336, 0.14678367972373962, 0.0939168632030487, -0.10514111816883087, 0.1614658236503601, -0.047387003898620605, -0.07775244116783142, -0.14239996671676636, -0.23044098913669586, 0.11223691701889038, 0.13390764594078064, -0.2714695930480957, -0.03371410071849823, -0.3829248249530792, -0.23755759000778198, -0.10343712568283081, -0.08690068125724792, 0.16431397199630737, -0.3656559884548187, -0.15548250079154968, 0.05069887638092041, -0.014600023627281189, -0.09206604957580566, -0.31735092401504517, 0.4026811718940735, -0.443185418844223, -0.22044368088245392, -0.3081570267677307, 0.27940672636032104, -0.2834092974662781, 0.29093343019485474, 0.10457489639520645, -0.6662733554840088, -0.2998536229133606, 0.13610681891441345, -0.019241511821746826, 0.3137388825416565, 0.20260046422481537, 0.03193916380405426, -0.17793378233909607, 0.11045600473880768, 0.16052645444869995, -0.029212623834609985, -0.21503663063049316, -0.029069580137729645, 0.08261239528656006, -0.2713220417499542, 0.03267395496368408, 0.15466949343681335, 0.26774710416793823, -0.2208085060119629, -0.2297523021697998, 0.04938174784183502, 0.006051450967788696, 0.13871058821678162, -0.003991559147834778, -0.011613160371780396, 0.1513793170452118, -0.640424370765686, -0.17000538110733032, -0.059299036860466, -0.15639981627464294, 0.08380870521068573, 0.4122536778450012, -0.22637706995010376, -0.006001710891723633, 0.02637341618537903, -0.04638555645942688, -0.2544492483139038, -0.10171228647232056, 0.20746606588363647, 0.06331214308738708, 0.40347421169281006, 0.23703619837760925, 0.30547040700912476, -0.40285640954971313, 0.3042585849761963, 0.22851426899433136, 0.2980099022388458, -0.0992092490196228, 0.03154177963733673, -0.015432476997375488, 0.3951408863067627, 0.14152565598487854, 0.2280055731534958, 0.02678278088569641, -0.07933411002159119, 0.0018362998962402344, 0.13572043180465698, 0.017825812101364136, -0.3202667832374573, 0.15831086039543152, 0.04151250422000885, -0.08833044767379761]
WEATHER	[-0.17350853979587555, 0.41053318977355957, 0.08636534214019775, -0.08616741001605988, 0.43312251567840576, -0.2926793694496155, -0.6383079290390015, 0.42987823486328125, 0.43685171008110046, -0.14280685782432556, -0.07048335671424866, 0.08872267603874207, -0.020310133695602417, 0.3887667655944824, 0.29899269342422485, -0.22250819206237793, -0.1986987590789795, 0.15606942772865295, -0.002356812357902527, -0.0007851719856262207, 0.08024752140045166, 0.0068053752183914185, -0.046654269099235535, -0.2549149990081787, -0.027838528156280518, 0.15861213207244873, -0.1517258584499359, 0.35487568378448486, 0.1439051628112793, 0.14937958121299744, 0.035885512828826904, -0.24874070286750793, 0.4445355534553528, 0.31018921732902527, -0.03520071506500244, 0.14884653687477112, -0.09766082465648651, -0.03461794555187225, -0.010828807950019836, -0.01668444275856018, -0.022099800407886505, -0.26915469765663147, -0.07893472909927368, -0.04860107600688934, 0.05165022611618042, -0.19673921167850494, -0.42824026942253113, -0.29804253578186035, -0.3047196865081787, -0.02301524579524994, -0.12105540186166763, 0.12720006704330444, -0.32724472880363464, 0.020280659198760986, -0.19991695880889893, -0.06516551971435547, -0.2271600365638733, -0.2152108997106552, 0.2650121748447418, -0.3302692472934723, 0.05856570601463318, -0.06665991246700287, -0.0540844202041626, -0.16788288950920105, 0.31606805324554443, -0.03982710838317871, -0.6697875261306763, -0.1818152666091919, 0.16221964359283447, -0.24486462771892548, 0.5046137571334839, 0.21520918607711792, -0.12550216913223267, 0.039909571409225464, 0.30174148082733154, 0.034763216972351074, 0.12452161312103271, -0.22246132791042328, -0.04531043767929077, -0.14865130186080933, -0.021106690168380737, 0.06511092185974121, -0.09529519081115723, -0.09759321808815002, -0.11331707239151001, -0.2667509913444519, -0.1273128092288971, -0.15873533487319946, -0.07676879316568375, 0.3099365532398224, -0.06579455733299255, 0.026767969131469727, -0.5159934163093567, -0.3110162019729614, -0.05638498067855835, 0.12428052723407745, 0.2852506637573242, 0.20979279279708862, -0.16611842811107635, 0.056776389479637146, -0.03700143098831177, 0.09869930148124695, -0.08951102197170258, -0.08216097950935364, 0.07984080910682678, -0.3706030249595642, 0.26277029514312744, 0.17569531500339508, 0.2721000015735626, -0.04930993914604187, 0.22515177726745605, -0.11173999309539795, 0.05585682392120361, 0.06528511643409729, -0.07779926061630249, 0.013672292232513428, 0.25482428073883057, -0.10833290219306946, 0.10949897766113281, -0.1034744381904602, -0.08351725339889526, 0.24648404121398926, 0.006790876388549805, 0.22024452686309814, -0.08734119683504105, 0.06039708852767944, 0.25743168592453003, -0.1250249594449997]
FLOOR	[-0.038686707615852356, 0.37882500886917114, -0.05319678783416748, -0.3264032006263733, -0.07302713394165039, -0.2158690094947815, -0.5749496221542358, 0.5404216051101685, 0.3344976305961609, -0.1254948079586029, -0.2061586230993271, -0.1061035543680191, 0.21495962142944336, 0.13108550012111664, 0.2998330891132355, -0.09778976440429688, -0.09271800518035889, -0.022617310285568237, -0.06475915014743805, -0.01688171923160553, -0.050949156284332275, 0.031182944774627686, -0.06947538256645203, -0.08175332844257355, 0.05053749680519104, -0.03338158130645752, -0.2626796364784241, 0.3347618877887726, -0.02107834815979004, 0.04939689487218857, -0.18260350823402405, -0.05100959539413452, 0.40020859241485596, 0.08169913291931152, 0.0006638169288635254, -0.18769758939743042, 0.16637413203716278, 0.1593897044658661, 0.055973634123802185, -0.23261839151382446, 0.08415284752845764, -0.3521873950958252, 0.269451767206192, -0.32267794013023376, 0.14407503604888916, -0.006855696439743042, -0.22135937213897705, 0.1723828911781311, 0.14693158864974976, -0.19774363934993744, -0.12785376608371735, 0.24831527471542358, 0.04164871573448181, 0.26749521493911743, 0.15291979908943176, -0.41892310976982117, -0.22482846677303314, -0.26890093088150024, 0.3900345265865326, -0.13818317651748657, -0.2623058259487152, 0.16782429814338684, 0.2617136836051941, -0.1909942775964737, -0.016722969710826874, -0.11198728531599045, -0.4297107756137848, 0.30178409814834595, 0.14655447006225586, -0.04129728674888611, 0.29904505610466003, 0.13503140211105347, -0.28475844860076904, 0.3117191791534424, -0.06290704011917114, 0.08153125643730164, -0.06064517796039581, -0.15159550309181213, 0.1882317066192627, -0.05725793540477753, 0.029116541147232056, -0.03466823697090149, -0.12073254585266113, -0.0669216513633728, -0.14888045191764832, 0.011751174926757812, -0.36260223388671875, -0.13486622273921967, 0.09452643990516663, -0.2362896203994751, -0.1385221779346466, 0.017590641975402832, 0.09587264060974121, -0.1351892352104187, -0.10737408697605133, 0.01423075795173645, 0.08888459205627441, 0.1449127197265625, 0.37370333075523376, 0.06709307432174683, -0.042794108390808105, 0.418409526348114, -0.055953249335289, -0.02768123149871826, 0.1164979636669159, -0.0005119442939758301, -0.297103613615036, 0.30953097343444824, 0.24322697520256042, -0.2308274656534195, 0.41796553134918213, 0.1327562928199768, 0.15707015991210938, 0.17405115067958832, -0.26657381653785706, 0.016315802931785583, -0.15377160906791687, -0.05877712368965149, -0.1136559247970581, 0.05027826130390167, -0.17442312836647034, 0.18659280240535736, -0.04711845517158508, 0.2264443337917328, -0.2966829836368561, -0.0431884229183197, 0.10833579301834106, -0.038864314556121826]
PLACE (POSITION)	[-0.11245790868997574, 0.4608362317085266, 0.07711005210876465, -0.08743734657764435, -0.13305360078811646, -0.17573192715644836, -0.44784802198410034, 0.29570308327674866, 0.3920644521713257, -0.11600448936223984, 0.044617533683776855, 0.20932741463184357, 0.011949434876441956, 0.04880887269973755, 0.3005940914154053, 0.028601020574569702, -0.12490278482437134, 0.009655594825744629, -0.01993996649980545, -0.06892681121826172, -0.14497995376586914, 0.012068033218383789, 0.06927204132080078, 0.025494396686553955, 0.08760851621627808, 0.17899379134178162, -0.11467120051383972, 0.12378057837486267, 0.07528737187385559, 0.11981386691331863, 0.02251368761062622, -0.14232425391674042, 0.43465662002563477, 0.05619731545448303, 0.2792656421661377, 0.03215023875236511, 0.018234260380268097, -0.09566301852464676, -0.030786246061325073, -0.1439889371395111, -0.0567425936460495, -0.24335697293281555, 0.03309617191553116, -0.06432448327541351, 0.0196642205119133, 0.11791384220123291, -0.4206603467464447, -0.14383278787136078, -0.04759693145751953, -0.088438019156456, -0.14621438086032867, 0.09140387177467346, 0.10642334818840027, -0.06960128247737885, -0.18720149993896484, -0.29308170080184937, -0.21959422528743744, -0.31293249130249023, 0.536270022392273, -0.19302135705947876, -0.07366971671581268, -0.04157721996307373, 0.09378194808959961, -0.32563289999961853, 0.19163672626018524, 0.044920921325683594, -0.3665924668312073, 0.03216621279716492, 0.10292083024978638, -0.07443585991859436, 0.2648640275001526, 0.15446919202804565, -0.018713057041168213, 0.31817418336868286, -0.014626026153564453, 0.1421705186367035, 0.1275966316461563, -0.27080821990966797, 0.07945345342159271, 0.06326755881309509, -0.09801989793777466, -0.010356992483139038, -0.005233943462371826, -0.06004267930984497, -0.17601478099822998, 0.036161720752716064, 0.12359476089477539, 0.052729785442352295, -0.23040266335010529, 0.05867767333984375, -0.024012893438339233, 0.0861741304397583, -0.2088325023651123, 0.011463642120361328, -0.10323911905288696, 0.08636200428009033, 0.1454242765903473, 0.18889155983924866, -0.011440500617027283, -0.004780858755111694, 0.032577358186244965, -0.06707198917865753, -0.008615285158157349, -0.13001829385757446, -0.06809517741203308, -0.04697564244270325, 0.04824760556221008, 0.20462822914123535, 0.34162700176239014, -0.27738043665885925, 0.35771650075912476, 0.1350497305393219, -0.01567181944847107, 0.164667546749115, 0.13292856514453888, 0.06498359143733978, 0.12858472764492035, -0.1608402132987976, 0.10370716452598572, -0.003755137324333191, -0.19004395604133606, 0.0953361988067627, 0.05753645300865173, 0.11265823245048523, -0.11936992406845093, -0.0022529959678649902, 0.10070361196994781, -0.0936812162399292]
