WORLD	[-0.616307258605957, -0.1351015269756317, 1.0119773149490356, -0.2799925208091736, 1.836033582687378, 0.15589216351509094, 0.05364036560058594, 0.5703634023666382, -0.27134227752685547, -0.4659941792488098, -1.6702377796173096, 3.1488983631134033, 0.4392257332801819, 0.33843791484832764, 0.4332965016365051, 0.8193125128746033, 1.4967031478881836, 0.8121351003646851, -0.42081218957901, 1.0852124691009521, -0.5427865982055664, -0.6663249135017395, -0.822394847869873, 1.055702805519104, -0.5921907424926758, -0.28494229912757874, 0.030874326825141907, 0.07864731550216675, 0.24817544221878052, 0.6721128225326538, -0.483966201543808, -0.3339546322822571, -0.7208203077316284, 1.0216045379638672, 0.41103002429008484, 0.07623866200447083, -0.4956068992614746, -0.5251396894454956, 0.3973920941352844, 0.09649470448493958, 1.145694613456726, -0.7648653984069824, -0.8929953575134277, -0.18152615427970886, -0.06638917326927185, 2.036912441253662, -1.3491551876068115, -1.2901064157485962, -0.7489851713180542, -0.31657636165618896, -0.5682209730148315, -0.4550400972366333, 0.2859540581703186, -0.7161506414413452, 0.6193873882293701, 1.0019763708114624, 0.03281751275062561, -1.079552412033081, 0.22208085656166077, -0.20447969436645508, 0.4808313548564911, 0.28359562158584595, -0.38628658652305603, -0.10879248380661011, -1.0905436277389526, 0.7455294728279114, 0.10040611028671265, -0.14154189825057983, -0.5876756906509399, -0.28886494040489197, -0.3692999482154846, 0.5767991542816162, 0.6926925182342529, 0.48640671372413635, -0.96816086769104, 0.9479901790618896, 0.388332337141037, -0.8634384870529175, -0.7774085402488708, 1.132129192352295, -1.09050452709198, 0.3926962912082672, 0.9516057968139648, 0.11006221175193787, -0.3767744302749634, -0.7643227577209473, 0.16762328147888184, -0.4384843409061432, -0.14765948057174683, 0.6138869524002075, -0.5790620446205139, 0.8838608264923096, -0.8881053924560547, 0.3618077039718628, -0.7756103277206421, -0.5990427732467651, 1.6301116943359375, -0.03269171714782715, 0.6526694893836975, 0.7044833898544312, -0.8505784273147583, -1.1832407712936401, -0.19462329149246216, 0.3779056668281555, -0.2515971064567566, -0.23900842666625977, -0.03693590313196182, 0.4050140082836151, -0.05445648729801178, 1.7413796186447144, -0.16338872909545898, 1.3839304447174072, 0.4890373647212982, -0.6845362186431885, 0.17717817425727844, -0.903052568435669, -0.2611900568008423, 0.19040325284004211, -0.2601645886898041, -0.12391245365142822, -0.1391693651676178, 0.06578889489173889, -0.751015305519104, 0.933026909828186, -0.6489191055297852, 0.23292215168476105, 0.2900155782699585, -0.42638546228408813]
LAND	[-0.2946009039878845, -0.014761418104171753, 1.491600751876831, -0.2689972519874573, 2.1244378089904785, -0.6777399182319641, 0.2588179111480713, 0.24609267711639404, -0.7279130220413208, -1.1229957342147827, -2.213402509689331, 3.3596739768981934, 0.6622530221939087, -0.13108322024345398, 0.18067002296447754, 0.05847106873989105, 1.6015145778656006, 0.8333774209022522, -0.3681527376174927, 1.701949119567871, -0.8487375974655151, -0.5503872632980347, -1.256829023361206, 2.0607316493988037, -0.7610324025154114, -0.621707558631897, -0.13379885256290436, 0.7240042686462402, 0.2095310091972351, 0.811491847038269, 0.18306252360343933, 0.2024371176958084, -0.8452934622764587, 1.1640262603759766, 0.09188888967037201, 0.21492347121238708, -0.2255195677280426, 0.005524873733520508, 0.6114141941070557, 0.7523450255393982, 0.7474267482757568, -0.7138096690177917, -1.5580006837844849, -0.23050519824028015, 0.05182700976729393, 1.5942639112472534, -1.8256735801696777, -0.7894325256347656, -0.9165903925895691, -1.482753038406372, -0.49268266558647156, -0.3578139543533325, 0.06265610456466675, -0.35198140144348145, 0.6999521851539612, 0.2913316488265991, -0.3496507704257965, -0.9269022345542908, 0.11310892552137375, 0.3604929745197296, 0.5643894672393799, -0.10068368911743164, -0.6208661794662476, 0.23043116927146912, -1.7132439613342285, 1.077978491783142, -0.3491353988647461, -0.0029596686363220215, -1.1811022758483887, -0.6350483298301697, -0.47114473581314087, 0.3916195034980774, 1.5196614265441895, 0.8234071731567383, -0.768051266670227, 1.9321203231811523, 0.8855360746383667, -0.03324699401855469, -1.2985572814941406, 1.4098381996154785, -0.8742192983627319, 0.8015109300613403, 0.871185839176178, -0.06768767535686493, 0.18866047263145447, -0.8335951566696167, -0.08183231204748154, -0.3437134325504303, -0.7569992542266846, 0.9775004386901855, -0.8310791254043579, 1.2307764291763306, -0.827548623085022, 0.7746531963348389, -0.5426011085510254, -0.42371630668640137, 1.9349373579025269, -0.7014632821083069, 0.7928105592727661, 0.4785458743572235, -1.258636474609375, -0.8118079900741577, -0.28178542852401733, 0.25674283504486084, -0.42167434096336365, -0.8255010843276978, 0.3133329749107361, 0.673984169960022, 0.13842183351516724, 1.8000516891479492, -0.4407155513763428, 1.0841251611709595, 0.7795200347900391, -1.0833221673965454, 0.4401061534881592, -0.9347749352455139, -0.49903035163879395, -0.22130966186523438, 0.08483093976974487, 0.10015955567359924, -0.26954278349876404, 0.5151177644729614, -1.226823329925537, 1.0141640901565552, -0.08263033628463745, 0.04354846477508545, 0.721763551235199, -0.3979206085205078]
EARTH (SOIL)	[-0.6797336339950562, -0.05679893493652344, 1.6396019458770752, -0.3349621295928955, 1.944231390953064, -0.8438304662704468, 0.2508513331413269, -0.024842143058776855, -0.7065001726150513, -0.8908334374427795, -1.9867424964904785, 3.2790884971618652, 0.8457233905792236, 0.4059830904006958, 0.2296162247657776, 0.3794514536857605, 1.3412728309631348, 1.0334782600402832, -0.2681814432144165, 0.8735371828079224, -0.5910458564758301, -0.5296141505241394, -1.0079323053359985, 1.8375393152236938, -0.7968332767486572, -0.4204655885696411, -0.44714975357055664, 0.8048807978630066, -0.03009583055973053, 0.6864156126976013, -0.17707528173923492, 0.13801506161689758, -0.32837599515914917, 0.7538542747497559, 0.25779980421066284, 0.31482797861099243, -0.5735589265823364, -0.38623300194740295, 0.793156623840332, 0.4423125088214874, 0.8831835985183716, -0.8111632466316223, -0.8734205961227417, 0.06938245892524719, -0.12005691230297089, 1.6940670013427734, -2.162613868713379, -0.8830463290214539, -0.957857608795166, -0.6618649959564209, -0.3282615542411804, 0.023556828498840332, -0.33267462253570557, 0.24606186151504517, 0.6442993879318237, 0.15331871807575226, 0.9742180705070496, -0.15392330288887024, 0.12474706768989563, 0.7317312359809875, 1.0030193328857422, -0.19977980852127075, -0.5849717855453491, 0.20472705364227295, -1.556323766708374, 1.3181391954421997, -0.5039182305335999, 0.8251087069511414, -0.7016614675521851, -0.7792853116989136, -0.10749071836471558, 0.2564506232738495, 1.2634680271148682, 0.6717132925987244, -0.5242745876312256, 1.6733372211456299, 0.7539385557174683, -0.5512627363204956, -1.1717352867126465, 1.5947158336639404, -0.9666893482208252, 1.001072645187378, 0.475869357585907, -0.1785304844379425, 0.12873151898384094, -1.1333951950073242, -0.06420107185840607, -0.4376172721385956, -0.813900351524353, 0.5557746887207031, -0.7321833372116089, 1.5422184467315674, -0.8144475221633911, 0.4077707529067993, -0.5621158480644226, -0.3558283746242523, 1.7181004285812378, 0.016777455806732178, 0.9755661487579346, 0.9332153797149658, -1.2629032135009766, -0.8884997367858887, -0.08944565057754517, 0.8174802660942078, -0.3286402225494385, -0.6494357585906982, 0.49045321345329285, 0.9745023250579834, -0.33752650022506714, 1.7847375869750977, -0.6115540266036987, 1.5225133895874023, 0.8422142267227173, -0.48633790016174316, 0.5926111340522766, -1.035145878791809, -0.5574866533279419, -0.013368383049964905, 0.2522136867046356, 0.45203348994255066, 0.12053003907203674, 0.23144158720970154, -0.7653411626815796, 1.326971173286438, -0.03882569074630737, 0.10981583595275879, 0.6443396806716919, -0.26521486043930054]
CLAY	[-1.8397691249847412, 0.8625490665435791, 0.5089448094367981, -0.2636268734931946, 0.06518468260765076, -0.2997744381427765, 0.40628814697265625, -0.024735748767852783, 0.10991179943084717, 0.09290555119514465, -2.078348398208618, 2.3426365852355957, 0.5271506309509277, 1.2099329233169556, -0.24549485743045807, 0.6137201189994812, 2.6048269271850586, 0.787621259689331, -0.39433473348617554, 0.6329553723335266, 0.15304768085479736, -0.9162997007369995, -0.2516304552555084, 2.920382022857666, -0.6298190951347351, -0.2736198306083679, -0.39260566234588623, 0.41733747720718384, -1.1884419918060303, 0.6646542549133301, -1.562859058380127, 0.32296860218048096, -2.1706583499908447, 0.5840478539466858, -0.09577988088130951, 0.38338354229927063, -0.38395747542381287, -1.0772786140441895, 0.6123523116111755, 0.37615203857421875, 1.3934482336044312, -1.6310327053070068, -1.1899994611740112, 0.19864004850387573, 0.7533653974533081, 1.5131518840789795, -2.0449328422546387, -0.509014904499054, -0.6455616354942322, 0.07467961311340332, -0.9434844851493835, -0.2331240177154541, -0.20253175497055054, 0.522326648235321, 0.8389474749565125, 0.8764609098434448, 1.4550687074661255, -0.7954854369163513, 0.3044426441192627, -0.2870708703994751, 0.9507819414138794, 0.9271630048751831, -0.7979602217674255, -1.0674772262573242, -0.025929272174835205, -0.20396053791046143, 0.6148310899734497, 0.838038980960846, -0.9558113813400269, -0.871562659740448, -0.3877488076686859, 0.5935477018356323, 0.9535853862762451, -0.6850972175598145, -0.9404107332229614, 0.46097248792648315, -0.11981235444545746, -0.5821335911750793, 0.0030590593814849854, 1.0206434726715088, -1.2301228046417236, 0.2390938103199005, 0.3292166590690613, 0.3073541522026062, -0.7258217334747314, -1.3006006479263306, 0.93904048204422, -0.19228456914424896, 0.5046323537826538, 1.113345980644226, -1.293380856513977, 0.5702921748161316, -1.2056515216827393, -0.967414379119873, 0.005089178681373596, -1.0065982341766357, 0.9824905395507812, -0.7081727981567383, -0.10072147846221924, 0.18607696890830994, -0.8238954544067383, -1.4995496273040771, -0.041452765464782715, 1.3513000011444092, -0.5633640289306641, -1.4922711849212646, -0.07624341547489166, 0.8493956923484802, -0.01663091778755188, 0.16256362199783325, 0.2467336654663086, 2.3172597885131836, -0.5265218019485474, 0.308355450630188, 0.2086755633354187, -0.3405493497848511, -1.464532732963562, 0.018164530396461487, -0.07042884826660156, 0.6295576691627502, 0.042080774903297424, -1.0139245986938477, 0.49497121572494507, 0.7973235845565796, -0.5853140354156494, 1.7061736583709717, 0.21624413132667542, 0.31852269172668457]
MAINLAND	[-0.6093810796737671, -0.00803762674331665, 0.6138018369674683, -0.12256503105163574, 0.6309641599655151, 0.45879262685775757, 0.22104021906852722, 0.5398862957954407, 0.15195804834365845, 0.033746182918548584, -1.1070414781570435, 2.478259563446045, 0.14655444025993347, 0.2230687439441681, 0.42538148164749146, 1.120349645614624, 0.8474310040473938, 0.7325559854507446, -0.20531126856803894, 0.03032878041267395, 0.0751679539680481, -0.8156301379203796, -0.9780574440956116, 1.0354254245758057, -0.2776440978050232, 0.03253810107707977, -0.020922735333442688, 0.034492552280426025, 0.15112659335136414, 0.590181291103363, -0.7951403856277466, -0.4598492681980133, -0.9152097702026367, 0.6542601585388184, 0.4787682294845581, -0.15034055709838867, 0.06534358859062195, -1.1260583400726318, 0.5688691139221191, -0.33022308349609375, 0.9051974415779114, -0.07430282235145569, -0.9860718250274658, -0.38713401556015015, 0.17797501385211945, 1.7301669120788574, -0.7479656338691711, -1.4413135051727295, 0.06039607524871826, -0.10614907741546631, -0.44943496584892273, -0.26955944299697876, -0.004395216703414917, -0.41734564304351807, 0.3908979892730713, 1.0300688743591309, 0.09580597281455994, -0.7595112323760986, 0.5848978757858276, -0.33158767223358154, 0.3253735303878784, 0.6030458211898804, -0.5999482870101929, -0.05221056938171387, -0.21415501832962036, 0.5875660181045532, -0.1610700488090515, -0.1818939447402954, -0.3833184242248535, 0.17118805646896362, -0.338283896446228, 0.3557431697845459, -0.05263283848762512, -0.043558552861213684, -1.0692354440689087, 0.5997627973556519, 0.28342461585998535, -0.20398926734924316, -0.6651651859283447, 1.0603597164154053, -0.9695520401000977, 0.1254349946975708, 0.23099610209465027, -0.07493585348129272, -0.7111689448356628, -0.6010759472846985, 0.456531822681427, -0.41516318917274475, 0.18455567955970764, 0.6465417146682739, -1.4775149822235107, 0.31609541177749634, -0.9861955642700195, -0.3496330976486206, -0.5005175471305847, -0.5733852386474609, 1.1076977252960205, -0.16977930068969727, 0.23753303289413452, 0.43286269903182983, -0.7106616497039795, -0.8096777200698853, -0.21814072132110596, 0.5844449400901794, 0.29274821281433105, -0.27286767959594727, -0.0924215316772461, 0.433885395526886, 0.275886207818985, 0.9372230172157288, 0.1686379313468933, 1.1454365253448486, 0.06093466281890869, -0.5975515842437744, 0.013369172811508179, -0.3756856620311737, -0.06608766317367554, 0.5187287330627441, -0.39320945739746094, 0.002177819609642029, -0.22044876217842102, -0.463590532541275, -0.8662542104721069, 0.1507549285888672, -0.8816559314727783, 0.4139452576637268, 0.061377763748168945, -0.20460288226604462]
SKY	[-1.4108452796936035, -0.07952535152435303, -0.1799623966217041, -0.16704913973808289, 1.3751742839813232, 1.4386141300201416, 0.4099583625793457, 1.35531485080719, -0.06951868534088135, 0.3681544065475464, -0.4807676672935486, 2.0385799407958984, 0.3613887131214142, -0.687100887298584, 0.6237281560897827, 1.0370910167694092, 1.436253309249878, -0.5870620012283325, -0.9591158032417297, 2.18942928314209, 0.920348048210144, 0.19595788419246674, 1.8309202194213867, 0.7405913472175598, -0.7204713821411133, 0.7558114528656006, -0.9584723711013794, 0.12511831521987915, 0.09603190422058105, -0.2650032341480255, 0.31176209449768066, -1.0663799047470093, 0.7051477432250977, 0.7115837931632996, -0.8185505867004395, 0.21988393366336823, 0.6636745929718018, -1.7892568111419678, -0.1145782470703125, 0.8017998933792114, 0.5409921407699585, -2.3822758197784424, -0.3142036497592926, -0.5966994762420654, 0.41039764881134033, 0.943104088306427, -1.2978764772415161, -1.2190742492675781, 0.289792001247406, 0.9193097352981567, -0.8976327180862427, -0.9328805804252625, -0.08782131969928741, 0.8471217155456543, 0.7123657464981079, 0.10365903377532959, 0.8798860311508179, -0.9955800771713257, 0.35283970832824707, -0.7784130573272705, -0.010282859206199646, 0.6927943229675293, -0.6129928827285767, -0.7105317115783691, -0.3162198066711426, 0.1831674426794052, 0.7730605006217957, -0.9873746633529663, 1.399109125137329, -0.034566640853881836, -0.6218084096908569, 1.0513873100280762, -0.3919961452484131, 0.27746301889419556, -2.0620622634887695, -1.6794114112854004, 0.13916178047657013, 0.19243907928466797, 1.5023566484451294, 0.43249285221099854, -0.3222771883010864, -1.6063601970672607, 1.2394641637802124, 2.530062675476074, 0.07406365871429443, -1.0350782871246338, 0.3599032461643219, 0.4333108067512512, 1.0098965167999268, 0.177769735455513, -0.08943021297454834, -0.22896844148635864, -1.6052221059799194, -0.03807270526885986, -0.4336053729057312, -1.260339379310608, 2.330824613571167, 0.10288351774215698, 0.11481583118438721, -1.7990081310272217, -1.4887921810150146, -0.23602712154388428, 0.4596210718154907, 0.6519638299942017, 0.07788905501365662, 1.506108283996582, 0.7056623697280884, 0.9529955983161926, -0.13375377655029297, -0.23360976576805115, 0.5751523971557617, 1.979498267173767, -0.5547147393226624, -0.748725414276123, -0.5141685009002686, 0.9091000556945801, -1.277374267578125, -0.612074077129364, 0.02656194567680359, 0.39960965514183044, -1.1645867824554443, -0.07156890630722046, -1.624031662940979, 0.7567926049232483, -1.5268285274505615, 0.3063824474811554, 1.1262696981430054, -0.4595473110675812]
LIGHT (RADIATION)	[-0.9847255349159241, -0.4507959187030792, 0.12595832347869873, 1.010190486907959, 0.3803369402885437, 1.666349172592163, 0.5888844132423401, 0.836797297000885, 0.8876703977584839, 0.9359758496284485, -1.3654824495315552, 2.172353744506836, 0.6912851333618164, -0.4678647518157959, 0.7612912654876709, 0.831392228603363, 0.9342310428619385, 0.6967499256134033, -1.271267294883728, 0.3015366196632385, 0.5501781105995178, -0.22484225034713745, -0.5973118543624878, 0.13341349363327026, 0.037287697196006775, -0.6245095729827881, 0.1684715449810028, 0.27496182918548584, -0.21628785133361816, 0.4621845483779907, -0.2909865081310272, -0.9878931641578674, 0.9509056806564331, 1.2767914533615112, -0.08722460269927979, -0.18830209970474243, 0.6570031642913818, -0.7297238111495972, 0.7298836708068848, -0.9701098203659058, 1.6722381114959717, -2.1635313034057617, -0.7158673405647278, -0.3664875626564026, -0.2128036618232727, 2.2443718910217285, -1.0552446842193604, -1.547395944595337, -1.1928613185882568, 0.6000231504440308, -0.6438469290733337, -0.46522533893585205, 0.9282404184341431, -0.17175227403640747, 1.2261815071105957, 1.5005180835723877, 0.43376660346984863, -1.6263751983642578, 0.4322589635848999, -1.0024436712265015, -0.20865237712860107, 0.43775373697280884, -0.722383439540863, -0.7798659205436707, 0.6458573341369629, 1.1681945323944092, 1.4017095565795898, -1.6769222021102905, -0.32947856187820435, 0.11828549206256866, -0.8713220953941345, 0.6450255513191223, -0.6987501382827759, -0.4253559708595276, -1.0985608100891113, 0.9699944257736206, -0.5910910367965698, 0.7038280963897705, -0.6352231502532959, -0.25745561718940735, -0.8394367098808289, 0.21428172290325165, 0.8485236167907715, 0.33885452151298523, -1.2464810609817505, -0.10377262532711029, 0.11286081373691559, 0.40998920798301697, 1.0197125673294067, -0.235329270362854, -0.3737395107746124, -0.010527119040489197, -1.3468798398971558, -0.48636913299560547, -1.128798484802246, -0.9211972951889038, 1.5634618997573853, 0.13307946920394897, -0.8878816962242126, 0.07226642966270447, -0.9054291844367981, 0.5470998287200928, -0.5445305109024048, -0.2989027500152588, 0.018494457006454468, -0.6632088422775269, 0.26387089490890503, -0.5406731367111206, 0.2999781370162964, 0.8366746306419373, 0.009290039539337158, 0.25766679644584656, -1.0755045413970947, -0.5494323968887329, -0.1076275110244751, 0.13208776712417603, 0.6857753992080688, -0.2794303894042969, -0.2708231508731842, -0.563340961933136, -0.09390005469322205, -0.40519553422927856, -0.70029616355896, 0.2202729731798172, -0.8314500451087952, 0.46833789348602295, -0.665925145149231, -0.7813585996627808]
WEATHER	[-0.27133017778396606, -0.34092646837234497, 0.4248829483985901, -0.12330633401870728, 1.6687819957733154, 0.0812336802482605, -0.2829301059246063, 0.5738223791122437, 0.13213074207305908, -0.05069643259048462, -1.6418209075927734, 1.8136032819747925, -0.11464674770832062, 0.09888952970504761, 0.4198884963989258, 0.5367906093597412, 1.1606383323669434, 0.34391915798187256, -1.592710256576538, 0.0718604326248169, 0.39818400144577026, -0.3894416093826294, -0.6267586946487427, 0.5355529189109802, -0.6169447898864746, 0.08248110115528107, -0.18889421224594116, -1.0681456327438354, 0.17712494730949402, 0.6455895900726318, -0.6953690052032471, -1.2023067474365234, -0.3962322473526001, 1.0500470399856567, -0.1504783183336258, -0.3960464596748352, 0.16633538901805878, -1.0812702178955078, 0.12236914038658142, 0.28258609771728516, 1.257200002670288, -1.7932761907577515, -0.6019598245620728, -0.5097051858901978, 1.1557729244232178, 1.2047966718673706, -1.2595256567001343, -1.750859260559082, -0.4628182053565979, 1.1207503080368042, -0.8359407186508179, -1.854286789894104, 0.27826735377311707, 0.2621152400970459, 0.7559051513671875, 1.1173756122589111, 0.3721049129962921, -1.613216757774353, 0.7527128458023071, -1.498452067375183, -0.19188231229782104, 0.7732175588607788, -0.6481326818466187, -0.9081004858016968, 0.5374472141265869, -0.4226754903793335, -0.5317447185516357, -0.8741815090179443, -0.6713697910308838, -0.29430603981018066, -0.454754114151001, 0.7875803709030151, 0.7293246984481812, -0.2773384153842926, -0.8811286687850952, -1.115506887435913, 0.2156589776277542, -0.11408135294914246, -0.7902200818061829, 0.028002887964248657, -1.1130774021148682, -0.9815307855606079, 0.36753183603286743, 0.3401351273059845, -0.12858858704566956, -0.32842516899108887, 0.6419074535369873, 0.17917650938034058, 0.3022592067718506, 0.39657914638519287, 0.6741008162498474, 0.42482659220695496, -1.4457850456237793, -0.23617681860923767, -1.18316650390625, -1.3351672887802124, 1.559142827987671, 0.7222079634666443, 0.3914574384689331, 0.7050695419311523, -0.29296690225601196, -1.4384965896606445, -0.4262081980705261, 0.9683511853218079, -0.320690393447876, 0.525404691696167, 0.007485494017601013, -0.7649137377738953, 0.3723561763763428, 0.3531918525695801, 0.3167715072631836, 0.4511425197124481, -0.9322409629821777, -0.43592706322669983, -0.1992652714252472, 0.4832218885421753, -0.7813048958778381, 0.5124729871749878, -0.5682445764541626, -0.31417763233184814, -1.1885682344436646, -0.17884311079978943, -1.1004010438919067, 0.28819572925567627, -1.4945803880691528, 0.9973996877670288, 0.09706619381904602, -0.30836808681488037]
FLOOR	[-0.5838720798492432, -0.07208627462387085, 1.1630386114120483, -0.30870431661605835, 1.3852369785308838, -0.09569472074508667, 0.18376967310905457, 0.48942092061042786, -1.2370269298553467, -0.07780051231384277, -1.3517178297042847, 3.0637245178222656, 0.3087967038154602, 0.2509475648403168, 0.5469996929168701, 1.1795296669006348, 1.8773269653320312, 0.7160314321517944, 0.010986506938934326, 1.0257796049118042, -0.23941045999526978, -0.6720379590988159, -0.5352145433425903, 1.9362118244171143, -0.7338775396347046, -0.2669042944908142, -0.25483137369155884, 0.3295799493789673, 0.16655150055885315, 0.8119452595710754, -0.04189556837081909, 0.21521443128585815, -0.6224241256713867, 0.7832404375076294, -0.10193143784999847, -0.048737913370132446, -0.44282862544059753, -0.7821779251098633, 0.4431750774383545, 0.2891211211681366, 1.3301470279693604, -0.32131123542785645, -0.5407060980796814, -0.3007427453994751, 0.016690433025360107, 1.6230478286743164, -1.0871986150741577, -0.8211314678192139, -0.44235163927078247, -0.48305559158325195, -0.7707318067550659, -0.2566971182823181, -0.3851785361766815, 0.1369101107120514, 0.409467875957489, 0.7499980926513672, 0.5862464904785156, -0.6667693853378296, 0.5940626859664917, 0.920661449432373, 0.6111545562744141, 0.42779701948165894, -0.3727124035358429, -0.12920047342777252, -1.1356903314590454, -0.0010310560464859009, -0.06085479259490967, 0.5995106101036072, 0.05637168884277344, -0.32291337847709656, -0.3155297040939331, 0.16197949647903442, 0.4200545847415924, 0.7358225584030151, -1.3778272867202759, 0.5980440378189087, 0.7140513062477112, -1.335027813911438, -0.09767425060272217, 1.5427218675613403, -1.366586446762085, 0.463828444480896, 0.6689450144767761, -0.10051915049552917, 0.09190694242715836, -1.2817696332931519, 0.4710325598716736, -0.09619852900505066, -0.5638291835784912, 0.6671456694602966, -1.4831819534301758, 0.663542628288269, -0.9908820390701294, 0.1919311136007309, -0.3582688570022583, -0.4641677141189575, 1.4133368730545044, 0.4121326208114624, 1.2233197689056396, 0.29881593585014343, -1.1909304857254028, -1.8841352462768555, 0.12198078632354736, 0.6973112225532532, -0.17601311206817627, -0.49449074268341064, 0.3031276762485504, 1.533678412437439, -0.13823476433753967, 1.2762916088104248, 0.13002818822860718, 1.6154567003250122, 0.3698579668998718, -0.5013858079910278, 0.19654591381549835, -0.5336126685142517, -1.2417594194412231, -0.16589263081550598, 0.0008011758327484131, -0.12069046497344971, -0.24258065223693848, 0.08899500966072083, -0.36182349920272827, 0.9284608364105225, -0.7813136577606201, 0.3078804612159729, 0.6053332090377808, -0.2304583191871643]
PLACE (POSITION)	[-0.9190878868103027, 0.06650036573410034, 0.37440043687820435, 0.09787231683731079, 0.8517170548439026, 0.2296847701072693, 0.02133321762084961, 0.8119354248046875, 0.05523490905761719, 0.02873373031616211, -1.0481499433517456, 2.5269858837127686, 0.0919778048992157, -0.06900155544281006, 0.15726640820503235, 1.352389931678772, 0.725732147693634, 1.0974853038787842, -0.6232401132583618, -0.17693105340003967, 0.2924990952014923, -0.4994480609893799, -1.0796687602996826, 1.1498351097106934, -0.47101670503616333, 0.15428371727466583, 0.018525734543800354, -0.17574501037597656, 0.15422986447811127, 0.7213371992111206, -0.819506824016571, -0.5500988960266113, -0.9666416049003601, 1.0127620697021484, 0.06825725734233856, -0.13703694939613342, -0.2881776988506317, -1.3601044416427612, 0.20333769917488098, -0.28417158126831055, 0.6235222816467285, -0.49704253673553467, -0.6559773683547974, -0.3812723755836487, 0.168948233127594, 1.742111086845398, -0.5812879800796509, -1.7250325679779053, -0.04668164253234863, -0.30158376693725586, -0.3837437629699707, -0.9336414337158203, 0.09743505716323853, -0.6843003034591675, 0.462577223777771, 0.33675330877304077, 0.5991554260253906, -1.114755392074585, 0.6438531875610352, -0.25738146901130676, -0.030856404453516006, 0.5831738710403442, -0.18604394793510437, -0.08652111887931824, -0.5204344391822815, -0.047358959913253784, -0.2004164755344391, -0.29106754064559937, 0.2702040672302246, 0.416745126247406, 0.048103876411914825, 0.6845227479934692, 0.13688775897026062, -0.16421988606452942, -0.7694932222366333, 0.3373716175556183, 0.3875007927417755, -0.4199393391609192, -0.4189174771308899, 1.1854078769683838, -0.8616681098937988, -0.17952054738998413, 0.40197938680648804, -0.04462099075317383, -0.7805898189544678, -0.8003222942352295, 0.3926991820335388, -0.4823741316795349, -0.045927464962005615, 1.2621737718582153, -1.7103722095489502, -0.0929369330406189, -0.9249494075775146, -0.36010029911994934, -0.7596432566642761, -0.8374650478363037, 1.1587201356887817, -0.22283893823623657, 0.13911673426628113, 0.5498085618019104, -0.7035622596740723, -0.37909427285194397, 0.25354135036468506, 0.5743603706359863, -0.005486205220222473, -0.20133352279663086, -0.3553498685359955, 0.5193224549293518, 0.42089301347732544, 0.6635794639587402, 0.21419283747673035, 1.6409480571746826, -0.013623535633087158, -0.7043188810348511, -0.20014172792434692, 0.1821599006652832, -0.08906823396682739, 0.48431602120399475, -0.6041759252548218, -0.08909973502159119, -0.05356919765472412, -0.23389655351638794, -0.6454669833183289, 0.09176051616668701, -0.9454299807548523, 0.10937696695327759, 0.675237774848938, -0.1353762149810791]
