WORLD	[-0.10016830265522003, -0.07457925379276276, -0.09728489071130753, -0.08655198663473129, 0.09267708659172058, -0.07276753336191177, -0.09887342900037766, -0.079868845641613, -0.08978520333766937, 0.10125432908535004, 0.09894980490207672, -0.09931284934282303, 0.09850548207759857, 0.07807053625583649, -0.07677414268255234, -0.09251958131790161, 0.09817485511302948, -0.07838048785924911, -0.08476685732603073, -0.09787297248840332, -0.0941893458366394, 0.08223205804824829, -0.07567152380943298, -0.09623879939317703, 0.08553586155176163, 0.09247465431690216, 0.09350359439849854, -0.09002920985221863, 0.08177507668733597, 0.08580108731985092, -0.09505357593297958, -0.09427574276924133, -0.08593875914812088, -0.07818719744682312, 0.07485462725162506, -0.06489665806293488, -0.08391562849283218, 0.0926041454076767, -0.09081875532865524, 0.09076633304357529, 0.09322423487901688, 0.0921625941991806, 0.08794000744819641, -0.06268138438463211, 0.08428383618593216, 0.09475179761648178, 0.09934752434492111, -0.09536679089069366, -0.08517272025346756, 0.0911501869559288, 0.10293033719062805, 0.09326960146427155, 0.07532035559415817, 0.07878004014492035, 0.08724690973758698, 0.08620718866586685, 0.10671177506446838, 0.07242994010448456, -0.09741389751434326, -0.07835359126329422, 0.09366153180599213, 0.09955544024705887, -0.0888599157333374, -0.09681860357522964, 0.08802727609872818, -0.09714894741773605, -0.09708347171545029, 0.06399783492088318, 0.08986303210258484, -0.08373501896858215, -0.09805817157030106, 0.08508022874593735, -0.09811260551214218, -0.07694614678621292, -0.07231117784976959, -0.09591592848300934, -0.06523291021585464, -0.09241018444299698, 0.08110220730304718, 0.09586098045110703, 0.09594490379095078, 0.09509524703025818, 0.09318853169679642, 0.08404844254255295, -0.077919140458107, 0.09555336833000183, -0.0795293003320694, 0.08114621788263321, 0.09040668606758118, 0.09077844768762589, 0.09678353369235992, 0.09143608063459396, 0.09848567843437195, 0.09670613706111908, -0.09570340067148209, 0.08938727527856827, -0.08930303901433945, -0.09072578698396683, -0.06783642619848251, -0.08365805447101593, -0.09687371551990509, -0.06872867792844772, 0.055170536041259766, -0.08138149231672287, -0.09300940483808517, -0.09121618419885635, 0.085619255900383, 0.0919264405965805, -0.0944070965051651, 0.09507289528846741, -0.09460336714982986, 0.08856068551540375, -0.07776761054992676, 0.07538289576768875, 0.09994364529848099, 0.09759951382875443, 0.09915678948163986, -0.0952165350317955, -0.08632826805114746, -0.1004403829574585, -0.09620266407728195, 0.07319778949022293, 0.06883136928081512, 0.09699969738721848, 0.08717527985572815, -0.10058844089508057, 0.11048923432826996, 0.08953689783811569]
FLOOR	[-0.09538580477237701, -0.09770149737596512, -0.0822114497423172, -0.08044847100973129, 0.10046245902776718, -0.08861782401800156, -0.09754873067140579, -0.09863154590129852, -0.0802503153681755, 0.09858597815036774, 0.08953043073415756, -0.08994246274232864, 0.10283003747463226, 0.09073302894830704, -0.09064280241727829, -0.0849134624004364, 0.08322485536336899, -0.08501867949962616, -0.0839197039604187, -0.10435491055250168, -0.09824229031801224, 0.08675839751958847, -0.08102305978536606, -0.09639988094568253, 0.0831156075000763, 0.09137464314699173, 0.07431547343730927, -0.08260037750005722, 0.09381194412708282, 0.1038719192147255, -0.08725107461214066, -0.09134313464164734, -0.0916963592171669, -0.09711095690727234, 0.099763885140419, -0.08780797570943832, -0.09649307280778885, 0.08286875486373901, -0.0486241839826107, 0.08509718626737595, 0.09111838787794113, 0.0714014545083046, 0.08748774975538254, -0.07618884742259979, 0.09499847888946533, 0.09044748544692993, 0.07233015447854996, -0.07285947352647781, -0.08027128130197525, 0.09605956077575684, 0.07935323566198349, 0.05653985217213631, 0.07690059393644333, 0.09620511531829834, 0.0821567252278328, 0.06486012786626816, 0.07906673103570938, 0.09524334967136383, -0.09536828845739365, -0.08595040440559387, 0.09224807471036911, 0.09247664362192154, -0.10022564232349396, -0.09214314073324203, 0.09270252287387848, -0.0846516340970993, -0.09847638756036758, 0.08068210631608963, 0.08766742050647736, -0.08701204508543015, -0.10016684234142303, 0.08456356078386307, -0.10203966498374939, -0.09169462323188782, -0.08239585906267166, -0.09322679787874222, -0.07160734385251999, -0.06624402105808258, 0.09694726020097733, 0.08674262464046478, 0.09864336252212524, 0.10977183282375336, 0.09210207313299179, 0.10021540522575378, -0.09626927971839905, 0.08631040900945663, -0.0993126854300499, 0.0893491581082344, 0.07699205726385117, 0.086771659553051, 0.10413649678230286, 0.087864451110363, 0.07013005018234253, 0.06725388765335083, -0.07953578978776932, 0.09019569307565689, -0.0791173204779625, -0.09101875126361847, -0.09833928197622299, -0.07273406535387039, -0.0902816504240036, -0.09734255820512772, 0.08298913389444351, -0.09189242124557495, -0.085666224360466, -0.08622439205646515, 0.09885616600513458, 0.100935198366642, -0.0997699499130249, 0.06135351583361626, -0.08783384412527084, 0.09211726486682892, -0.0960250124335289, 0.07835748791694641, 0.09681618958711624, 0.09658107161521912, 0.10012827068567276, -0.09871233254671097, -0.10091947019100189, -0.10279888659715652, -0.07399407774209976, 0.08940182626247406, 0.08598203957080841, 0.05965672805905342, 0.07098646461963654, -0.10092822462320328, 0.10283853858709335, 0.08977189660072327]
LAND	[-0.09140551835298538, -0.08721667528152466, -0.0866444781422615, -0.08531162887811661, 0.09176195412874222, -0.09007738530635834, -0.08796609193086624, -0.08937852829694748, -0.08874624967575073, 0.0913500189781189, 0.0880499929189682, -0.09318391233682632, 0.10096912831068039, 0.08067350089550018, -0.08398701250553131, -0.09350061416625977, 0.08059746026992798, -0.07838143408298492, -0.08320575207471848, -0.09591449797153473, -0.0966920405626297, 0.09321185946464539, -0.08425614982843399, -0.09123449772596359, 0.08955561369657516, 0.08824248611927032, 0.0885893851518631, -0.08702186495065689, 0.08987312763929367, 0.09892229735851288, -0.09438803046941757, -0.08631812781095505, -0.09855770319700241, -0.09332098811864853, 0.08343338221311569, -0.08659756183624268, -0.08582073450088501, 0.08010225743055344, -0.08386054635047913, 0.08409567177295685, 0.08768829703330994, 0.08128967136144638, 0.0863654762506485, -0.08478790521621704, 0.0891912654042244, 0.09637976437807083, 0.08572185784578323, -0.08116376399993896, -0.08378348499536514, 0.09691037982702255, 0.0955762043595314, 0.08705570548772812, 0.0847000852227211, 0.09135189652442932, 0.09076564759016037, 0.08450030535459518, 0.09407217800617218, 0.08359812945127487, -0.09169673919677734, -0.09044671058654785, 0.08060988783836365, 0.09045697003602982, -0.09982974827289581, -0.09196576476097107, 0.08518669754266739, -0.08101210743188858, -0.091014564037323, 0.08691652119159698, 0.09499793499708176, -0.08337448537349701, -0.0853225365281105, 0.08631667494773865, -0.0885871946811676, -0.08671066164970398, -0.08154574036598206, -0.10003895312547684, -0.08785464614629745, -0.08144532889127731, 0.09194666147232056, 0.08960326015949249, 0.09235282987356186, 0.10005102306604385, 0.08961228281259537, 0.09093111008405685, -0.09551626443862915, 0.09100530296564102, -0.09304515272378922, 0.08342287689447403, 0.08641878515481949, 0.09154194593429565, 0.09520722180604935, 0.08995119482278824, 0.09399641305208206, 0.08508028835058212, -0.0838923528790474, 0.07851842045783997, -0.08935682475566864, -0.08706112205982208, -0.08566385507583618, -0.08309873938560486, -0.08675603568553925, -0.09472048282623291, 0.08488429337739944, -0.08360112458467484, -0.09180530905723572, -0.08261128515005112, 0.08659747242927551, 0.09182873368263245, -0.09984482079744339, 0.0911034643650055, -0.08494821190834045, 0.08612654358148575, -0.08455095440149307, 0.08364949375391006, 0.0995480865240097, 0.09536555409431458, 0.09697352349758148, -0.08740121871232986, -0.09025070071220398, -0.08673828840255737, -0.08821028470993042, 0.08984843641519547, 0.08655284345149994, 0.0887136310338974, 0.0832761824131012, -0.08708307147026062, 0.09625320881605148, 0.09559421986341476]
LIGHT (RADIATION)	[-0.0859764963388443, -0.09451434016227722, -0.09388941526412964, -0.07997848838567734, 0.0008946792222559452, 0.09178303182125092, -0.09138612449169159, 0.09781687706708908, -0.08308095484972, 0.09832406044006348, -0.08245386183261871, -0.10488586872816086, 0.09858760237693787, 0.09597042948007584, -0.09586817771196365, -0.0920148566365242, 0.04946579784154892, -0.08527720719575882, -0.0939362645149231, 0.04605083540081978, 0.0870855450630188, 0.06937927007675171, 0.09025038033723831, -0.08792351931333542, -0.09007354825735092, -0.04531789571046829, -0.05746420845389366, -0.08460252732038498, -0.09602180868387222, 0.09924476593732834, 0.08528242260217667, 0.0940590351819992, -0.0845261961221695, -0.09636058658361435, -0.08674245327711105, 0.10051136463880539, -0.0959174707531929, 0.09555868804454803, 0.06514736264944077, 0.07644340395927429, 0.09553753584623337, 0.08027646690607071, 0.08136549592018127, -0.08412587642669678, 0.10480302572250366, 0.16887596249580383, 0.09648922830820084, -0.08504349738359451, -0.08832874894142151, -0.07556800544261932, 0.09721630811691284, 0.0907391905784607, 0.012439530342817307, 0.092351533472538, -0.09254323691129684, -0.10932432115077972, 0.10361006110906601, -0.09921105951070786, 0.09329520165920258, -0.06362218409776688, -0.06272267550230026, 0.09357050061225891, -0.09757112711668015, -0.09541004151105881, -0.08127296715974808, 0.0845632329583168, 0.030185148119926453, -0.08629174530506134, 0.10180159658193588, 0.08253243565559387, -0.08789098262786865, 0.06140747666358948, 0.09915047883987427, 0.08699806779623032, 0.10297054797410965, 0.09390926361083984, -0.08822520822286606, -0.07411804795265198, 0.09650059044361115, 0.08961863070726395, 0.0952184870839119, 0.010142446495592594, -0.0870685800909996, -0.09369513392448425, 0.09172289818525314, -0.06387216597795486, 0.10114786773920059, -0.07245471328496933, -0.07633989304304123, 0.08237798511981964, -0.09424097836017609, -0.09020580351352692, 0.09922510385513306, 0.09134121984243393, -0.09705948084592819, -0.09168580174446106, -0.0859578549861908, 0.08862489461898804, 0.10197898745536804, -0.09620802849531174, -0.09378819912672043, 0.09760886430740356, -0.094574473798275, -0.026686586439609528, 0.07705356925725937, 0.025772955268621445, -0.09110327064990997, 0.09998873621225357, 0.09349272400140762, -0.09293216466903687, -0.08238424360752106, 0.07921221852302551, -0.08546970784664154, 0.08139890432357788, 0.10263866931200027, 0.11136317998170853, -0.06455934792757034, -0.07023973017930984, 0.0738544687628746, 0.09091217070817947, -0.09348612278699875, -0.10275258868932724, -0.1014428362250328, 0.08537762612104416, -0.09625159204006195, -0.08576346188783646, -0.07505953311920166, -0.19435639679431915]
PEACE	[-0.09054822474718094, 0.09209904819726944, -0.08438746631145477, -0.0825645700097084, 0.08971153944730759, 0.11095244437456131, -0.08812601119279861, -0.07505261898040771, 0.10040793567895889, 0.08812641352415085, 0.08986543118953705, -0.08987390995025635, 0.09333957731723785, -0.0948105901479721, 0.10491562634706497, -0.08003595471382141, 0.08981316536664963, 0.097299724817276, -0.08553173393011093, -0.08843124657869339, -0.08441268652677536, 0.08600771427154541, -0.08474960923194885, -0.19830776751041412, -0.09417369961738586, 0.00179573823697865, -0.07212242484092712, 0.007009719964116812, -0.10158849507570267, -0.0926760882139206, -0.08639828115701675, -0.09095391631126404, -0.039823275059461594, 0.09997992217540741, -0.12126699090003967, 0.08567775785923004, 0.09963883459568024, 0.09041768312454224, 0.08178552985191345, 0.08502893894910812, 0.08954118937253952, 0.08261510729789734, 0.08887287229299545, 0.09878963232040405, -0.09131428599357605, -0.028456801548600197, 0.08746811002492905, -0.08489788323640823, 0.10262896865606308, 0.08981843292713165, 0.08835739642381668, -0.08952800184488297, 0.08733247220516205, 0.07187265902757645, -0.05383383482694626, -0.08647123724222183, 0.08053945749998093, 0.07130314409732819, -0.08825592696666718, 0.10401278734207153, 0.08559934049844742, 0.07741459459066391, 0.0924614891409874, -0.08252184838056564, 0.08008372038602829, -0.07871919125318527, -0.08778369426727295, -0.11147602647542953, -0.09948640316724777, -0.0780927911400795, -0.08385822921991348, 0.06579350680112839, -0.08914286643266678, 0.09834197908639908, -0.08088502287864685, -0.08807685971260071, -0.07050477713346481, 0.095245361328125, -0.058217499405145645, 0.07286400347948074, 0.07943002134561539, 0.08564125001430511, 0.0852363184094429, -0.09939375519752502, 0.09952705353498459, 0.08458957076072693, -0.08628116548061371, 0.060448624193668365, 0.0786660835146904, 0.08201262354850769, -0.10443150997161865, 0.0801256000995636, 0.09086216986179352, 0.0860913097858429, -0.09062985330820084, 0.07589180022478104, -0.11744829267263412, 0.09417171031236649, 0.08992458879947662, 0.09076512604951859, -0.0805841013789177, 0.09765596687793732, -0.10738925635814667, -0.08981546014547348, 0.07701940834522247, 0.08997280150651932, 0.09660527110099792, -0.10192292183637619, -0.08954774588346481, 0.09082050621509552, -0.09264510869979858, -0.1102893278002739, -0.07723226398229599, -0.09746157377958298, -0.09289682656526566, -0.06578418612480164, -0.10186431556940079, -0.08588907867670059, 0.1022033542394638, -0.08888701349496841, -0.09406280517578125, 0.0848671942949295, 0.07881294190883636, -0.10272812098264694, -0.10250178724527359, -0.08940758556127548, 0.08997877687215805, 0.08540794998407364]
COUNTRY	[-0.05600111559033394, -0.09291177988052368, -0.08909972012042999, -0.09109241515398026, 0.09995058923959732, -0.10213444381952286, -0.07393965870141983, -0.09653402864933014, -0.08613330125808716, 0.09361515939235687, 0.09762780368328094, -0.09717656672000885, 0.09959055483341217, 0.08556626737117767, -0.08622302860021591, -0.09752079099416733, 0.0927550345659256, -0.07876299321651459, -0.08529427647590637, -0.09541016072034836, -0.08727547526359558, 0.09553760290145874, -0.08625703305006027, -0.09284711629152298, 0.0644117072224617, 0.09411071240901947, 0.09416305273771286, -0.10253072530031204, 0.09357259422540665, 0.09271914511919022, -0.10113519430160522, -0.08379697799682617, -0.09974480420351028, -0.09937185794115067, 0.09302693605422974, -0.09325747936964035, -0.08886131644248962, 0.09001806378364563, -0.09614172577857971, 0.08893229812383652, 0.09402472525835037, 0.06591473519802094, 0.09552827477455139, -0.09049934148788452, 0.09568328410387039, 0.07384908944368362, 0.09567134827375412, -0.08825649321079254, -0.09096040576696396, 0.09711220860481262, 0.08156179636716843, 0.09920860826969147, 0.09452410787343979, 0.09886310249567032, 0.10236864537000656, 0.09395208209753036, 0.10110947489738464, 0.09147784858942032, -0.0915277823805809, -0.0992976576089859, 0.094307541847229, 0.09689806401729584, -0.09799430519342422, -0.08720556646585464, 0.08539333194494247, -0.08802039176225662, -0.06295207142829895, 0.09438354521989822, 0.09514450281858444, -0.08114888519048691, -0.06133882328867912, 0.08808846026659012, -0.05416823923587799, -0.09038496017456055, -0.05736471712589264, -0.08183852583169937, -0.0882871076464653, -0.07147391885519028, 0.09019681811332703, 0.053846895694732666, 0.07341626286506653, 0.08011147379875183, 0.09310019016265869, 0.09508056938648224, -0.09673688560724258, 0.09248759597539902, -0.0738467276096344, 0.08174016326665878, 0.08597232401371002, 0.07259832322597504, 0.07545090466737747, 0.09613130986690521, 0.09488822519779205, 0.0941140428185463, -0.057229988276958466, 0.0884847491979599, -0.06831130385398865, -0.06658811122179031, -0.08986788988113403, -0.0906682163476944, -0.07055670768022537, -0.10203853249549866, 0.08952747285366058, -0.09405827522277832, -0.099700927734375, -0.09288100153207779, 0.09517381340265274, 0.06522555649280548, -0.10071200877428055, 0.10003846883773804, -0.09516087919473648, 0.09134142100811005, -0.09731864184141159, 0.09497515112161636, 0.1028253510594368, 0.09613523632287979, 0.07163415849208832, -0.09307302534580231, -0.09777015447616577, -0.05920886620879173, -0.08753382414579391, 0.09444019198417664, 0.09462659806013107, 0.10026784241199493, 0.09450837224721909, -0.06139914318919182, 0.08771774917840958, 0.0986744612455368]
MAINLAND	[-0.09013137221336365, -0.09224531054496765, -0.07787588238716125, -0.08611129224300385, 0.08985684812068939, -0.08717554807662964, -0.09199146181344986, -0.09418971836566925, -0.08416992425918579, 0.0816032886505127, 0.08942551910877228, -0.08361464738845825, 0.09943021088838577, 0.08239158987998962, -0.0833941251039505, -0.09112174808979034, 0.08505378663539886, -0.08243311941623688, -0.08791530877351761, -0.08752302825450897, -0.09366989880800247, 0.08916644006967545, -0.09019392728805542, -0.09384747594594955, 0.09302421659231186, 0.09674679487943649, 0.09086107462644577, -0.0957045629620552, 0.09285694360733032, 0.09286084771156311, -0.09926101565361023, -0.0821550041437149, -0.08985046297311783, -0.10040733963251114, 0.09668618440628052, -0.09328250586986542, -0.0806918740272522, 0.07641076296567917, -0.08536054939031601, 0.08981548249721527, 0.084989532828331, 0.07721882313489914, 0.0943928062915802, -0.08467759191989899, 0.08586513996124268, 0.09024740010499954, 0.09289680421352386, -0.08506467193365097, -0.08112426847219467, 0.09874491393566132, 0.09945710748434067, 0.09533005207777023, 0.08662987500429153, 0.09524299949407578, 0.10172216594219208, 0.0900331512093544, 0.09456700831651688, 0.08976206928491592, -0.08582831919193268, -0.0970621258020401, 0.09268299490213394, 0.08674490451812744, -0.08708248287439346, -0.08605057746171951, 0.08926103264093399, -0.08203128725290298, -0.0908064991235733, 0.09170995652675629, 0.08573019504547119, -0.07275142520666122, -0.08251240104436874, 0.07777824252843857, -0.08247455209493637, -0.0811387449502945, -0.09107176214456558, -0.09405781328678131, -0.08242623507976532, -0.09429143369197845, 0.08459296822547913, 0.07602588832378387, 0.09428896754980087, 0.09725116193294525, 0.08446157723665237, 0.09500166773796082, -0.09352225065231323, 0.08813926577568054, -0.09347929060459137, 0.086507149040699, 0.0844133049249649, 0.09428050369024277, 0.0985742136836052, 0.09816653281450272, 0.08480261266231537, 0.08978067338466644, -0.08434420078992844, 0.08456937968730927, -0.07851621508598328, -0.09338001161813736, -0.09268630295991898, -0.08310486376285553, -0.09139440208673477, -0.09439683705568314, 0.0909711942076683, -0.08304949849843979, -0.09291200339794159, -0.08731941878795624, 0.0948377326130867, 0.09268474578857422, -0.09705596417188644, 0.093218594789505, -0.07998672127723694, 0.09236416965723038, -0.08180803805589676, 0.08320306986570358, 0.09123778343200684, 0.09405013918876648, 0.08552344143390656, -0.08521508425474167, -0.0882253348827362, -0.08178503811359406, -0.08014346659183502, 0.08850059658288956, 0.08878226578235626, 0.09740783274173737, 0.07557309418916702, -0.08524466305971146, 0.09582489728927612, 0.08879038691520691]
WEATHER	[-0.0980767011642456, 0.10774333029985428, -0.09029276669025421, 0.1141093522310257, -0.07699031382799149, -0.19373850524425507, -0.07756455987691879, 0.06685875356197357, -0.12389813363552094, 0.09348516911268234, 0.09900639951229095, -0.054737478494644165, 0.05522039905190468, 0.07946298271417618, 0.11411795765161514, 0.08973479270935059, 0.08699129521846771, -0.06965755671262741, -0.041634753346443176, -0.053799938410520554, 0.07259386032819748, -0.13551297783851624, 0.10392694920301437, -0.09736881405115128, 0.0791798084974289, 0.09750919789075851, 0.09675483405590057, 0.10306438058614731, 0.09913170337677002, 0.04419613629579544, -0.009090892039239407, -0.09490907192230225, 0.06749345362186432, 0.07168813049793243, -0.05940019339323044, 0.09819670766592026, -0.08939109742641449, 0.10015376657247543, -0.096620112657547, 0.08129706978797913, 0.04178336635231972, 0.08357062935829163, -0.02612810768187046, 0.10337931662797928, 0.05442756414413452, 0.07751506567001343, 0.0991709753870964, -0.09580309689044952, -0.09270395338535309, -0.09098611027002335, 0.042451392859220505, 0.0935891792178154, -0.08736058324575424, -0.09505537897348404, -0.10127808898687363, 0.08484862744808197, 0.10055146366357803, -0.09810195118188858, -0.0954667255282402, 0.0814104750752449, 0.09104195982217789, 0.07757008820772171, -0.08411768078804016, -0.09482965618371964, 0.003523943480104208, -0.10281123965978622, -0.0940532460808754, -0.0992196574807167, 0.10460390150547028, -0.07554555684328079, -0.09553858637809753, -0.04379265010356903, -0.08257626742124557, 0.02939913421869278, 0.09709656983613968, 0.08223991096019745, 0.10594844818115234, -0.09579487890005112, -0.10372374206781387, 0.09839888662099838, 0.052437569946050644, -0.0817333310842514, 0.0868181511759758, -0.11325971782207489, 0.023192841559648514, 0.08523547649383545, 0.1117333173751831, -0.14136902987957, 0.0818471908569336, -0.005235558375716209, 0.09480226784944534, 0.014567160047590733, -0.10278375446796417, 0.09503772109746933, -0.09370490908622742, 0.09093474596738815, 0.091993547976017, -0.08110778033733368, 0.10685134679079056, -0.07969334721565247, -0.09751863032579422, 0.10542572289705276, -0.09861674159765244, 0.0604337602853775, -0.06432121247053146, -0.10932669043540955, -0.09647869318723679, 0.09318674355745316, 0.07979453355073929, 0.03964126482605934, -0.08137144893407822, 0.09754397720098495, 0.10592807084321976, 0.08485129475593567, 0.10358458012342453, 0.05512255057692528, 0.11279287934303284, -0.010308769531548023, -0.055057864636182785, -0.08116438239812851, -0.07472464442253113, -0.10362862795591354, -0.09154772013425827, 0.1055716872215271, 0.10817445069551468, -0.09619766473770142, 0.13551314175128937, -0.06955545395612717]
SKY	[-0.10089647024869919, 0.10202978551387787, 0.07844128459692001, 0.09356517344713211, 0.0802093967795372, 0.0957232415676117, 0.0916101336479187, 0.09270364046096802, -0.10348696261644363, 0.09619245678186417, 0.08115121722221375, 0.0760204866528511, -0.0920330137014389, -0.07026932388544083, 0.0950082391500473, 0.09204405546188354, 0.0989922359585762, -0.07911743968725204, 0.10177090764045715, 0.08829700946807861, 0.07741571962833405, 0.06939425319433212, 0.09432121366262436, -0.09027992933988571, 0.09128687530755997, -0.07654166221618652, 0.08619135618209839, 0.09743694216012955, 0.08750996738672256, -0.08465232700109482, -0.09331174939870834, -0.08872101455926895, -0.0797848030924797, 0.08385906368494034, 0.09776806831359863, 0.09223293513059616, 0.0850028544664383, 0.09269249439239502, -0.09197283536195755, -0.09764256328344345, -0.07698347419500351, -0.08055531978607178, 0.08946581184864044, 0.09392895549535751, -0.09371762722730637, 0.07889880985021591, 0.08167096227407455, -0.08925464004278183, -0.0891898050904274, -0.08019182085990906, -0.08326522260904312, 0.0860668495297432, -0.09649354964494705, -0.09173918515443802, -0.08805642277002335, 0.08905025571584702, 0.09702299535274506, 0.07971944659948349, -0.09224771708250046, 0.09348949044942856, 0.08444881439208984, 0.07041676342487335, 0.07027845084667206, -0.07678592205047607, -0.0861440896987915, -0.0950460210442543, -0.0968211218714714, -0.09259938448667526, -0.06750739365816116, 0.09379146248102188, -0.087918221950531, 0.09441760927438736, -0.07514240592718124, 0.08650262653827667, -0.07106414437294006, 0.08738288283348083, 0.09454350918531418, -0.08890419453382492, -0.09862582385540009, 0.0850227102637291, -0.0934632197022438, -0.07592365145683289, -0.07385778427124023, -0.10114172101020813, -0.08656793087720871, 0.0903601124882698, 0.09772434085607529, 0.084662064909935, -0.08553394675254822, 0.11582771688699722, 0.09335494786500931, -0.09903927147388458, -0.09974288195371628, 0.07736353576183319, -0.09496752172708511, 0.08309096097946167, 0.09674866497516632, -0.09160862863063812, 0.09896664321422577, -0.06930191069841385, -0.07910680025815964, 0.10157238692045212, -0.09611330926418304, -0.08583705127239227, 0.08593105524778366, -0.08825218677520752, -0.09056106209754944, 0.0922832190990448, -0.08491399884223938, -0.09091641008853912, 0.08084724843502045, 0.088225357234478, 0.10352763533592224, 0.08599232882261276, 0.09860402345657349, -0.07548730075359344, 0.11010945588350296, -0.08128311485052109, 0.09032635390758514, -0.08421295881271362, -0.08086777478456497, -0.09398449212312698, -0.09992344677448273, 0.09968888014554977, 0.0883340984582901, -0.08754298090934753, 0.08754611015319824, -0.08629515022039413]
EARTH (SOIL)	[-0.09480759501457214, -0.08857913315296173, -0.08787413686513901, -0.08780934661626816, 0.09514334797859192, -0.0953691378235817, -0.0977235659956932, -0.09510735422372818, -0.08686788380146027, 0.08881597220897675, 0.09168847650289536, -0.08726297318935394, 0.1035466119647026, 0.08087291568517685, -0.086055226624012, -0.0854535773396492, 0.0723671168088913, -0.08225978910923004, -0.07907657325267792, -0.09828425943851471, -0.09627291560173035, 0.09234156459569931, -0.0875210165977478, -0.09423229843378067, 0.08468341827392578, 0.08967261761426926, 0.0764697939157486, -0.07855358719825745, 0.09392135590314865, 0.09747765958309174, -0.09753841906785965, -0.08352703601121902, -0.09597648680210114, -0.1003313884139061, 0.09370867162942886, -0.08856420964002609, -0.08244388550519943, 0.08677373826503754, -0.07598603516817093, 0.08548171818256378, 0.07609543949365616, 0.07629959285259247, 0.08936365693807602, -0.06956638395786285, 0.0912344753742218, 0.09609673172235489, 0.09136229008436203, -0.07838396728038788, -0.08721762895584106, 0.0964086726307869, 0.0891374945640564, 0.07765800505876541, 0.08911176770925522, 0.0916135311126709, 0.0943731963634491, 0.08300915360450745, 0.0854366347193718, 0.08699152618646622, -0.097077876329422, -0.08690374344587326, 0.08247958868741989, 0.0797300934791565, -0.09640691429376602, -0.08929085731506348, 0.0941462516784668, -0.08859420567750931, -0.08981866389513016, 0.09274359047412872, 0.09169824421405792, -0.08165028691291809, -0.0882740393280983, 0.08452345430850983, -0.09076248109340668, -0.0899086445569992, -0.08514977991580963, -0.1056351512670517, -0.084957055747509, -0.07576550543308258, 0.09038767218589783, 0.0888066217303276, 0.09717384725809097, 0.10152769833803177, 0.0887732058763504, 0.09699806571006775, -0.0984463021159172, 0.09256010502576828, -0.09417115896940231, 0.08914250135421753, 0.08757056295871735, 0.08579567074775696, 0.10163553804159164, 0.08928929269313812, 0.08114729076623917, 0.0705726370215416, -0.08631736040115356, 0.08386735618114471, -0.09010040014982224, -0.09378234297037125, -0.0921829342842102, -0.07957971096038818, -0.09211889654397964, -0.08789636939764023, 0.08733858168125153, -0.09196922928094864, -0.09267614781856537, -0.0701974481344223, 0.08942890167236328, 0.09423931688070297, -0.10080257803201675, 0.07860342413187027, -0.07793844491243362, 0.09012936055660248, -0.08205702155828476, 0.09217025339603424, 0.08715752512216568, 0.09788528084754944, 0.09951809793710709, -0.08624536544084549, -0.09445895254611969, -0.09375623613595963, -0.0862053856253624, 0.08614850044250488, 0.08465401828289032, 0.0811648890376091, 0.08455933630466461, -0.0913843885064125, 0.09077723324298859, 0.09506803005933762]
