WORLD	[-0.07684016227722168, 0.11419113725423813, -0.06871255487203598, 0.01181606575846672, 0.1126917153596878, 0.120259590446949, 0.10798382759094238, 0.11732900142669678, 0.07784274965524673, -0.11986887454986572, -0.008275127038359642, -0.08726297318935394, 0.10206197947263718, -0.11896652728319168, -0.126266211271286, -0.06924036890268326, -0.04048262536525726, 0.04082197695970535, -0.10337566584348679, -0.12031108140945435, -0.002944703446701169, -0.10866527259349823, 0.11377188563346863, 0.0008996965480037034, -0.022218478843569756, -0.029461177065968513, -0.023033559322357178, -0.13613255321979523, -0.03522986173629761, -0.09909167140722275, 0.006010281853377819, 0.09305541217327118, 0.1040407121181488, -0.056462544947862625, 0.1264132857322693, -0.1173766478896141, -0.13871024549007416, -0.10788238793611526, 0.11141768097877502, -0.0859818309545517, 4.506559344008565e-05, -0.05847373977303505, 0.04756246879696846, 0.11103443056344986, -0.0033535670954734087, 0.05376753583550453, -0.04455824941396713, -0.07679864019155502, -0.1217474490404129, -0.08879054337739944, 0.09244444966316223, -0.11368739604949951, 0.07572010904550552, -0.10630951076745987, -0.14391550421714783, 0.02585463970899582, 0.053600605577230453, 0.010354566387832165, 0.1312323957681656, 0.05249062925577164, 0.013509626500308514, 0.07854257524013519, -0.07890067994594574, -0.10102351009845734, 0.03556538000702858, 0.05874614045023918, -0.13120827078819275, 0.11267290264368057, 0.030710412189364433, 0.10910959541797638, 0.11899316310882568, -0.09505047649145126, -0.06603182852268219, 0.020873108878731728, -0.08693840354681015, 0.08795224130153656, -0.06748093664646149, 0.07976323366165161, 0.1232667863368988, -0.09643972665071487, -0.06898631155490875, -0.03092101588845253, 0.04676651209592819, -0.10248959064483643, -0.1209508404135704, 0.012594913132488728, -0.030244771391153336, -0.1224798783659935, -0.09957868605852127, 0.11292140930891037, -0.09384604543447495, -0.07652050256729126, -0.11681800335645676, -0.05737781524658203, -0.07911891490221024, -0.10999265313148499, -0.08988725394010544, 0.027953242883086205, 0.11133742332458496, 0.08408808708190918, -0.08041764795780182, -0.11849168688058853, 0.09439531713724136, 0.0831744372844696, -0.03720265254378319, 0.12755005061626434, 0.10352178663015366, 0.11734353005886078, -0.04695764183998108, -0.12268547713756561, -0.10193092375993729, 0.02129833959043026, 0.08168643712997437, -0.12739288806915283, 0.06344355642795563, -0.09312635660171509, -0.03527391701936722, -0.024499211460351944, 0.10397996008396149, -0.1022229790687561, 0.1318984180688858, 0.10763025283813477, 0.02276996336877346, 0.11811597645282745, 0.0031867497600615025, -0.12773497402668, 0.022557640448212624, -0.11938229948282242]
FLOOR	[-0.10135609656572342, 0.09921544790267944, -0.11163803189992905, -0.07853760570287704, 0.11666598170995712, 0.08159460872411728, 0.11451859027147293, 0.12151553481817245, 0.12010005116462708, -0.11513999849557877, -0.08512432873249054, -0.07426336407661438, 0.08830496668815613, -0.1046653762459755, -0.07246541976928711, -0.09675067663192749, -0.12279076874256134, 0.13953912258148193, 0.009252119809389114, -0.09978728741407394, -0.06687325984239578, -0.09479694068431854, 0.0752919390797615, -0.09073252230882645, -0.07525390386581421, -0.12311574071645737, -0.07479758560657501, -0.11361642926931381, 0.05774679780006409, -0.09186996519565582, 0.046172987669706345, 0.08517152816057205, 0.07921901345252991, -0.07443150132894516, 0.12922696769237518, -0.09494864195585251, -0.1163467988371849, -0.07398171722888947, 0.0605865977704525, -0.06433460116386414, -0.028446519747376442, -0.11466428637504578, 0.06641054898500443, 0.08379002660512924, 0.05374784395098686, 0.11009791493415833, -0.0638117641210556, -0.0642286017537117, -0.11041510850191116, -0.11592023819684982, 0.09235159307718277, -0.11062148958444595, 0.037193313241004944, -0.06970399618148804, -0.08505067229270935, -0.04564549773931503, 0.03291652724146843, -0.03918171674013138, 0.06445832550525665, 0.059635061770677567, 0.06997082382440567, 0.11244790256023407, -0.06263135373592377, -0.13099640607833862, 0.07204499840736389, 0.027811801061034203, -0.09337448328733444, 0.08000461012125015, 0.039150699973106384, 0.09237238764762878, 0.09602713584899902, -0.09421419352293015, -0.10787658393383026, 0.09897268563508987, -0.07727205753326416, 0.08774657547473907, -0.0798821672797203, 0.046304311603307724, 0.12445631623268127, -0.12229417264461517, -0.11675940454006195, -0.06955544650554657, 0.06082138046622276, -0.10569863021373749, -0.054605647921562195, 0.11696450412273407, -0.08246972411870956, -0.0874963104724884, -0.04382547736167908, 0.10046614706516266, -0.07729823887348175, -0.06504177302122116, -0.11285844445228577, -0.10026764124631882, -0.03951386362314224, -0.07570824772119522, -0.11782940477132797, 0.0679440051317215, 0.1196691244840622, 0.12232878804206848, -0.10603203624486923, -0.07079742848873138, 0.1091219112277031, 0.06392280757427216, -0.09644265472888947, 0.05238895118236542, 0.0711958035826683, 0.09969287365674973, -0.10497722774744034, -0.10459727793931961, -0.10587047785520554, 0.05863315239548683, 0.050175268203020096, -0.07100560516119003, 0.08244913071393967, -0.10536570101976395, -0.10123205929994583, 0.0240302924066782, 0.06257997453212738, -0.08330001682043076, 0.11579951643943787, 0.05759595334529877, 0.04612535983324051, 0.09735319763422012, -0.08815240114927292, -0.10694554448127747, -0.06395860761404037, -0.09409158676862717]
LAND	[-0.09922350943088531, 0.09994487464427948, -0.09133882075548172, -0.06552436947822571, 0.10415979474782944, 0.10652243345975876, 0.1004585325717926, 0.08881518989801407, 0.1019267663359642, -0.10962190479040146, -0.0664805918931961, -0.08988755941390991, 0.0910767912864685, -0.10427188128232956, -0.0865514799952507, -0.09359366446733475, -0.09375517815351486, 0.11843395978212357, -0.06827330589294434, -0.09901531785726547, -0.07821128517389297, -0.08343147486448288, 0.09410657733678818, -0.08364655077457428, -0.07057183980941772, -0.09541015326976776, -0.07493802905082703, -0.11238215118646622, 0.07183413952589035, -0.08306292444467545, 0.06910347938537598, 0.08139178901910782, 0.09212714433670044, -0.06901957839727402, 0.11258190125226974, -0.08807771652936935, -0.11887010931968689, -0.09327753633260727, 0.07592123746871948, -0.06618206948041916, -0.07733000069856644, -0.08250682055950165, 0.09262619912624359, 0.10525412112474442, 0.06085687875747681, 0.10861051827669144, -0.08904290199279785, -0.07378068566322327, -0.09774816781282425, -0.09426359087228775, 0.10093249380588531, -0.09035757184028625, 0.08870471268892288, -0.09822896867990494, -0.11438135802745819, -0.049889322370290756, 0.0876767635345459, -0.06239357218146324, 0.09256359934806824, 0.07218299061059952, 0.06854430586099625, 0.09909192472696304, -0.07690328359603882, -0.08444871008396149, 0.07326102256774902, 0.08006897568702698, -0.0953945592045784, 0.09932147711515427, 0.07976755499839783, 0.10276233404874802, 0.08760368078947067, -0.08928532153367996, -0.1068853884935379, 0.08047156035900116, -0.09409672021865845, 0.09847208857536316, -0.07861892133951187, 0.06965618580579758, 0.10914155840873718, -0.0748780146241188, -0.0876646339893341, -0.08602634072303772, 0.07355562597513199, -0.09505917131900787, -0.09583856165409088, 0.0908624455332756, -0.09091728925704956, -0.09452994167804718, -0.08246245980262756, 0.09358983486890793, -0.08230549097061157, -0.07639601081609726, -0.10563355684280396, -0.0760260596871376, -0.07345715165138245, -0.07574956864118576, -0.10237220674753189, 0.08216173946857452, 0.09219817072153091, 0.08428338915109634, -0.0908079743385315, -0.08971843123435974, 0.1010289266705513, 0.08208967000246048, -0.08652696013450623, 0.09335892647504807, 0.08633068203926086, 0.10204285383224487, -0.07553518563508987, -0.11042484641075134, -0.09992606937885284, 0.0670880675315857, 0.08030033856630325, -0.08598093688488007, 0.09291908890008926, -0.08740828931331635, -0.08473639190196991, 0.03660254552960396, 0.07687821984291077, -0.09658841788768768, 0.10569728910923004, 0.0797216072678566, 0.06087983772158623, 0.0975065529346466, -0.07521557062864304, -0.11192922294139862, -0.01679830625653267, -0.08540507405996323]
LIGHT (RADIATION)	[0.05274008959531784, -0.023669801652431488, 0.09695573896169662, 0.046523887664079666, 0.06513755768537521, 0.11246327310800552, 0.09895290434360504, -0.07021310925483704, 0.0885537639260292, 0.08584921807050705, 0.031227437779307365, 0.10751613974571228, 0.08137743920087814, -0.12116944789886475, -0.07914497703313828, 0.1011052206158638, 0.1035909503698349, -0.07425808906555176, 0.005644248798489571, -0.10583893954753876, 0.010563057847321033, 0.08389557898044586, 0.10946080833673477, 0.10655320435762405, -0.01411812100559473, 0.0828552171587944, 0.05948526784777641, -0.09771237522363663, -0.08950259536504745, 0.06562236696481705, -0.11329009383916855, 0.16564080119132996, 0.0907667949795723, 0.0501631535589695, 0.11306492984294891, -0.09883438050746918, -0.11952848732471466, -0.10866260528564453, 0.1116633266210556, -0.13496965169906616, 0.07935084402561188, -0.0904289186000824, -0.09620636701583862, -0.10517662018537521, -0.10734578222036362, 0.10545775294303894, 0.12315435707569122, -0.08267930895090103, -0.105774886906147, -0.11154714226722717, -0.010302077978849411, -0.11292195320129395, 0.12574069201946259, -0.04797187075018883, -0.09143078327178955, -0.05070914700627327, 0.10569371283054352, 0.05372096970677376, 0.023974120616912842, 0.10264214128255844, -0.07446899265050888, 0.05341871827840805, -0.09163261204957962, -0.09564118832349777, -0.10417629033327103, -0.06443266570568085, 0.07717394828796387, 0.10581187158823013, -0.10605987161397934, -0.053398497402668, -0.030735349282622337, -0.08045536279678345, 0.10883869230747223, -0.0020942254923284054, -0.10218250751495361, -0.09953388571739197, 0.13752420246601105, -0.09568969905376434, -0.1008276641368866, 0.11170449107885361, 0.11956898868083954, 0.10636886954307556, 0.09045258909463882, -0.08433041721582413, -0.09466470777988434, -0.10043573379516602, -0.043651387095451355, 0.10540369153022766, 0.0628204494714737, 0.00018623698269948363, -0.10478589683771133, 0.10572499781847, 0.08192340284585953, -0.07920509576797485, -0.08350744098424911, -0.11605653911828995, -0.10719429701566696, 0.07204694300889969, 0.007727586664259434, -0.08472753316164017, -0.002167661674320698, -0.04172978922724724, 0.09953857213258743, 0.10239529609680176, -0.08884184062480927, -0.09251341223716736, 0.09586528688669205, -0.04287997633218765, -0.05906831845641136, 0.0409776009619236, 0.010212760418653488, -0.09462927281856537, -0.11190026998519897, 0.08559375256299973, -0.1673688292503357, -0.010566250421106815, -0.09707234054803848, -0.08510828018188477, -0.06427869200706482, -0.10960481315851212, 0.07018720358610153, 0.06795433163642883, 0.08202847093343735, 0.10652473568916321, -0.037269968539476395, -0.003507926594465971, 0.11793727427721024, 0.073621466755867]
PEACE	[-0.1336698979139328, 0.1057407483458519, -0.0808253213763237, 0.09552774578332901, 0.08146505802869797, 0.09598544985055923, 0.09366326034069061, -0.08628050237894058, -0.10843861103057861, 0.05931250378489494, -0.0755208358168602, -0.05729583650827408, -0.07235314697027206, 0.06234933063387871, -0.10871923714876175, -0.07560192048549652, 0.08594407141208649, -0.07161897420883179, -0.08801380544900894, -0.06835757195949554, 0.0748949646949768, -0.08195074647665024, 0.08217046409845352, 0.08825115114450455, 0.09429243206977844, 0.05825059860944748, 0.08873376250267029, -0.10509772598743439, -0.09960058331489563, -0.0879809632897377, -0.06354431807994843, -0.088295578956604, 0.028908746317029, -0.11672355979681015, 0.09951754659414291, -0.09994074702262878, -0.12268451601266861, 0.07546285539865494, 0.09513571858406067, -0.17488931119441986, 0.08689466118812561, 0.09480887651443481, 0.08178668469190598, -0.0637970119714737, -0.10176973789930344, 0.10171690583229065, -0.10419097542762756, -0.016662275418639183, -0.1004607081413269, -0.07248762995004654, 0.08289554715156555, 0.034161899238824844, -0.036248400807380676, 0.0885489210486412, -0.09774498641490936, 0.09148365259170532, 0.10003121197223663, 0.0661369040608406, 0.09302395582199097, 0.04430507868528366, 0.05917071923613548, 0.10493214428424835, -0.046469155699014664, 0.06412021815776825, -0.09231211990118027, 0.09567702561616898, -0.10245701670646667, -0.08216401189565659, 0.10688692331314087, 0.1664608269929886, 0.09925152361392975, -0.061153098940849304, 0.09606977552175522, -0.07999135553836823, 0.0910729393362999, 0.10336326062679291, 0.08877193927764893, -0.08644124865531921, 0.10089201480150223, -0.08436786383390427, -0.054626237601041794, -0.08896242082118988, -0.028689512982964516, -0.09951595216989517, -0.08520326763391495, -0.023315107449889183, 0.07716771215200424, -0.07083822041749954, 0.08510401099920273, 0.08472957462072372, 0.05353861302137375, -0.09564615786075592, 0.04710382595658302, -0.09022442996501923, -0.15586964786052704, 0.10624030977487564, -0.13381490111351013, 0.09111586213111877, 0.08320338279008865, -0.07251958549022675, 0.09779615700244904, -0.029112331569194794, 0.10253474116325378, -0.1086810976266861, -0.13003160059452057, 0.10187996923923492, 0.046385738998651505, 0.12175087630748749, 0.03286230191588402, -0.10291440039873123, 0.09175503998994827, -0.10240112245082855, 0.10232196748256683, -0.10622435808181763, 0.08673890680074692, 0.04932995140552521, 0.03577238693833351, -0.06238556653261185, 0.08850858360528946, 0.08385328948497772, 0.06629429012537003, 0.09580975025892258, -0.11734478920698166, 0.0967874675989151, 0.0722370520234108, 0.05487869679927826, -0.1048976331949234, -0.09613044559955597]
COUNTRY	[-0.08785010129213333, 0.09327097237110138, -0.03415161743760109, -0.0832086056470871, 0.057775016874074936, 0.10927925258874893, 0.056435875594615936, 0.10024452209472656, 0.013200388289988041, -0.03493598476052284, -0.0822097435593605, -0.09070630371570587, 0.09797127544879913, -0.11178905516862869, -0.11152183264493942, -0.09777979552745819, -0.02736666239798069, 0.11479945480823517, -0.09268656373023987, -0.09266064316034317, -0.0991816446185112, -0.08878323435783386, 0.10286229103803635, -0.09239917248487473, -0.09657372534275055, -0.024746600538492203, -0.08751287311315536, -0.11247340589761734, 0.10351056605577469, -0.10716574639081955, 0.0889846533536911, 0.08622843772172928, 0.09351421147584915, -0.09885671734809875, 0.028034979477524757, -0.08129525184631348, -0.12281845510005951, -0.11391371488571167, 0.0954323410987854, -0.06785600632429123, -0.09394855052232742, -0.02577502466738224, 0.06935984641313553, 0.09732351452112198, 0.07890870422124863, 0.09640029817819595, -0.09719743579626083, -0.09975402057170868, -0.10632527619600296, -0.09895743429660797, 0.09972292929887772, -0.0024987400975078344, 0.0922732725739479, -0.11377400159835815, -0.11030471324920654, -0.06422099471092224, 0.10709289461374283, -0.08835211396217346, 0.09471806138753891, 0.08977056294679642, 0.07183367013931274, 0.10597601532936096, -0.08696573227643967, 0.0015604577492922544, 0.10290566086769104, 0.09850931167602539, -0.08931098878383636, 0.09892628341913223, 0.0810367614030838, 0.10710780322551727, 0.10176457464694977, -0.09115404635667801, -0.1055336445569992, 0.06736936420202255, -0.07801351696252823, 0.10689281672239304, -0.03540661931037903, 0.1022312194108963, 0.10436911135911942, -0.05680768936872482, 0.03537088632583618, -0.10199811309576035, 0.09238530695438385, -0.08657021075487137, -0.09462487697601318, 0.09448730200529099, -0.09315302222967148, -0.11207592487335205, -0.07141964137554169, 0.10774844139814377, -0.08291969448328018, -0.07960636168718338, -0.09675085544586182, -0.1072264090180397, -0.07491413503885269, -0.08708865195512772, -0.0849076434969902, 0.09146898239850998, 0.04817310720682144, 0.03795703127980232, -0.10902125388383865, -0.1003962904214859, 0.10363125056028366, 0.09554490447044373, -0.08549543470144272, 0.10468575358390808, 0.1106191948056221, 0.028337545692920685, -0.03846372663974762, -0.09271841496229172, -0.0602010041475296, 0.10053525865077972, 0.09255938977003098, -0.09747964888811111, 0.06049881875514984, -0.08861657232046127, -0.1071089506149292, 0.05869952589273453, 0.07678783684968948, -0.09812263399362564, 0.11355555802583694, 0.07831291854381561, 0.08447904884815216, 0.09580035507678986, -0.0827096551656723, -0.10518930107355118, 0.03987540304660797, -0.09259263426065445]
MAINLAND	[-0.08291297405958176, 0.08007093518972397, -0.09530067443847656, -0.07706937938928604, 0.09466703981161118, 0.10226763784885406, 0.10587672144174576, 0.09627676010131836, 0.10322247445583344, -0.09863603860139847, -0.07047846913337708, -0.0730457454919815, 0.08589252084493637, -0.08886318653821945, -0.09405085444450378, -0.08254728466272354, -0.09853284806013107, 0.11187595129013062, -0.09264764189720154, -0.07733623683452606, -0.08776111155748367, -0.08588020503520966, 0.08185716718435287, -0.07977110892534256, -0.07601577788591385, -0.09734346717596054, -0.08698674291372299, -0.09810911864042282, 0.08477649837732315, -0.07198839634656906, 0.09185703098773956, 0.0777534544467926, 0.08635100722312927, -0.07545370608568192, 0.09590449184179306, -0.07421419024467468, -0.1013774648308754, -0.09208790957927704, 0.08301771432161331, -0.07154776155948639, -0.09125344455242157, -0.08666830509901047, 0.08689787238836288, 0.09504767507314682, 0.0720481276512146, 0.07642119377851486, -0.09165114909410477, -0.06937438994646072, -0.08420587331056595, -0.08640497177839279, 0.07626665383577347, -0.1016790047287941, 0.07868120819330215, -0.09221089631319046, -0.11031104624271393, -0.08898171037435532, 0.09126976877450943, -0.089060477912426, 0.10521440953016281, 0.06765210628509521, 0.07800351083278656, 0.08851253241300583, -0.07937269657850266, -0.10639102756977081, 0.07859188318252563, 0.09286680072546005, -0.08839000761508942, 0.09416050463914871, 0.09668752551078796, 0.08696460723876953, 0.09436564892530441, -0.06749233603477478, -0.08948560804128647, 0.07755719870328903, -0.09103583544492722, 0.0995892807841301, -0.09601791203022003, 0.09297671914100647, 0.0989423468708992, -0.10388673096895218, -0.09164316952228546, -0.08003955334424973, 0.083369679749012, -0.10772506892681122, -0.0710921436548233, 0.0869404524564743, -0.08964228630065918, -0.06889744848012924, -0.0792359858751297, 0.08526375889778137, -0.08904272317886353, -0.07697824388742447, -0.09332685172557831, -0.0687202662229538, -0.07467957586050034, -0.08593375235795975, -0.10070545226335526, 0.0848199874162674, 0.09522797912359238, 0.10840059816837311, -0.09176992624998093, -0.09022563695907593, 0.09475713968276978, 0.08420458436012268, -0.076760433614254, 0.10115808993577957, 0.08505461364984512, 0.10260230302810669, -0.09363547712564468, -0.09095313400030136, -0.10402035713195801, 0.09350801259279251, 0.09544146060943604, -0.09015115350484848, 0.09921786189079285, -0.08619417250156403, -0.09208791702985764, 0.08954267203807831, 0.08099877089262009, -0.08326777070760727, 0.09588616341352463, 0.07486307621002197, 0.09535612910985947, 0.0824771448969841, -0.08824477344751358, -0.09126010537147522, -0.08956650644540787, -0.07842367142438889]
WEATHER	[-0.07318499684333801, 0.06700138747692108, 0.09008949249982834, 0.08910968899726868, 0.07476930320262909, 0.06140085682272911, -0.08355502039194107, 0.054186608642339706, 0.012348037213087082, -0.08393672853708267, 0.08443160355091095, -0.07246316224336624, 0.06101728230714798, -0.08361014723777771, -0.14990131556987762, 0.08454935997724533, 0.08347129076719284, -0.08157586306333542, -0.08534109592437744, -0.07934306561946869, 0.045159805566072464, -0.06649477034807205, 0.07676100730895996, 0.0780043974518776, -0.12182614207267761, 0.07004531472921371, 0.08636151999235153, -0.08789601176977158, -0.07405009865760803, -0.08705924451351166, -0.09275121986865997, 0.06432810425758362, 0.08665018528699875, -0.06263632327318192, 0.07240131497383118, -0.08830378949642181, -0.11680145561695099, -0.08768891543149948, 0.14215180277824402, -0.0686749517917633, 0.08572245389223099, 0.12195156514644623, -0.12523017823696136, 0.08192082494497299, -0.09882114827632904, -0.08655739575624466, 0.08374469727277756, -0.12653379142284393, -0.08715123683214188, 0.08747461438179016, 0.08967214822769165, -0.1065070852637291, 0.007651369087398052, -0.07622257620096207, -0.08994972705841064, 0.093061164021492, -0.08255995810031891, 0.07956496626138687, 0.09261799603700638, -0.09886724501848221, -0.12153846770524979, -0.07483819872140884, 0.10945296287536621, 0.12173803895711899, -0.016289018094539642, -0.06090909242630005, -0.11499679833650589, 0.08321381360292435, -0.08811809867620468, 0.08596833050251007, 0.09461187571287155, -0.03364766389131546, 0.08382610231637955, -0.07247255742549896, 0.04340433329343796, 0.036166705191135406, -0.14088492095470428, 0.14639271795749664, 0.12154752761125565, -0.11919169872999191, 0.12937109172344208, 0.11602802574634552, -0.09011581540107727, 0.07769476622343063, -0.08634823560714722, -0.08265995234251022, 0.07992071658372879, -0.08141256868839264, -0.07290796935558319, 0.036874040961265564, -0.08071409165859222, -0.09476447850465775, -0.08999942988157272, 0.08359728753566742, -0.07185545563697815, -0.12283986806869507, 0.030864352360367775, -0.08235883712768555, 0.06845202296972275, -0.06643490493297577, 0.2189377099275589, -0.09013140946626663, 0.07525411248207092, -0.06741567701101303, -0.07125378400087357, 0.16222195327281952, 0.0645594373345375, 0.07565964758396149, 0.07345426082611084, -0.09579023718833923, -0.10021871328353882, -0.06923890113830566, 0.056048572063446045, -0.0880955383181572, -0.07388710230588913, -0.06167970597743988, 0.07196595519781113, -0.0854906216263771, 0.0804867371916771, 0.00936849694699049, 0.08492425084114075, 0.09021597355604172, -0.08743557333946228, 0.08761049062013626, 0.09350290149450302, -0.08928292244672775, 0.08285719901323318, -0.08879497647285461]
SKY	[-0.025538649410009384, 0.0008671530522406101, 0.10749910026788712, 0.08312970399856567, -0.038747936487197876, 0.008126209490001202, -0.08720655739307404, 0.10582660883665085, 0.08267155289649963, -0.10350040346384048, 0.09425977617502213, 0.04505150020122528, -0.09064144641160965, -0.12185368686914444, -0.08410115540027618, 0.08681878447532654, 0.11249028146266937, -0.08810227364301682, -0.11080178618431091, -0.10550309717655182, 0.06325238198041916, -0.10791097581386566, -0.05390405282378197, 0.09908950328826904, 0.09146949648857117, -0.04995483160018921, 0.11012855917215347, -0.03336261212825775, -0.11018941551446915, -0.1035366877913475, -0.11540640890598297, 0.09858234971761703, 0.09596613049507141, -0.04559062048792839, -0.0769958645105362, -0.10772612690925598, -0.1360306441783905, 0.04628690704703331, 0.07163794338703156, 0.07753174751996994, 0.09517562389373779, 0.1301628202199936, -0.10097450762987137, 0.09270806610584259, -0.05057971924543381, -0.11449245363473892, 0.09078674763441086, -0.06196602061390877, -0.11230654269456863, 0.08652427047491074, 0.09237408638000488, -0.12568281590938568, -0.09077493846416473, 0.07730824500322342, -0.10447805374860764, 0.1297120451927185, -0.05928048491477966, 0.10798732936382294, 0.09592906385660172, -0.034610360860824585, -0.07527967542409897, -0.08036133646965027, 0.07180794328451157, 0.06227482110261917, 0.050865307450294495, 0.05351424962282181, -0.12407740950584412, 0.10912974923849106, -0.09799470752477646, 0.08659394085407257, -0.024880819022655487, 0.10951200127601624, -0.011571397073566914, -0.003283256199210882, 0.07008973509073257, 0.030177677050232887, -0.08047138154506683, 0.0771460086107254, 0.14361239969730377, 0.06608472764492035, 0.06181211397051811, 0.11728394776582718, -0.10994410514831543, -0.038179364055395126, -0.11728329956531525, -0.09460152685642242, 0.060727279633283615, -0.08197568356990814, -0.10388976335525513, -0.06055675074458122, 0.05030568316578865, -0.06023366376757622, -0.11237438023090363, -0.029648099094629288, 0.04349985346198082, -0.1360705941915512, -0.08404363691806793, -0.10580822080373764, -0.07785894721746445, 0.01737201400101185, -0.10481753945350647, -0.12120021134614944, -0.04963637888431549, -0.05740426480770111, -0.049746036529541016, 0.1070692390203476, 0.0923619195818901, -0.059009943157434464, -0.06384510546922684, 0.061809241771698, -0.10868951678276062, -0.09514389932155609, 0.09746238589286804, -0.11966779828071594, -0.0698026567697525, 0.04537586122751236, -0.07201900333166122, -0.10151799768209457, 0.10896776616573334, 0.08592522144317627, 0.12733253836631775, 0.12286502122879028, 0.0423402339220047, 0.10266625881195068, 0.12287317216396332, -0.08572562038898468, 0.11683332175016403, -0.12345223873853683]
EARTH (SOIL)	[-0.08483417332172394, 0.10001656413078308, -0.09616954624652863, -0.087665855884552, 0.10779158025979996, 0.1150074154138565, 0.08878955990076065, 0.09648064523935318, 0.10770832747220993, -0.1082131564617157, -0.06649147719144821, -0.07993770390748978, 0.09767618030309677, -0.10569632798433304, -0.05830221250653267, -0.08212254196405411, -0.10016462206840515, 0.14659076929092407, -0.051462430506944656, -0.09581851214170456, -0.0897044911980629, -0.0711548700928688, 0.0838727355003357, -0.09353964030742645, -0.08646126091480255, -0.1070312038064003, -0.07450660318136215, -0.11542724072933197, 0.07314842939376831, -0.08862171322107315, 0.050558846443891525, 0.06046437472105026, 0.07470835745334625, -0.09416711330413818, 0.1114252358675003, -0.06965741515159607, -0.11838477849960327, -0.10673582553863525, 0.05554293468594551, -0.06684086471796036, -0.07772938907146454, -0.08869709074497223, 0.05739607661962509, 0.07107697427272797, 0.062286730855703354, 0.10676714032888412, -0.08252681791782379, -0.08682384341955185, -0.11147426813840866, -0.0846761092543602, 0.09106139093637466, -0.09335722774267197, 0.007698367349803448, -0.11286845058202744, -0.10366783291101456, -0.07004225254058838, 0.09247752279043198, -0.0368226133286953, 0.043301284313201904, 0.06557871401309967, 0.0809059590101242, 0.11479977518320084, -0.09377980977296829, -0.10110025107860565, 0.08438540250062943, 0.07231079787015915, -0.08626625686883926, 0.09076998382806778, 0.05578335374593735, 0.1004422977566719, 0.05697855353355408, -0.07661011070013046, -0.09137390553951263, 0.07454346120357513, -0.05453324690461159, 0.12268843501806259, -0.09593810141086578, 0.04529836028814316, 0.11840309947729111, -0.12314707785844803, -0.08686285465955734, -0.0889195129275322, 0.07377424836158752, -0.12737609446048737, -0.08526703715324402, 0.09189675748348236, -0.10374214500188828, -0.08184950798749924, -0.0780697613954544, 0.10357049852609634, -0.07735050469636917, -0.06776700913906097, -0.09271662682294846, -0.08000848442316055, -0.036213889718055725, -0.07648774981498718, -0.10682744532823563, 0.07257305085659027, 0.10318680107593536, 0.09771975874900818, -0.11053571850061417, -0.07591909170150757, 0.10255252569913864, 0.069115050137043, -0.07362641394138336, 0.0854378417134285, 0.10646715015172958, 0.11146552860736847, -0.084311842918396, -0.08623521775007248, -0.11297999322414398, 0.050414007157087326, 0.08793509751558304, -0.09950253367424011, 0.09707361459732056, -0.09841214865446091, -0.11788488924503326, 0.008364916779100895, 0.07591819763183594, -0.09862852841615677, 0.105332151055336, 0.06825290620326996, 0.07251255959272385, 0.11170444637537003, -0.030369967222213745, -0.09070727229118347, -0.06522116810083389, -0.09112852811813354]
