CID1,CGL1,CID2,CGL2,eng,rus,cmn,yue,ara,spa,pol,fra,est,fin,mean
1673,ARM,1004,MUSCLE,0.6923076923076923,1.1,1.1818181818181819,0.5454545454545454,2.9,1.4,1.3,2.6,1.4,1.2,1.4319580419580418
1325,FRIEND,1038,TEACHER,0.3076923076923077,1.9,0.8181818181818182,0.9090909090909091,0.7,0.4,0.2,1.4,1.2,0.6,0.8434965034965035
1277,HAND,1301,FOOT,1.0,0.4,0.45454545454545453,1.8181818181818181,2.3,1.1,0.7,2.5,1.5,1.4,1.3172727272727272
1845,BALL,867,GLOVE,0.5384615384615384,0.1,0.18181818181818182,0.18181818181818182,1.5,1.1,0.2,1.4,0.4,0.2,0.5802097902097902
1331,SHEEP,1153,CATTLE,1.5384615384615385,3.2,1.3636363636363635,1.9090909090909092,3.3,2.7,1.3,4.0,1.8,2.5,2.3611188811188812
632,LIZARD,1857,CROCODILE,2.0,0.8,0.45454545454545453,2.0,3.4,2.6,1.3,3.4,2.6,3.1,2.1654545454545455
1325,FRIEND,1782,GUEST,1.9230769230769231,1.2,3.1818181818181817,3.6363636363636362,2.7,1.6,1.2,2.9,2.0,0.8,2.1141258741258744
1394,BONE,1380,TOOTH,2.076923076923077,1.3,0.6363636363636364,2.0,3.1,1.7,2.3,2.9,2.1,2.0,2.011328671328671
1482,SHOULDER,1256,HEAD,0.9230769230769231,0.6,0.18181818181818182,0.5454545454545454,2.8,1.5,0.7,2.7,1.1,0.9,1.195034965034965
1567,DOOR,2940,GATE,2.769230769230769,3.6,5.545454545454546,5.545454545454546,4.2,4.9,4.0,4.8,3.3,3.3,4.196013986013986
1833,DINNER (SUPPER),1318,CHICKEN,0.6923076923076923,0.6,0.2727272727272727,0.2727272727272727,2.5,1.6,0.4,1.7,0.6,1.3,0.9937762237762238
245,BROOM,2,DUST,0.23076923076923078,1.3,0.36363636363636365,0.9090909090909091,2.9,0.9,0.2,2.0,1.1,0.7,1.0603496503496503
